Site ID,HiRISE image ID,RDR coordinates,Slope estimate (range)
South Scarp Site 1,ESP_031936_1230,15700; 5400,48 (42; 60)
South Scarp Site 1,ESP_047338_1230,2200; 19450,49 (37; 71)
South Scarp Site 1,ESP_047338_1230,5600; 18800,47 (36; 67)
South Scarp Site 1,ESP_047338_1230,7700; 18250,49 (37; 71)
South Scarp Site 2,ESP_049461_1245,3300; 9650,49 (45; 60)
South Scarp Site 2,ESP_049461_1245,2900; 9750,49 (45; 58)
South Scarp Site 3,ESP_040772_1215,10800; 14300,48 (41; 62)
South Scarp Site 4,ESP_022943_1245,10950; 25750,53 (47; 66)
South Scarp Site 4,ESP_022943_1245,8250; 26000,52 (46; 64)
South Scarp Site 8,ESP_014307_1190,8050; 24300,41 (38; 50)
South Scarp Site 8,ESP_014307_1190,10850; 24050,48 (40; 63)
South Scarp Site 8,ESP_014307_1190,10350; 25650,42 (38; 51)
South Scarp Site 8,ESP_014307_1190,11100; 25450,45 (39; 57)
South Scarp Site 8,ESP_014307_1190,5800; 16350,42 (38; 51)
South Scarp Site 11,ESP_058099_1290,11500; 20900,60 (52; 72)
Milankovič crater,ESP_045857_2350,13000; 16850,59 (45; 83)
Milankovič crater,ESP_045290_2350,8900; 24250,60 (49; 77)
Milankovič crater,ESP_024943_2345,15600; 58250,54 (45; 70)
Milankovič crater,ESP_024943_2345,17300; 61400,51 (43; 64)
Milankovič crater - a,ESP_052529_2345,21200; 18000,57 (50; 69)
Milankovič crater - b,ESP_052529_2345,23600; 22000,57 (50; 69)
Milankovič crater -c,ESP_052529_2345,18400; 16600,58 (50; 70)
Milankovič crater,ESP_061681_2345,4900; 33900,63 (53; 78)
Milankovič crater - a,ESP_061681_2345,11700; 24050,59 (51; 73)
Milankovič crater - b,ESP_061681_2345,14050; 28000,60 (51; 74)
Milankovič crater - c,ESP_061681_2345,9650; 22900,58 (50; 71)
Milankovič crater,ESP_061048_2340,13600; 22800,57 (49; 71)
Milankovič crater,ESP_063751_2350,15100; 12500,51 (37; 77)
Milankovič crater,ESP_063751_2350,15250; 9550,40 (32; 57)
Milankovič crater,ESP_063395_2350,9900; 38000,41 (35; 52)
Milankovič crater,ESP_028121_2355,21300; 24400,49 (40; 68)
Milankovič crater,ESP_028121_2355,19950; 24950,43 (36; 56)
Milankovič crater,ESP_054731_2355,11400; 27925,47 (37; 65)
North Scarp Site 5,ESP_062708_2355,10200; 18900,54 (45; 69)
North Scarp Site 5,ESP_062853_2355,14650; 20200,64 (50; 85)
North Scarp Site 5,ESP_035174_2355,24000; 45100,56 (48; 68)
North Scarp Site 7,ESP_062776_2370,13850; 16550,49 (43; 61)
North Scarp Site 8,ESP_063262_2390,17150; 26600,55 (42; 77)
North Scarp Site 8,ESP_063262_2390,10950; 26050,42 (36; 53)
