LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	172.485366387	 0.000000000	         0.031762281	         0.022717802	         0.054480083
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	172.190269675	 0.000000000	         0.030511789	         0.021808214	         0.052320002
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	171.847566544	 0.000000000	         0.029331701	         0.020958035	         0.050289735
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	171.457123186	 0.000000000	         0.028240098	         0.020181488	         0.048421586
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	171.016287844	 0.000000000	         0.027160863	         0.019417386	         0.046578249
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	170.531275730	 0.000000000	         0.026065582	         0.018642675	         0.044708257
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	170.006964096	 0.000000000	         0.024921610	         0.017832632	         0.042754242
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	169.439373442	 0.000000000	         0.023736038	         0.016992169	         0.040728207
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	168.848717555	 0.000000000	         0.022471229	         0.016091509	         0.038562738
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	168.225800257	 0.000000000	         0.021110098	         0.015116331	         0.036226429
 20511	     -490000	 0.059484652	29.808813997	15.267923373	167.577088659	 0.000000000	         0.019685231	         0.014092070	         0.033777301
 20512	     -489000	 0.060538153	29.442650094	23.011034297	166.911277273	 0.000000000	         0.018169672	         0.012999503	         0.031169175
 20513	     -488000	 0.061639490	29.066784175	30.704745155	166.222832496	 0.000000000	         0.016572667	         0.011846253	         0.028418919
 20514	     -487000	 0.062886122	28.683922654	38.224408913	165.516837466	 0.000000000	         0.014904000	         0.010640122	         0.025544122
 20515	     -486000	 0.064104852	28.293832465	45.936134667	164.788457975	 0.000000000	         0.013219545	         0.009424585	         0.022644130
 20516	     -485000	 0.065275801	27.899601971	53.414207966	164.047728565	 0.000000000	         0.011502866	         0.008187191	         0.019690057
 20517	     -484000	 0.066523121	27.502929228	60.816856720	163.298224093	 0.000000000	         0.009830203	         0.006985908	         0.016816111
 20518	     -483000	 0.067980414	27.102757701	68.326978207	162.526937810	 0.000000000	         0.008222633	         0.005835520	         0.014058153
 20519	     -482000	 0.069279862	26.702831910	75.589135537	161.753259155	 0.000000000	         0.006707707	         0.004755843	         0.011463550
 20520	     -481000	 0.070766927	26.303573924	82.822812481	160.849002325	 0.000000000	         0.005113163	         0.003610960	         0.008724123
 20521	     -480000	 0.072297673	25.904594183	90.011690551	160.034358074	 0.000000000	         0.003899333	         0.002754663	         0.006653996
 20522	     -479000	 0.073750478	25.509120825	97.135510913	159.207030496	 0.000000000	         0.002860443	         0.002024329	         0.004884771
 20523	     -478000	 0.075291017	25.116205047	104.020098171	158.346970816	 0.000000000	         0.001988256	         0.001411534	         0.003399790
 20524	     -477000	 0.076898065	24.726864180	110.918557181	157.454818230	 0.000000000	         0.001297444	         0.000926234	         0.002223678
 20525	     -476000	 0.078610144	24.343391493	117.769152026	156.511238444	 0.000000000	         0.000775660	         0.000558334	         0.001333994
 20526	     -475000	 0.080147059	23.964548390	124.453057477	155.504997643	 0.000000000	         0.000407223	         0.000296751	         0.000703974
 20527	     -474000	 0.081736300	23.592875073	131.020021714	154.399997552	 0.000000000	         0.000173889	         0.000128847	         0.000302736
 20528	     -473000	 0.083438263	23.229283684	137.468539094	153.107468851	 0.000000000	         0.000047934	         0.000035317	         0.000083252
 20529	     -472000	 0.085024744	22.873732872	143.925470048	151.206081823	 0.000000000	         0.000002755	         0.000001891	         0.000004646
 20530	     -471000	 0.086547933	22.529770671	150.195334867	149.334818393	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20531	     -470000	 0.088039061	22.197244271	156.361051185	149.333371200	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20532	     -469000	 0.089502226	21.877494687	162.561079922	149.331346378	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20545	     -456000	 0.102644204	19.504268931	-120.267447087	149.269052088	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20546	     -455000	 0.103279566	19.473503825	-114.469057938	149.262815731	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20547	     -454000	 0.103740329	19.461807786	-108.793202614	149.256766618	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20548	     -453000	 0.104099069	19.468549107	-103.074824993	149.250800193	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20549	     -452000	 0.104512313	19.493756510	-97.261009048	149.244896924	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20550	     -451000	 0.104488019	19.535143430	-91.476132378	149.239448277	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20551	     -450000	 0.104580432	19.592772102	-85.643813392	149.234273458	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20552	     -449000	 0.104597861	19.666035783	-79.761277806	149.229534962	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20553	     -448000	 0.104415746	19.753339038	-73.738059487	149.225341413	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20554	     -447000	 0.104213875	19.855322745	-67.798218820	149.221849554	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20555	     -446000	 0.103913767	19.970649858	-61.716485987	149.219050420	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20556	     -445000	 0.103632189	20.098451812	-55.561593016	149.217004760	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20557	     -444000	 0.103142396	20.239479855	-49.397543857	149.215954415	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20558	     -443000	 0.102594499	20.392340109	-43.180589867	149.215838501	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20559	     -442000	 0.102094276	20.556316961	-36.906770136	149.216620932	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20560	     -441000	 0.101418020	20.731396369	-30.501263454	149.218501705	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20561	     -440000	 0.100612810	20.916451762	-24.131887082	149.221401757	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20562	     -439000	 0.099801682	21.110735354	-17.707785438	149.225222180	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20563	     -438000	 0.098991063	21.313165946	-11.120461420	149.229990025	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20564	     -437000	 0.097988888	21.522641323	-4.589955745	149.235596741	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20565	     -436000	 0.097012296	21.738411815	 1.999400543	149.241886237	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20566	     -435000	 0.096112405	21.959199964	 8.708213249	149.248797557	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20567	     -434000	 0.094871947	22.183936174	15.425421999	149.256248686	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20568	     -433000	 0.093717211	22.411455413	22.149081502	149.263910846	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20569	     -432000	 0.092570945	22.641216795	28.915953590	151.719011259	 0.000000000	         0.000002920	         0.000001993	         0.000004913
 20570	     -431000	 0.091280719	22.872575902	35.851098345	152.967095354	 0.000000000	         0.000016439	         0.000011826	         0.000028265
 20571	     -430000	 0.089880819	23.104270285	42.752121722	153.846594781	 0.000000000	         0.000045932	         0.000033697	         0.000079629
 20572	     -429000	 0.088407314	23.336253064	49.761852521	154.556935330	 0.000000000	         0.000098143	         0.000072840	         0.000170984
 20573	     -428000	 0.087055942	23.568404303	56.828114803	155.176303710	 0.000000000	         0.000179917	         0.000132682	         0.000312600
 20574	     -427000	 0.085523656	23.800273683	64.050375750	155.726579945	 0.000000000	         0.000298382	         0.000218165	         0.000516547
 20575	     -426000	 0.084054184	24.031816180	71.371111583	156.235110520	 0.000000000	         0.000463760	         0.000336573	         0.000800333
 20576	     -425000	 0.082640209	24.262875673	78.704281287	156.710785833	 0.000000000	         0.000682739	         0.000492362	         0.001175101
 20577	     -424000	 0.081254428	24.494013611	86.283114421	157.160530620	 0.000000000	         0.000962864	         0.000690763	         0.001653627
 20578	     -423000	 0.079854296	24.725194202	93.752355689	157.594971752	 0.000000000	         0.001305056	         0.000932111	         0.002237167
 20579	     -422000	 0.078553475	24.955606627	101.346534410	158.015522818	 0.000000000	         0.001710439	         0.001217281	         0.002927721
 20580	     -421000	 0.077463566	25.186350218	109.066419876	158.427720264	 0.000000000	         0.002177203	         0.001544859	         0.003722062
 20581	     -420000	 0.076046534	25.417401988	116.810454550	158.830222793	 0.000000000	         0.002666673	         0.001886364	         0.004553038
 20582	     -419000	 0.074886169	25.647626042	124.541382536	159.381451026	 0.000000000	         0.003381714	         0.002398446	         0.005780160
 20583	     -418000	 0.073764864	25.877504820	132.342403219	159.795386203	 0.000000000	         0.003946167	         0.002793459	         0.006739626
 20584	     -417000	 0.072698089	26.106626624	140.330293506	160.090585592	 0.000000000	         0.004325221	         0.003043756	         0.007368976
 20585	     -416000	 0.071481174	26.334548067	148.230073918	160.649309128	 0.000000000	         0.005089407	         0.003589071	         0.008678479
 20586	     -415000	 0.070438602	26.560782398	156.299431877	161.087161633	 0.000000000	         0.005626453	         0.003958929	         0.009585382
 20587	     -414000	 0.069487040	26.784373933	164.407454804	161.539437720	 0.000000000	         0.006126550	         0.004300844	         0.010427394
 20588	     -413000	 0.068557237	27.005600883	172.584617908	162.012034727	 0.000000000	         0.006581149	         0.004608995	         0.011190144
 20589	     -412000	 0.067751789	27.223425841	-179.159080626	162.495650192	 0.000000000	         0.006971101	         0.004868936	         0.011840038
 20590	     -411000	 0.067111113	27.436839030	-170.906675002	162.993987036	 0.000000000	         0.007301373	         0.005084614	         0.012385987
 20591	     -410000	 0.066482115	27.646315655	-162.509726288	163.419732776	 0.000000000	         0.007420086	         0.005140800	         0.012560887
 20592	     -409000	 0.065904691	27.850601462	-154.211828413	163.945683092	 0.000000000	         0.007668220	         0.005299529	         0.012967749
 20593	     -408000	 0.065517944	28.049456228	-145.949687243	164.467627505	 0.000000000	         0.007877644	         0.005431120	         0.013308764
 20594	     -407000	 0.065332851	28.243228828	-137.516629651	164.988577515	 0.000000000	         0.008049471	         0.005536686	         0.013586158
 20595	     -406000	 0.064967014	28.430711575	-129.093539419	165.497403885	 0.000000000	         0.008213199	         0.005637915	         0.013851114
 20596	     -405000	 0.064812231	28.612340545	-120.827735272	165.988635714	 0.000000000	         0.008394301	         0.005753017	         0.014147318
 20597	     -404000	 0.064847606	28.788137444	-112.516470610	166.459234021	 0.000000000	         0.008588543	         0.005878554	         0.014467096
 20598	     -403000	 0.064893803	28.957411961	-104.127488074	166.903962053	 0.000000000	         0.008820264	         0.006032461	         0.014852725
 20599	     -402000	 0.065050817	29.120604728	-95.852665171	167.398434421	 0.000000000	         0.009243428	         0.006331007	         0.015574435
 20600	     -401000	 0.065326528	29.277183504	-87.650634931	167.690297518	 0.000000000	         0.009473681	         0.006479774	         0.015953455
 20601	     -400000	 0.065761510	29.427107531	-79.415707434	168.026855334	 0.000000000	         0.009914732	         0.006787447	         0.016702179
 20602	     -399000	 0.066134286	29.570418567	-71.395309280	168.396832220	 0.000000000	         0.010611241	         0.007287209	         0.017898450
 20603	     -398000	 0.066677957	29.705890532	-63.372382483	168.642573123	 0.000000000	         0.011278216	         0.007761797	         0.019040014
 20604	     -397000	 0.067321109	29.833968797	-55.517321169	168.838910800	 0.000000000	         0.012059777	         0.008321620	         0.020381397
 20605	     -396000	 0.067841888	29.954156486	-47.623770726	168.989051963	 0.000000000	         0.013007560	         0.009006593	         0.022014153
 20606	     -395000	 0.068446604	30.064871194	-39.894880808	169.087790690	 0.000000000	         0.014080268	         0.009787514	         0.023867782
 20607	     -394000	 0.069056594	30.166494758	-32.261133437	169.071266574	 0.000000000	         0.015115593	         0.010538834	         0.025654427
 20608	     -393000	 0.069830315	30.258005064	-24.580012009	169.163213848	 0.000000000	         0.016712220	         0.011730982	         0.028443202
 20609	     -392000	 0.070364828	30.338292323	-16.949489692	169.135733519	 0.000000000	         0.018285557	         0.012910457	         0.031196015
 20610	     -391000	 0.071069537	30.407452813	-9.422837673	169.070206787	 0.000000000	         0.019976791	         0.014191720	         0.034168511
 20611	     -390000	 0.071974637	30.464168161	-1.989558957	168.979674270	 0.000000000	         0.021813663	         0.015600780	         0.037414442
 20612	     -389000	 0.072694139	30.508252531	 5.597531740	168.858011622	 0.000000000	         0.023838511	         0.017173684	         0.041012195
 20613	     -388000	 0.073599872	30.539450689	12.910982524	168.719838633	 0.000000000	         0.025921741	         0.018812621	         0.044734361
 20614	     -387000	 0.074543853	30.556607757	20.224631820	168.556672498	 0.000000000	         0.028071061	         0.020526839	         0.048597900
 20615	     -386000	 0.075566540	30.560587332	27.486301600	168.375013298	 0.000000000	         0.030249259	         0.022289024	         0.052538282
 20616	     -385000	 0.076485975	30.550826221	34.596577097	168.178728258	 0.000000000	         0.032343179	         0.024007927	         0.056351106
 20617	     -384000	 0.077541059	30.526875215	41.661964832	167.962935494	 0.000000000	         0.034316987	         0.025652196	         0.059969183
 20618	     -383000	 0.078573765	30.489771046	48.661430888	167.736184248	 0.000000000	         0.036106046	         0.027164813	         0.063270858
 20619	     -382000	 0.079500041	30.438760556	55.635630547	167.502693742	 0.000000000	         0.037648248	         0.028489190	         0.066137438
 20620	     -381000	 0.080402545	30.374413693	62.482195433	167.257600239	 0.000000000	         0.038799230	         0.029497089	         0.068296319
 20621	     -380000	 0.081375338	30.297212191	69.296712439	167.010215018	 0.000000000	         0.039638937	         0.030250611	         0.069889548
 20622	     -379000	 0.082284373	30.206346938	76.185991488	166.751468637	 0.000000000	         0.040017602	         0.030617223	         0.070634825
 20623	     -378000	 0.083049984	30.103098249	82.990154027	166.496570625	 0.000000000	         0.039916796	         0.030575907	         0.070492703
