LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	173.645417072	 0.000000000	         0.031975478	         0.022869485	         0.054844963
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	173.364596178	 0.000000000	         0.030866444	         0.022075917	         0.052942361
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	173.039707622	 0.000000000	         0.029843094	         0.021353367	         0.051196461
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	172.663907404	 0.000000000	         0.028897960	         0.020695579	         0.049593539
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	172.244119341	 0.000000000	         0.027990807	         0.020070464	         0.048061271
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	171.778959037	 0.000000000	         0.027061575	         0.019429629	         0.046491204
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	171.276376494	 0.000000000	         0.026088631	         0.018757189	         0.044845821
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	170.730535301	 0.000000000	         0.025071472	         0.018051916	         0.043123388
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	170.167212589	 0.000000000	         0.023983584	         0.017292727	         0.041276311
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	169.572997355	 0.000000000	         0.022790467	         0.016451418	         0.039241885
 20511	     -490000	 0.059484652	29.808813997	15.267923373	168.949241140	 0.000000000	         0.021503972	         0.015536841	         0.037040813
 20512	     -489000	 0.060538153	29.442650094	23.011034297	168.309630943	 0.000000000	         0.020107641	         0.014537915	         0.034645556
 20513	     -488000	 0.061639490	29.066784175	30.704745155	167.646442619	 0.000000000	         0.018594865	         0.013449392	         0.032044257
 20514	     -487000	 0.062886122	28.683922654	38.224408913	166.981315113	 0.000000000	         0.017034396	         0.012326146	         0.029360542
 20515	     -486000	 0.064104852	28.293832465	45.936134667	166.287148486	 0.000000000	         0.015398789	         0.011145484	         0.026544272
 20516	     -485000	 0.065275801	27.899601971	53.414207966	165.590913722	 0.000000000	         0.013716464	         0.009930417	         0.023646881
 20517	     -484000	 0.066523121	27.502929228	60.816856720	164.886050772	 0.000000000	         0.012032727	         0.008715076	         0.020747803
 20518	     -483000	 0.067980414	27.102757701	68.326978207	164.165996118	 0.000000000	         0.010386404	         0.007528596	         0.017915000
 20519	     -482000	 0.069279862	26.702831910	75.589135537	163.448446811	 0.000000000	         0.008791473	         0.006380471	         0.015171944
 20520	     -481000	 0.070766927	26.303573924	82.822812481	162.713966068	 0.000000000	         0.007280899	         0.005293959	         0.012574858
 20521	     -480000	 0.072297673	25.904594183	90.011690551	161.985363912	 0.000000000	         0.005914706	         0.004313696	         0.010228402
 20522	     -479000	 0.073750478	25.509120825	97.135510913	161.243825825	 0.000000000	         0.004671668	         0.003420617	         0.008092286
 20523	     -478000	 0.075291017	25.116205047	104.020098171	160.482304761	 0.000000000	         0.003581648	         0.002636002	         0.006217650
 20524	     -477000	 0.076898065	24.726864180	110.918557181	159.598388847	 0.000000000	         0.002513394	         0.001857642	         0.004371036
 20525	     -476000	 0.078610144	24.343391493	117.769152026	158.811512153	 0.000000000	         0.001770809	         0.001318652	         0.003089461
 20526	     -475000	 0.080147059	23.964548390	124.453057477	158.002764271	 0.000000000	         0.001180265	         0.000886046	         0.002066311
 20527	     -474000	 0.081736300	23.592875073	131.020021714	157.183935930	 0.000000000	         0.000742317	         0.000561313	         0.001303630
 20528	     -473000	 0.083438263	23.229283684	137.468539094	156.293785718	 0.000000000	         0.000416520	         0.000314425	         0.000730945
 20529	     -472000	 0.085024744	22.873732872	143.925470048	155.360202498	 0.000000000	         0.000207252	         0.000155281	         0.000362533
 20530	     -471000	 0.086547933	22.529770671	150.195334867	154.353365566	 0.000000000	         0.000086717	         0.000064252	         0.000150969
 20531	     -470000	 0.088039061	22.197244271	156.361051185	153.154166756	 0.000000000	         0.000025119	         0.000018238	         0.000043356
 20532	     -469000	 0.089502226	21.877494687	162.561079922	151.369036110	 0.000000000	         0.000002072	         0.000001393	         0.000003465
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20545	     -456000	 0.102644204	19.504268931	-120.267447087	149.269052088	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20546	     -455000	 0.103279566	19.473503825	-114.469057938	149.262815731	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20547	     -454000	 0.103740329	19.461807786	-108.793202614	149.256766618	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20548	     -453000	 0.104099069	19.468549107	-103.074824993	149.250800193	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20549	     -452000	 0.104512313	19.493756510	-97.261009048	149.244896924	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20550	     -451000	 0.104488019	19.535143430	-91.476132378	149.239448277	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20551	     -450000	 0.104580432	19.592772102	-85.643813392	149.234273458	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20552	     -449000	 0.104597861	19.666035783	-79.761277806	149.229534962	 0.000000000	         0.000000048	         0.000000001	         0.000000048
 20553	     -448000	 0.104415746	19.753339038	-73.738059487	149.225341413	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20554	     -447000	 0.104213875	19.855322745	-67.798218820	149.221849554	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20555	     -446000	 0.103913767	19.970649858	-61.716485987	149.219050420	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20556	     -445000	 0.103632189	20.098451812	-55.561593016	149.217004760	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20557	     -444000	 0.103142396	20.239479855	-49.397543857	149.215954415	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20558	     -443000	 0.102594499	20.392340109	-43.180589867	149.215838501	 0.000000000	         0.000000047	         0.000000001	         0.000000048
 20559	     -442000	 0.102094276	20.556316961	-36.906770136	149.216620932	 0.000000000	         0.000000047	         0.000000001	         0.000000048
