LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	167.979842944	 0.990943818	         0.002375224	         0.001087387	         0.003462611
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	167.736064810	 0.969175883	         0.002254626	         0.001035729	         0.003290355
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	167.457741780	 0.945816896	         0.002152398	         0.000992827	         0.003145226
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	167.192380168	 0.920865377	         0.002102737	         0.000978525	         0.003081262
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	166.840103733	 0.894395368	         0.002025095	         0.000947353	         0.002972448
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	166.453575901	 0.866687915	         0.001947267	         0.000915700	         0.002862967
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	166.036871656	 0.837668777	         0.001864262	         0.000881456	         0.002745718
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	165.533742665	 0.807579432	         0.001740478	         0.000823377	         0.002563855
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	165.067450842	 0.776737083	         0.001642656	         0.000781355	         0.002424012
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	164.580396283	 0.745122200	         0.001535116	         0.000733951	         0.002269068
 20511	     -490000	 0.059484652	29.808813997	15.267923373	164.069543798	 0.713084746	         0.001416066	         0.000679932	         0.002095999
 20512	     -489000	 0.060538153	29.442650094	23.011034297	163.539123315	 0.680845087	         0.001279688	         0.000616606	         0.001896294
 20513	     -488000	 0.061639490	29.066784175	30.704745155	162.996945214	 0.648562600	         0.001135265	         0.000548630	         0.001683895
 20514	     -487000	 0.062886122	28.683922654	38.224408913	162.442476321	 0.616555387	         0.000981542	         0.000475397	         0.001456939
 20515	     -486000	 0.064104852	28.293832465	45.936134667	161.872536948	 0.584881533	         0.000826734	         0.000400747	         0.001227481
