LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	172.485366387	 0.990943818	         0.029060630	         0.020529676	         0.049590305
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	172.190269675	 0.969175883	         0.027875580	         0.019677704	         0.047553283
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	171.847566544	 0.945816896	         0.026770371	         0.018892599	         0.045662970
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	171.457123186	 0.920865377	         0.025765562	         0.018186242	         0.043951804
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	171.016287844	 0.894395368	         0.024781812	         0.017498741	         0.042280554
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	170.531275730	 0.866687915	         0.023788386	         0.016805882	         0.040594268
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	170.006964096	 0.837668777	         0.022753686	         0.016081591	         0.038835277
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	169.439373442	 0.807579432	         0.021683602	         0.015330051	         0.037013653
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	168.848717555	 0.776737083	         0.020535042	         0.014521062	         0.035056104
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	168.225800257	 0.745122200	         0.019293069	         0.013638964	         0.032932033
 20511	     -490000	 0.059484652	29.808813997	15.267923373	167.577088659	 0.713084746	         0.017989180	         0.012709057	         0.030698238
 20512	     -489000	 0.060538153	29.442650094	23.011034297	166.911277273	 0.680845087	         0.016592259	         0.011709832	         0.028302091
 20513	     -488000	 0.061639490	29.066784175	30.704745155	166.222832496	 0.648562600	         0.015113795	         0.010648711	         0.025762505
 20514	     -487000	 0.062886122	28.683922654	38.224408913	165.516837466	 0.616555387	         0.013559201	         0.009533145	         0.023092347
 20515	     -486000	 0.064104852	28.293832465	45.936134667	164.788457975	 0.584881533	         0.011987419	         0.008406047	         0.020393466
 20516	     -485000	 0.065275801	27.899601971	53.414207966	164.047728565	 0.553879489	         0.010379610	         0.007253070	         0.017632679
 20517	     -484000	 0.066523121	27.502929228	60.816856720	163.298224093	 0.524166626	         0.008809441	         0.006132600	         0.014942041
 20518	     -483000	 0.067980414	27.102757701	68.326978207	162.526937810	 0.495806525	         0.007300354	         0.005059169	         0.012359523
 20519	     -482000	 0.069279862	26.702831910	75.589135537	161.753259155	 0.468996870	         0.005877664	         0.004052370	         0.009930034
 20520	     -481000	 0.070766927	26.303573924	82.822812481	160.849002325	 0.443678071	         0.004379472	         0.002987913	         0.007367385
 20521	     -480000	 0.072297673	25.904594183	90.011690551	160.034358074	 0.419742342	         0.003250684	         0.002198795	         0.005449479
 20522	     -479000	 0.073750478	25.509120825	97.135510913	159.202529237	 0.397291494	         0.002289570	         0.001527716	         0.003817286
 20523	     -478000	 0.075291017	25.116205047	104.020098171	158.346917795	 0.376175188	         0.001504034	         0.000983057	         0.002487091
 20524	     -477000	 0.076898065	24.726864180	110.918557181	157.454793192	 0.356358263	         0.000894769	         0.000562835	         0.001457604
 20525	     -476000	 0.078610144	24.343391493	117.769152026	156.511296495	 0.337860766	         0.000458104	         0.000266981	         0.000725086
 20526	     -475000	 0.080147059	23.964548390	124.453057477	155.505047323	 0.320529619	         0.000181413	         0.000089118	         0.000270531
 20527	     -474000	 0.081736300	23.592875073	131.020021714	154.399628218	 0.304390706	         0.000043067	         0.000013377	         0.000056444
 20528	     -473000	 0.083438263	23.229283684	137.468539094	153.106710476	 0.289389315	         0.000002346	         0.000000030	         0.000002377
 20529	     -472000	 0.085024744	22.873732872	143.925470048	151.193133997	 0.275434907	         0.000000000	         0.000000000	         0.000000000
 20530	     -471000	 0.086547933	22.529770671	150.195334867	149.334818393	 0.262576005	         0.000000000	         0.000000000	         0.000000000
 20531	     -470000	 0.088039061	22.197244271	156.361051185	149.333371200	 0.250715646	         0.000000000	         0.000000000	         0.000000000
 20532	     -469000	 0.089502226	21.877494687	162.561079922	149.331346378	 0.239816542	         0.000000000	         0.000000000	         0.000000000
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.229909553	         0.000000000	         0.000000000	         0.000000000
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.220897618	         0.000000000	         0.000000000	         0.000000000
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.212768003	         0.000000000	         0.000000000	         0.000000000
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.205509625	         0.000000000	         0.000000000	         0.000000000
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.199053588	         0.000000000	         0.000000000	         0.000000000
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.193390119	         0.000000000	         0.000000000	         0.000000000
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.188462585	         0.000000000	         0.000000000	         0.000000000
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.184237952	         0.000000000	         0.000000000	         0.000000000
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.180696183	         0.000000000	         0.000000000	         0.000000000
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.177769445	         0.000000000	         0.000000000	         0.000000000
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.175444018	         0.000000000	         0.000000000	         0.000000000
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.173679485	         0.000000000	         0.000000000	         0.000000000
 20545	     -456000	 0.102644204	19.504268931	-120.267447087	149.269052088	 0.172430773	         0.000000000	         0.000000000	         0.000000000
 20546	     -455000	 0.103279566	19.473503825	-114.469057938	149.262815731	 0.171694973	         0.000000000	         0.000000000	         0.000000000
 20547	     -454000	 0.103740329	19.461807786	-108.793202614	149.256766618	 0.171416067	         0.000000000	         0.000000000	         0.000000000
 20548	     -453000	 0.104099069	19.468549107	-103.074824993	149.250800193	 0.171576767	         0.000000000	         0.000000000	         0.000000000
 20549	     -452000	 0.104512313	19.493756510	-97.261009048	149.244896924	 0.172178997	         0.000000000	         0.000000000	         0.000000000
 20550	     -451000	 0.104488019	19.535143430	-91.476132378	149.239448277	 0.173172360	         0.000000000	         0.000000000	         0.000000000
 20551	     -450000	 0.104580432	19.592772102	-85.643813392	149.234273458	 0.174565108	         0.000000000	         0.000000000	         0.000000000
 20552	     -449000	 0.104597861	19.666035783	-79.761277806	149.229534962	 0.176351900	         0.000000000	         0.000000000	         0.000000000
 20553	     -448000	 0.104415746	19.753339038	-73.738059487	149.225341413	 0.178504995	         0.000000000	         0.000000000	         0.000000000
 20554	     -447000	 0.104213875	19.855322745	-67.798218820	149.221849554	 0.181053455	         0.000000000	         0.000000000	         0.000000000
 20555	     -446000	 0.103913767	19.970649858	-61.716485987	149.219050420	 0.183979215	         0.000000000	         0.000000000	         0.000000000
 20556	     -445000	 0.103632189	20.098451812	-55.561593016	149.217004760	 0.187276711	         0.000000000	         0.000000000	         0.000000000
 20557	     -444000	 0.103142396	20.239479855	-49.397543857	149.215954415	 0.190984096	         0.000000000	         0.000000000	         0.000000000
 20558	     -443000	 0.102594499	20.392340109	-43.180589867	149.215838501	 0.195085463	         0.000000000	         0.000000000	         0.000000000
 20559	     -442000	 0.102094276	20.556316961	-36.906770136	149.216620932	 0.199583065	         0.000000000	         0.000000000	         0.000000000
 20560	     -441000	 0.101418020	20.731396369	-30.501263454	149.218501705	 0.204499709	         0.000000000	         0.000000000	         0.000000000
