LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	173.645417072	 0.495471909	         0.029231148	         0.020648408	         0.049879556
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	173.364596178	 0.484587942	         0.028186887	         0.019911089	         0.048097976
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	173.039707622	 0.472908448	         0.027238325	         0.019250624	         0.046488948
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	172.663907404	 0.460432689	         0.026378628	         0.018660069	         0.045038697
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	172.244119341	 0.447197684	         0.025565609	         0.018108235	         0.043673844
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	171.778959037	 0.433343958	         0.024737250	         0.017545870	         0.042283121
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	171.276376494	 0.418834389	         0.023871568	         0.016955168	         0.040826736
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	170.730535301	 0.403789716	         0.022967603	         0.016334729	         0.039302332
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	170.167212589	 0.388368542	         0.021993483	         0.015662361	         0.037655844
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	169.572997355	 0.372561100	         0.020917909	         0.014908860	         0.035826769
 20511	     -490000	 0.059484652	29.808813997	15.267923373	168.949241140	 0.356542373	         0.019749032	         0.014084156	         0.033833188
 20512	     -489000	 0.060538153	29.442650094	23.011034297	168.309630943	 0.340422544	         0.018470018	         0.013173146	         0.031643164
 20513	     -488000	 0.061639490	29.066784175	30.704745155	167.646442619	 0.324281300	         0.017071786	         0.012172770	         0.029244556
 20514	     -487000	 0.062886122	28.683922654	38.224408913	166.981315113	 0.308277694	         0.015623066	         0.011134160	         0.026757226
 20515	     -486000	 0.064104852	28.293832465	45.936134667	166.287148486	 0.292440767	         0.014096235	         0.010037566	         0.024133801
 20516	     -485000	 0.065275801	27.899601971	53.414207966	165.590913722	 0.276939744	         0.012518339	         0.008901022	         0.021419360
 20517	     -484000	 0.066523121	27.502929228	60.816856720	164.886050772	 0.262083313	         0.010932815	         0.007761445	         0.018694261
 20518	     -483000	 0.067980414	27.102757701	68.326978207	164.165996118	 0.247903262	         0.009379611	         0.006646298	         0.016025909
 20519	     -482000	 0.069279862	26.702831910	75.589135537	163.448446811	 0.234498435	         0.007873112	         0.005563215	         0.013436327
 20520	     -481000	 0.070766927	26.303573924	82.822812481	162.713966068	 0.221839036	         0.006445285	         0.004539443	         0.010984728
 20521	     -480000	 0.072297673	25.904594183	90.011690551	161.985363912	 0.209871171	         0.005157090	         0.003616518	         0.008773608
 20522	     -479000	 0.073750478	25.509120825	97.135510913	161.243825825	 0.198645747	         0.003987708	         0.002778326	         0.006766033
 20523	     -478000	 0.075291017	25.116205047	104.020098171	160.482304761	 0.188087594	         0.002968472	         0.002046033	         0.005014504
 20524	     -477000	 0.076898065	24.726864180	110.918557181	159.598388847	 0.178179131	         0.001978882	         0.001331127	         0.003310009
 20525	     -476000	 0.078610144	24.343391493	117.769152026	158.811512153	 0.168930383	         0.001304912	         0.000846493	         0.002151406
 20526	     -475000	 0.080147059	23.964548390	124.453057477	157.995577065	 0.160264809	         0.000780463	         0.000472749	         0.001253212
 20527	     -474000	 0.081736300	23.592875073	131.020021714	157.176680079	 0.152195353	         0.000417067	         0.000223148	         0.000640216
 20528	     -473000	 0.083438263	23.229283684	137.468539094	156.287091465	 0.144694657	         0.000176203	         0.000075594	         0.000251796
 20529	     -472000	 0.085024744	22.873732872	143.925470048	155.347146606	 0.137717454	         0.000052897	         0.000016670	         0.000069568
 20530	     -471000	 0.086547933	22.529770671	150.195334867	154.331421779	 0.131288002	         0.000010322	         0.000002804	         0.000013127
 20531	     -470000	 0.088039061	22.197244271	156.361051185	153.152474817	 0.125357823	         0.000000272	         0.000000000	         0.000000272
 20532	     -469000	 0.089502226	21.877494687	162.561079922	151.364520603	 0.119908271	         0.000000000	         0.000000000	         0.000000000
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.114954777	         0.000000000	         0.000000000	         0.000000000
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.110448809	         0.000000000	         0.000000000	         0.000000000
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.106384002	         0.000000000	         0.000000000	         0.000000000
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.102754812	         0.000000000	         0.000000000	         0.000000000
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.099526794	         0.000000000	         0.000000000	         0.000000000
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.096695059	         0.000000000	         0.000000000	         0.000000000
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.094231293	         0.000000000	         0.000000000	         0.000000000
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.092118976	         0.000000000	         0.000000000	         0.000000000
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.090348091	         0.000000000	         0.000000000	         0.000000000
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.088884723	         0.000000000	         0.000000000	         0.000000000
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.087722009	         0.000000000	         0.000000000	         0.000000000
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.086839743	         0.000000000	         0.000000000	         0.000000000
 20545	     -456000	 0.102644204	19.504268931	-120.267447087	149.269052088	 0.086215387	         0.000000000	         0.000000000	         0.000000000
 20546	     -455000	 0.103279566	19.473503825	-114.469057938	149.262815731	 0.085847487	         0.000000000	         0.000000000	         0.000000000
 20547	     -454000	 0.103740329	19.461807786	-108.793202614	149.256766618	 0.085708034	         0.000000000	         0.000000000	         0.000000000
 20548	     -453000	 0.104099069	19.468549107	-103.074824993	149.250800193	 0.085788383	         0.000000000	         0.000000000	         0.000000000
 20549	     -452000	 0.104512313	19.493756510	-97.261009048	149.244896924	 0.086089498	         0.000000000	         0.000000000	         0.000000000
 20550	     -451000	 0.104488019	19.535143430	-91.476132378	149.239448277	 0.086586180	         0.000000000	         0.000000000	         0.000000000
 20551	     -450000	 0.104580432	19.592772102	-85.643813392	149.234273458	 0.087282554	         0.000000000	         0.000000000	         0.000000000
 20552	     -449000	 0.104597861	19.666035783	-79.761277806	149.229534962	 0.088175950	         0.000000000	         0.000000000	         0.000000000
 20553	     -448000	 0.104415746	19.753339038	-73.738059487	149.225341413	 0.089252498	         0.000000000	         0.000000000	         0.000000000
 20554	     -447000	 0.104213875	19.855322745	-67.798218820	149.221849554	 0.090526728	         0.000000000	         0.000000000	         0.000000000
 20555	     -446000	 0.103913767	19.970649858	-61.716485987	149.219050420	 0.091989608	         0.000000000	         0.000000000	         0.000000000
 20556	     -445000	 0.103632189	20.098451812	-55.561593016	149.217004760	 0.093638356	         0.000000000	         0.000000000	         0.000000000
 20557	     -444000	 0.103142396	20.239479855	-49.397543857	149.215954415	 0.095492048	         0.000000000	         0.000000000	         0.000000000
 20558	     -443000	 0.102594499	20.392340109	-43.180589867	149.215838501	 0.097542732	         0.000000000	         0.000000000	         0.000000000
 20559	     -442000	 0.102094276	20.556316961	-36.906770136	149.216620932	 0.099791533	         0.000000000	         0.000000000	         0.000000000
 20560	     -441000	 0.101418020	20.731396369	-30.501263454	149.218501705	 0.102249855	         0.000000000	         0.000000000	         0.000000000
 20561	     -440000	 0.100612810	20.916451762	-24.131887082	149.221401757	 0.104914116	         0.000000000	         0.000000000	         0.000000000
 20562	     -439000	 0.099801682	21.110735354	-17.707785438	149.225222180	 0.107785969	         0.000000000	         0.000000000	         0.000000000
 20563	     -438000	 0.098991063	21.313165946	-11.120461420	149.899814529	 0.110861907	         0.000000000	         0.000000000	         0.000000000
 20564	     -437000	 0.097988888	21.522641323	-4.589955745	152.683579064	 0.114137336	         0.000000000	         0.000000000	         0.000000000
 20565	     -436000	 0.097012296	21.738411815	 1.999400543	153.753487428	 0.117612406	         0.000000000	         0.000000000	         0.000000000
 20566	     -435000	 0.096112405	21.959199964	 8.708213249	154.558131084	 0.121277835	         0.000000000	         0.000000000	         0.000000000
 20567	     -434000	 0.094871947	22.183936174	15.425421999	155.219714865	 0.125126147	         0.000000000	         0.000000000	         0.000000000
 20568	     -433000	 0.093717211	22.411455413	22.149081502	155.803483688	 0.129146521	         0.000000000	         0.000000000	         0.000000000
 20569	     -432000	 0.092570945	22.641216795	28.915953590	156.323201883	 0.133337621	         0.000000000	         0.000000000	         0.000000000
 20570	     -431000	 0.091280719	22.872575902	35.851098345	156.792674747	 0.137695308	         0.000000000	         0.000000000	         0.000000000
 20571	     -430000	 0.089880819	23.104270285	42.752121722	157.236700295	 0.142202038	         0.000013243	         0.000000000	         0.000013243
 20572	     -429000	 0.088407314	23.336253064	49.761852521	157.640308179	 0.146862159	         0.000116964	         0.000005456	         0.000122419
 20573	     -428000	 0.087055942	23.568404303	56.828114803	158.022374475	 0.151678550	         0.000283214	         0.000097878	         0.000381092
