LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	170.852675434	 0.495471909	         0.010755282	         0.006598146	         0.017353428
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	170.644414043	 0.484587942	         0.010399821	         0.006397499	         0.016797320
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	170.344035721	 0.472908448	         0.009995134	         0.006159350	         0.016154484
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	169.995932002	 0.460432689	         0.009630419	         0.005947429	         0.015577848
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	169.605543823	 0.447197684	         0.009287232	         0.005749791	         0.015037023
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	169.183332201	 0.433343958	         0.008960034	         0.005562242	         0.014522276
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	168.721654581	 0.418834389	         0.008609926	         0.005359289	         0.013969215
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	168.222172535	 0.403789716	         0.008249679	         0.005149941	         0.013399621
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	167.705807612	 0.388368542	         0.007861996	         0.004921315	         0.012783310
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	167.162609551	 0.372561100	         0.007437524	         0.004667430	         0.012104954
 20511	     -490000	 0.059484652	29.808813997	15.267923373	166.592574744	 0.356542373	         0.006976784	         0.004387217	         0.011364001
 20512	     -489000	 0.060538153	29.442650094	23.011034297	166.005900654	 0.340422544	         0.006470509	         0.004075310	         0.010545819
 20513	     -488000	 0.061639490	29.066784175	30.704745155	165.403363804	 0.324281300	         0.005928533	         0.003739359	         0.009667893
 20514	     -487000	 0.062886122	28.683922654	38.224408913	164.793719525	 0.308277694	         0.005360216	         0.003384597	         0.008744813
 20515	     -486000	 0.064104852	28.293832465	45.936134667	164.154663933	 0.292440767	         0.004761855	         0.003007935	         0.007769790
 20516	     -485000	 0.065275801	27.899601971	53.414207966	163.517674983	 0.276939744	         0.004154916	         0.002624781	         0.006779697
 20517	     -484000	 0.066523121	27.502929228	60.816856720	162.869854692	 0.262083313	         0.003548201	         0.002239183	         0.005787385
 20518	     -483000	 0.067980414	27.102757701	68.326978207	162.210169880	 0.247903262	         0.002963854	         0.001866553	         0.004830408
 20519	     -482000	 0.069279862	26.702831910	75.589135537	161.545348766	 0.234498435	         0.002397345	         0.001502965	         0.003900309
 20520	     -481000	 0.070766927	26.303573924	82.822812481	160.873552071	 0.221839036	         0.001880693	         0.001169307	         0.003050000
 20521	     -480000	 0.072297673	25.904594183	90.011690551	160.197452945	 0.209871171	         0.001418206	         0.000869010	         0.002287216
 20522	     -479000	 0.073750478	25.509120825	97.135510913	159.413588673	 0.198645747	         0.000955102	         0.000564057	         0.001519159
 20523	     -478000	 0.075291017	25.116205047	104.020098171	158.715658686	 0.188087594	         0.000628372	         0.000349128	         0.000977501
