LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	167.979076623	 0.000000000	         0.004946305	         0.002327837	         0.007274142
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	167.735859556	 0.000000000	         0.004733308	         0.002234161	         0.006967469
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	167.457561555	 0.000000000	         0.004534675	         0.002148312	         0.006682987
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	167.191867686	 0.000000000	         0.004391296	         0.002099362	         0.006490658
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	166.838109108	 0.000000000	         0.004211387	         0.002023997	         0.006235384
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	166.452637296	 0.000000000	         0.004032300	         0.001949308	         0.005981608
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	166.036196670	 0.000000000	         0.003845956	         0.001871056	         0.005717012
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	165.588112782	 0.000000000	         0.003655282	         0.001790736	         0.005446017
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	165.125475322	 0.000000000	         0.003455815	         0.001706740	         0.005162555
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	164.637618445	 0.000000000	         0.003242027	         0.001613960	         0.004855987
 20511	     -490000	 0.059484652	29.808813997	15.267923373	164.128114911	 0.000000000	         0.003017757	         0.001514256	         0.004532013
 20512	     -489000	 0.060538153	29.442650094	23.011034297	163.542348436	 0.000000000	         0.002734273	         0.001374479	         0.004108752
 20513	     -488000	 0.061639490	29.066784175	30.704745155	162.998310218	 0.000000000	         0.002484321	         0.001259980	         0.003744301
 20514	     -487000	 0.062886122	28.683922654	38.224408913	162.444064587	 0.000000000	         0.002227560	         0.001140832	         0.003368391
 20515	     -486000	 0.064104852	28.293832465	45.936134667	161.874874499	 0.000000000	         0.001971395	         0.001021000	         0.002992395
 20516	     -485000	 0.065275801	27.899601971	53.414207966	161.362545392	 0.000000000	         0.001750145	         0.000924917	         0.002675062
 20517	     -484000	 0.066523121	27.502929228	60.816856720	160.707967002	 0.000000000	         0.001459092	         0.000775656	         0.002234748
 20518	     -483000	 0.067980414	27.102757701	68.326978207	160.112695715	 0.000000000	         0.001222282	         0.000660545	         0.001882827
 20519	     -482000	 0.069279862	26.702831910	75.589135537	159.510950679	 0.000000000	         0.000998221	         0.000549490	         0.001547710
 20520	     -481000	 0.070766927	26.303573924	82.822812481	158.898254848	 0.000000000	         0.000795068	         0.000447019	         0.001242087
 20521	     -480000	 0.072297673	25.904594183	90.011690551	158.279939097	 0.000000000	         0.000616025	         0.000355094	         0.000971119
 20522	     -479000	 0.073750478	25.509120825	97.135510913	157.646378571	 0.000000000	         0.000460367	         0.000272895	         0.000733262
 20523	     -478000	 0.075291017	25.116205047	104.020098171	157.007618265	 0.000000000	         0.000331938	         0.000203293	         0.000535231
 20524	     -477000	 0.076898065	24.726864180	110.918557181	156.350551125	 0.000000000	         0.000228434	         0.000145189	         0.000373623
 20525	     -476000	 0.078610144	24.343391493	117.769152026	155.673564880	 0.000000000	         0.000148777	         0.000098495	         0.000247272
 20526	     -475000	 0.080147059	23.964548390	124.453057477	154.973160946	 0.000000000	         0.000089837	         0.000062131	         0.000151968
 20527	     -474000	 0.081736300	23.592875073	131.020021714	154.250880130	 0.000000000	         0.000049643	         0.000035786	         0.000085429
 20528	     -473000	 0.083438263	23.229283684	137.468539094	153.483952084	 0.000000000	         0.000023566	         0.000017058	         0.000040624
 20529	     -472000	 0.085024744	22.873732872	143.925470048	152.651691742	 0.000000000	         0.000009059	         0.000006414	         0.000015473
 20530	     -471000	 0.086547933	22.529770671	150.195334867	151.700899811	 0.000000000	         0.000002429	         0.000001641	         0.000004070
 20531	     -470000	 0.088039061	22.197244271	156.361051185	150.332071798	 0.000000000	         0.000000202	         0.000000097	         0.000000299
 20532	     -469000	 0.089502226	21.877494687	162.561079922	149.331346378	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.000000000	         0.000000049	         0.000000001	         0.000000050
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.000000000	         0.000000049	         0.000000001	         0.000000049
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.000000000	         0.000000048	         0.000000001	         0.000000049
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.000000000	         0.000000048	         0.000000001	         0.000000049
