LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	167.044816018	 0.990943818	         0.002280728	         0.001028237	         0.003308965
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	166.789995119	 0.969175883	         0.002140796	         0.000965761	         0.003106557
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	166.498755971	 0.945816896	         0.002018505	         0.000911653	         0.002930158
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	166.168929972	 0.920865377	         0.001913634	         0.000865596	         0.002779230
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	165.800124348	 0.894395368	         0.001814819	         0.000822342	         0.002637161
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	165.397995926	 0.866687915	         0.001717812	         0.000779471	         0.002497283
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	164.964733795	 0.837668777	         0.001616616	         0.000734859	         0.002351475
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	164.497683147	 0.807579432	         0.001511990	         0.000688604	         0.002200595
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	164.007480478	 0.776737083	         0.001395877	         0.000636468	         0.002032346
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	163.497157637	 0.745122200	         0.001272983	         0.000581083	         0.001854066
 20511	     -490000	 0.059484652	29.808813997	15.267923373	162.965356916	 0.713084746	         0.001144326	         0.000522469	         0.001666795
 20512	     -489000	 0.060538153	29.442650094	23.011034297	162.415014435	 0.680845087	         0.001004020	         0.000458161	         0.001462181
 20513	     -488000	 0.061639490	29.066784175	30.704745155	161.846816422	 0.648562600	         0.000857954	         0.000390870	         0.001248824
 20514	     -487000	 0.062886122	28.683922654	38.224408913	161.264436528	 0.616555387	         0.000707738	         0.000321648	         0.001029385
 20515	     -486000	 0.064104852	28.293832465	45.936134667	160.661098977	 0.584881533	         0.000560099	         0.000253406	         0.000813505
 20516	     -485000	 0.065275801	27.899601971	53.414207966	160.047850580	 0.553879489	         0.000415850	         0.000186831	         0.000602681
 20517	     -484000	 0.066523121	27.502929228	60.816856720	159.422686832	 0.524166626	         0.000282616	         0.000125522	         0.000408138
 20518	     -483000	 0.067980414	27.102757701	68.326978207	158.780246288	 0.495806525	         0.000167054	         0.000072272	         0.000239326
 20519	     -482000	 0.069279862	26.702831910	75.589135537	158.129180010	 0.468996870	         0.000072335	         0.000029167	         0.000101501
 20520	     -481000	 0.070766927	26.303573924	82.822812481	157.463426146	 0.443678071	         0.000010082	         0.000002228	         0.000012310
 20521	     -480000	 0.072297673	25.904594183	90.011690551	156.779065315	 0.419742342	         0.000000000	         0.000000000	         0.000000000
