LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	173.646477269	 0.495471909	         0.029234991	         0.020651424	         0.049886415
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	173.364263990	 0.484587942	         0.028185440	         0.019909952	         0.048095392
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	173.042015400	 0.472908448	         0.027246895	         0.019257419	         0.046504314
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	172.665835926	 0.460432689	         0.026385976	         0.018665890	         0.045051866
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	172.241749999	 0.447197684	         0.025556470	         0.018100997	         0.043657467
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	171.780091904	 0.433343958	         0.024741500	         0.017549239	         0.042290739
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	171.276499957	 0.418834389	         0.023872089	         0.016955580	         0.040827669
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	170.729146296	 0.403789716	         0.022962150	         0.016330473	         0.039292623
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	170.166841885	 0.388368542	         0.021991959	         0.015661156	         0.037653116
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	169.571653640	 0.372561100	         0.020912661	         0.014904775	         0.035817435
 20511	     -490000	 0.059484652	29.808813997	15.267923373	168.951744083	 0.356542373	         0.019758821	         0.014091765	         0.033850585
 20512	     -489000	 0.060538153	29.442650094	23.011034297	168.305661079	 0.340422544	         0.018454780	         0.013161247	         0.031616027
 20513	     -488000	 0.061639490	29.066784175	30.704745155	167.648804008	 0.324281300	         0.017080619	         0.012179591	         0.029260211
 20514	     -487000	 0.062886122	28.683922654	38.224408913	166.980749796	 0.308277694	         0.015621049	         0.011132577	         0.026753626
 20515	     -486000	 0.064104852	28.293832465	45.936134667	166.289915438	 0.292440767	         0.014105593	         0.010044891	         0.024150485
 20516	     -485000	 0.065275801	27.899601971	53.414207966	165.591590299	 0.276939744	         0.012520497	         0.008902705	         0.021423202
 20517	     -484000	 0.066523121	27.502929228	60.816856720	164.887823421	 0.262083313	         0.010938042	         0.007765508	         0.018703550
 20518	     -483000	 0.067980414	27.102757701	68.326978207	164.167127160	 0.247903262	         0.009382662	         0.006648659	         0.016031322
 20519	     -482000	 0.069279862	26.702831910	75.589135537	163.448903988	 0.234498435	         0.007874212	         0.005564062	         0.013438275
 20520	     -481000	 0.070766927	26.303573924	82.822812481	162.719090548	 0.221839036	         0.006456379	         0.004547972	         0.011004351
 20521	     -480000	 0.072297673	25.904594183	90.011690551	161.979328363	 0.209871171	         0.005145766	         0.003607846	         0.008753612
 20522	     -479000	 0.073750478	25.509120825	97.135510913	161.242400651	 0.198645747	         0.003985418	         0.002776636	         0.006762054
 20523	     -478000	 0.075291017	25.116205047	104.020098171	160.477956044	 0.188087594	         0.002962400	         0.002041414	         0.005003814
 20524	     -477000	 0.076898065	24.726864180	110.918557181	159.598388847	 0.178179131	         0.001978882	         0.001331127	         0.003310009
 20525	     -476000	 0.078610144	24.343391493	117.769152026	158.811512153	 0.168930383	         0.001304912	         0.000846493	         0.002151406
 20526	     -475000	 0.080147059	23.964548390	124.453057477	157.995457807	 0.160264809	         0.000780395	         0.000472702	         0.001253096
 20527	     -474000	 0.081736300	23.592875073	131.020021714	157.177356472	 0.152195353	         0.000417298	         0.000223292	         0.000640590
 20528	     -473000	 0.083438263	23.229283684	137.468539094	156.287091466	 0.144694657	         0.000176203	         0.000075594	         0.000251796
 20529	     -472000	 0.085024744	22.873732872	143.925470048	155.347171637	 0.137717454	         0.000052899	         0.000016671	         0.000069570
 20530	     -471000	 0.086547933	22.529770671	150.195334867	154.331421779	 0.131288002	         0.000010322	         0.000002804	         0.000013127
 20531	     -470000	 0.088039061	22.197244271	156.361051185	153.152600226	 0.125357823	         0.000000273	         0.000000000	         0.000000273
 20532	     -469000	 0.089502226	21.877494687	162.561079922	151.364520603	 0.119908271	         0.000000000	         0.000000000	         0.000000000
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.114954777	         0.000000000	         0.000000000	         0.000000000
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.110448809	         0.000000000	         0.000000000	         0.000000000
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.106384002	         0.000000000	         0.000000000	         0.000000000
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.102754812	         0.000000000	         0.000000000	         0.000000000
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.099526794	         0.000000000	         0.000000000	         0.000000000
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.096695059	         0.000000000	         0.000000000	         0.000000000
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.094231293	         0.000000000	         0.000000000	         0.000000000
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.092118976	         0.000000000	         0.000000000	         0.000000000
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.090348091	         0.000000000	         0.000000000	         0.000000000
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.088884723	         0.000000000	         0.000000000	         0.000000000
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.087722009	         0.000000000	         0.000000000	         0.000000000
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.086839743	         0.000000000	         0.000000000	         0.000000000
 20545	     -456000	 0.102644204	19.504268931	-120.267447087	149.269052088	 0.086215387	         0.000000000	         0.000000000	         0.000000000
 20546	     -455000	 0.103279566	19.473503825	-114.469057938	149.262815731	 0.085847487	         0.000000000	         0.000000000	         0.000000000
 20547	     -454000	 0.103740329	19.461807786	-108.793202614	149.256766618	 0.085708034	         0.000000000	         0.000000000	         0.000000000
 20548	     -453000	 0.104099069	19.468549107	-103.074824993	149.250800193	 0.085788383	         0.000000000	         0.000000000	         0.000000000
 20549	     -452000	 0.104512313	19.493756510	-97.261009048	149.244896924	 0.086089498	         0.000000000	         0.000000000	         0.000000000
 20550	     -451000	 0.104488019	19.535143430	-91.476132378	149.239448277	 0.086586180	         0.000000000	         0.000000000	         0.000000000
 20551	     -450000	 0.104580432	19.592772102	-85.643813392	149.234273458	 0.087282554	         0.000000000	         0.000000000	         0.000000000
 20552	     -449000	 0.104597861	19.666035783	-79.761277806	149.229534962	 0.088175950	         0.000000000	         0.000000000	         0.000000000
 20553	     -448000	 0.104415746	19.753339038	-73.738059487	149.225341413	 0.089252498	         0.000000000	         0.000000000	         0.000000000
 20554	     -447000	 0.104213875	19.855322745	-67.798218820	149.221849554	 0.090526728	         0.000000000	         0.000000000	         0.000000000
 20555	     -446000	 0.103913767	19.970649858	-61.716485987	149.219050420	 0.091989608	         0.000000000	         0.000000000	         0.000000000
 20556	     -445000	 0.103632189	20.098451812	-55.561593016	149.217004760	 0.093638356	         0.000000000	         0.000000000	         0.000000000
 20557	     -444000	 0.103142396	20.239479855	-49.397543857	149.215954415	 0.095492048	         0.000000000	         0.000000000	         0.000000000
 20558	     -443000	 0.102594499	20.392340109	-43.180589867	149.215838501	 0.097542732	         0.000000000	         0.000000000	         0.000000000
 20559	     -442000	 0.102094276	20.556316961	-36.906770136	149.216620932	 0.099791533	         0.000000000	         0.000000000	         0.000000000
 20560	     -441000	 0.101418020	20.731396369	-30.501263454	149.218501705	 0.102249855	         0.000000000	         0.000000000	         0.000000000
 20561	     -440000	 0.100612810	20.916451762	-24.131887082	149.221401757	 0.104914116	         0.000000000	         0.000000000	         0.000000000
 20562	     -439000	 0.099801682	21.110735354	-17.707785438	149.225222180	 0.107785969	         0.000000000	         0.000000000	         0.000000000
 20563	     -438000	 0.098991063	21.313165946	-11.120461420	149.899814529	 0.110861907	         0.000000000	         0.000000000	         0.000000000
 20564	     -437000	 0.097988888	21.522641323	-4.589955745	152.683579064	 0.114137336	         0.000000000	         0.000000000	         0.000000000
 20565	     -436000	 0.097012296	21.738411815	 1.999400543	153.753487428	 0.117612406	         0.000000000	         0.000000000	         0.000000000
 20566	     -435000	 0.096112405	21.959199964	 8.708213249	154.558131084	 0.121277835	         0.000000000	         0.000000000	         0.000000000
 20567	     -434000	 0.094871947	22.183936174	15.425421999	155.219714865	 0.125126147	         0.000000000	         0.000000000	         0.000000000
 20568	     -433000	 0.093717211	22.411455413	22.149081502	155.803483688	 0.129146521	         0.000000000	         0.000000000	         0.000000000
 20569	     -432000	 0.092570945	22.641216795	28.915953590	156.323201883	 0.133337621	         0.000000000	         0.000000000	         0.000000000
 20570	     -431000	 0.091280719	22.872575902	35.851098345	156.792674747	 0.137695308	         0.000000000	         0.000000000	         0.000000000
 20571	     -430000	 0.089880819	23.104270285	42.752121722	157.236700295	 0.142202038	         0.000013243	         0.000000000	         0.000013243
 20572	     -429000	 0.088407314	23.336253064	49.761852521	157.640308179	 0.146862159	         0.000116964	         0.000005456	         0.000122419
 20573	     -428000	 0.087055942	23.568404303	56.828114803	158.022347949	 0.151678550	         0.000283206	         0.000097873	         0.000381079
 20574	     -427000	 0.085523656	23.800273683	64.050375750	158.390593854	 0.156646758	         0.000507379	         0.000257909	         0.000765289
 20575	     -426000	 0.084054184	24.031816180	71.371111583	158.735502494	 0.161770349	         0.000787536	         0.000462079	         0.001249615
 20576	     -425000	 0.082640209	24.262875673	78.704281287	159.090330419	 0.167050305	         0.001138677	         0.000719182	         0.001857859
 20577	     -424000	 0.081254428	24.494013611	86.283114421	159.541627630	 0.172504474	         0.001645977	         0.001089267	         0.002735244
 20578	     -423000	 0.079854296	24.725194202	93.752355689	159.881427388	 0.178137776	         0.002130341	         0.001442231	         0.003572572
 20579	     -422000	 0.078553475	24.955606627	101.346534410	160.210225766	 0.183935398	         0.002656403	         0.001823269	         0.004479672
 20580	     -421000	 0.077463566	25.186350218	109.066419876	160.423308648	 0.189930451	         0.003061854	         0.002110887	         0.005172740
 20581	     -420000	 0.076046534	25.417401988	116.810454550	160.888831152	 0.196129304	         0.003783527	         0.002629247	         0.006412774
 20582	     -419000	 0.074886169	25.647626042	124.541382536	161.244426719	 0.202507171	         0.004352376	         0.003032522	         0.007384898
 20583	     -418000	 0.073764864	25.877504820	132.342403219	161.604837574	 0.209082403	         0.004904662	         0.003420603	         0.008325265
 20584	     -417000	 0.072698089	26.106626624	140.330293506	161.992979328	 0.215848415	         0.005459142	         0.003807531	         0.009266673
 20585	     -416000	 0.071481174	26.334548067	148.230073918	162.392619291	 0.222796202	         0.005958566	         0.004152290	         0.010110856
 20586	     -415000	 0.070438602	26.560782398	156.299431877	162.811879212	 0.229913703	         0.006416713	         0.004462543	         0.010879256
 20587	     -414000	 0.069487040	26.784373933	164.407454804	163.243121519	 0.237171440	         0.006800235	         0.004716146	         0.011516381
 20588	     -413000	 0.068557237	27.005600883	172.584617908	163.693954125	 0.244577884	         0.007112018	         0.004916034	         0.012028053
 20589	     -412000	 0.067751789	27.223425841	-179.159080626	164.160244440	 0.252096379	         0.007352610	         0.005062308	         0.012414918
 20590	     -411000	 0.067111113	27.436839030	-170.906675002	164.629317791	 0.259686700	         0.007506339	         0.005145535	         0.012651874
 20591	     -410000	 0.066482115	27.646315655	-162.509726288	165.048570538	 0.267359222	         0.007472271	         0.005089807	         0.012562079
 20592	     -409000	 0.065904691	27.850601462	-154.211828413	165.560033466	 0.275059897	         0.007551476	         0.005122437	         0.012673914
 20593	     -408000	 0.065517944	28.049456228	-145.949687243	166.069657254	 0.282766136	         0.007599435	         0.005134636	         0.012734071
 20594	     -407000	 0.065332851	28.243228828	-137.516629651	166.584022252	 0.290421685	         0.007621036	         0.005129647	         0.012750683
 20595	     -406000	 0.064967014	28.430711575	-129.093539419	167.082101767	 0.297943105	         0.007642265	         0.005127644	         0.012769909
 20596	     -405000	 0.064812231	28.612340545	-120.827735272	167.558969297	 0.305335758	         0.007689886	         0.005146614	         0.012836500
 20597	     -404000	 0.064847606	28.788137444	-112.516470610	168.020233143	 0.312589263	         0.007771905	         0.005192819	         0.012964724
 20598	     -403000	 0.064893803	28.957411961	-104.127488074	168.453462662	 0.319663801	         0.007905987	         0.005278465	         0.013184453
 20599	     -402000	 0.065050817	29.120604728	-95.852665171	168.850440641	 0.326566776	         0.008114723	         0.005419545	         0.013534268
 20600	     -401000	 0.065326528	29.277183504	-87.650634931	169.208775360	 0.333265153	         0.008410737	         0.005624368	         0.014035105
 20601	     -400000	 0.065761510	29.427107531	-79.415707434	169.531655372	 0.339746826	         0.008809937	         0.005905124	         0.014715061
 20602	     -399000	 0.066134286	29.570418567	-71.395309280	169.802712796	 0.346003844	         0.009337429	         0.006279212	         0.015616641
 20603	     -398000	 0.066677957	29.705890532	-63.372382483	170.031449004	 0.351972807	         0.009991651	         0.006746794	         0.016738445
 20604	     -397000	 0.067321109	29.833968797	-55.517321169	170.282856140	 0.357663698	         0.010924107	         0.007422126	         0.018346233
 20605	     -396000	 0.067841888	29.954156486	-47.623770726	170.415941630	 0.363045503	         0.011912134	         0.008138737	         0.020050871
 20606	     -395000	 0.068446604	30.064871194	-39.894880808	170.497713054	 0.368038153	         0.013048438	         0.008967535	         0.022015973
 20607	     -394000	 0.069056594	30.166494758	-32.261133437	170.538833436	 0.372649969	         0.014363312	         0.009932760	         0.024296072
 20608	     -393000	 0.069830315	30.258005064	-24.580012009	170.538515904	 0.376826353	         0.015865362	         0.011045835	         0.026911197
 20609	     -392000	 0.070364828	30.338292323	-16.949489692	170.486619097	 0.380508648	         0.017539285	         0.012298333	         0.029837618
 20610	     -391000	 0.071069537	30.407452813	-9.422837673	170.411477768	 0.383694033	         0.019388960	         0.013695793	         0.033084753
 20611	     -390000	 0.071974637	30.464168161	-1.989558957	170.310043654	 0.386315382	         0.021393977	         0.015227364	         0.036621342
 20612	     -389000	 0.072694139	30.508252531	 5.597531740	170.171495477	 0.388358586	         0.023580989	         0.016917488	         0.040498477
 20613	     -388000	 0.073599872	30.539450689	12.910982524	170.019263978	 0.389807511	         0.025835642	         0.018682591	         0.044518233
 20614	     -387000	 0.074543853	30.556607757	20.224631820	169.843212683	 0.390605372	         0.028163011	         0.020525437	         0.048688448
 20615	     -386000	 0.075566540	30.560587332	27.486301600	169.647861491	 0.390790541	         0.030509584	         0.022410743	         0.052920327
 20616	     -385000	 0.076485975	30.550826221	34.596577097	169.440095058	 0.390336429	         0.032771966	         0.024250979	         0.057022945
 20617	     -384000	 0.077541059	30.526875215	41.661964832	169.213815638	 0.389223178	         0.034910576	         0.026015916	         0.060926492
 20618	     -383000	 0.078573765	30.489771046	48.661430888	168.979269199	 0.387501415	         0.036855574	         0.027642749	         0.064498322
 20619	     -382000	 0.079500041	30.438760556	55.635630547	168.738674921	 0.385140042	         0.038536031	         0.029068991	         0.067605021
 20620	     -381000	 0.080402545	30.374413693	62.482195433	168.493201469	 0.382170782	         0.039840089	         0.030193347	         0.070033436
 20621	     -380000	 0.081375338	30.297212191	69.296712439	168.240869967	 0.378622448	         0.040773205	         0.031014559	         0.071787764
 20622	     -379000	 0.082284373	30.206346938	76.185991488	167.985476809	 0.374466038	         0.041276772	         0.031478025	         0.072754797
 20623	     -378000	 0.083049984	30.103098249	82.990154027	167.725746590	 0.369769700	         0.041240220	         0.031484832	         0.072725052
 20624	     -377000	 0.083857725	29.987064110	89.737708666	167.455543850	 0.364525979	         0.040614603	         0.030998422	         0.071613025
 20625	     -376000	 0.084810534	29.857578588	96.491010331	167.132755857	 0.358717753	         0.039098623	         0.029756689	         0.068855312
 20626	     -375000	 0.085547898	29.716190947	103.293678277	166.875648079	 0.352428780	         0.037561764	         0.028501503	         0.066063266
 20627	     -374000	 0.086310245	29.561732534	109.980901135	166.693084147	 0.345622921	         0.036120860	         0.027323942	         0.063444802
 20628	     -373000	 0.087220885	29.394130740	116.615450043	166.433221327	 0.338315484	         0.033788142	         0.025419033	         0.059207176
 20629	     -372000	 0.087896304	29.214470266	123.340123235	166.176279257	 0.330573537	         0.031094396	         0.023233397	         0.054327793
 20630	     -371000	 0.088614506	29.021319542	129.933008314	165.919001029	 0.322357462	         0.028238693	         0.020946009	         0.049184702
 20631	     -370000	 0.089361930	28.815628023	136.537886158	165.660941235	 0.313732200	         0.025303859	         0.018618885	         0.043922744
 20632	     -369000	 0.090081311	28.597684364	143.171191562	165.400014871	 0.304735380	         0.022340300	         0.016301000	         0.038641300
 20633	     -368000	 0.090634649	28.366654751	149.716933363	165.126577492	 0.295360704	         0.019371437	         0.014006281	         0.033377718
 20634	     -367000	 0.091311248	28.124317198	156.301421281	164.858770061	 0.285709411	         0.016594307	         0.011891860	         0.028486167
 20635	     -366000	 0.092003515	27.870318059	162.767453622	164.575828006	 0.275814762	         0.013985405	         0.009932279	         0.023917684
 20636	     -365000	 0.092570801	27.604992693	169.371806482	164.292574033	 0.265827942	         0.011567442	         0.008141059	         0.019708500
 20637	     -364000	 0.093119552	27.330446081	175.827157039	163.995360540	 0.255874550	         0.009421263	         0.006569191	         0.015990455
 20638	     -363000	 0.093640067	27.046354091	-177.781266293	163.671430928	 0.245967275	         0.007511562	         0.005187123	         0.012698685
 20639	     -362000	 0.094269015	26.754330361	-171.315876311	163.374320568	 0.236183064	         0.005924928	         0.004049890	         0.009974818
 20640	     -361000	 0.094618814	26.456094150	-164.938958484	163.001112408	 0.226592300	         0.004495140	         0.003030915	         0.007526056
 20641	     -360000	 0.094987851	26.151951376	-158.573095958	162.572697952	 0.217212583	         0.003284960	         0.002174020	         0.005458981
 20642	     -359000	 0.095369622	25.844145517	-152.287201787	162.203137436	 0.208115144	         0.002386568	         0.001542404	         0.003928972
