LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	169.853308910	 0.495471909	         0.010692379	         0.006537942	         0.017230321
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	169.580079691	 0.484587942	         0.010182088	         0.006224689	         0.016406777
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	169.263979027	 0.472908448	         0.009713525	         0.005939688	         0.015653213
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	168.903130964	 0.460432689	         0.009289907	         0.005685149	         0.014975056
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	168.496639124	 0.447197684	         0.008882073	         0.005440402	         0.014322475
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	168.052704889	 0.433343958	         0.008480810	         0.005199200	         0.013680009
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	167.508561493	 0.418834389	         0.007946709	         0.004864942	         0.012811652
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	167.053291495	 0.403789716	         0.007639341	         0.004692777	         0.012332118
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	166.508617384	 0.388368542	         0.007177778	         0.004411165	         0.011588943
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	165.944995461	 0.372561100	         0.006700055	         0.004120260	         0.010820315
 20511	     -490000	 0.059484652	29.808813997	15.267923373	165.352428448	 0.356542373	         0.006191634	         0.003806714	         0.009998348
 20512	     -489000	 0.060538153	29.442650094	23.011034297	164.668420646	 0.340422544	         0.005525016	         0.003382801	         0.008907817
 20513	     -488000	 0.061639490	29.066784175	30.704745155	164.036254749	 0.324281300	         0.004955045	         0.003030010	         0.007985055
 20514	     -487000	 0.062886122	28.683922654	38.224408913	163.387903452	 0.308277694	         0.004363096	         0.002662467	         0.007025562
 20515	     -486000	 0.064104852	28.293832465	45.936134667	162.716631706	 0.292440767	         0.003768493	         0.002293120	         0.006061613
 20516	     -485000	 0.065275801	27.899601971	53.414207966	162.036325227	 0.276939744	         0.003171943	         0.001922523	         0.005094466
 20517	     -484000	 0.066523121	27.502929228	60.816856720	161.342959493	 0.262083313	         0.002595264	         0.001565190	         0.004160453
 20518	     -483000	 0.067980414	27.102757701	68.326978207	160.631163719	 0.247903262	         0.002055295	         0.001231242	         0.003286537
 20519	     -482000	 0.069279862	26.702831910	75.589135537	159.910780721	 0.234498435	         0.001554778	         0.000922058	         0.002476836
 20520	     -481000	 0.070766927	26.303573924	82.822812481	159.175527320	 0.221839036	         0.001116448	         0.000652737	         0.001769185
 20521	     -480000	 0.072297673	25.904594183	90.011690551	158.420498723	 0.209871171	         0.000743341	         0.000424436	         0.001167777
 20522	     -479000	 0.073750478	25.509120825	97.135510913	157.649465289	 0.198645747	         0.000443986	         0.000243652	         0.000687638
 20523	     -478000	 0.075291017	25.116205047	104.020098171	156.854721308	 0.188087594	         0.000221162	         0.000113523	         0.000334685
 20524	     -477000	 0.076898065	24.726864180	110.918557181	156.025602064	 0.178179131	         0.000076998	         0.000033418	         0.000110415
