LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	173.645417072	 0.495471909	         0.000000000	         0.020648408	         0.020648408
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	173.364596178	 0.484587942	         0.000000000	         0.019911089	         0.019911089
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	173.039707622	 0.472908448	         0.000000000	         0.019250624	         0.019250624
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	172.663907404	 0.460432689	         0.000000000	         0.018660069	         0.018660069
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	172.244119341	 0.447197684	         0.000000000	         0.018108235	         0.018108235
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	171.778959037	 0.433343958	         0.000000000	         0.017545870	         0.017545870
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	171.276376494	 0.418834389	         0.000000000	         0.016955168	         0.016955168
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	170.730535301	 0.403789716	         0.000000000	         0.016334729	         0.016334729
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	170.167212589	 0.388368542	         0.000000000	         0.015662361	         0.015662361
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	169.572997355	 0.372561100	         0.000000000	         0.014908860	         0.014908860
 20511	     -490000	 0.059484652	29.808813997	15.267923373	168.949241140	 0.356542373	         0.000000000	         0.014084156	         0.014084156
 20512	     -489000	 0.060538153	29.442650094	23.011034297	168.309630943	 0.340422544	         0.000000000	         0.013173146	         0.013173146
 20513	     -488000	 0.061639490	29.066784175	30.704745155	167.646442619	 0.324281300	         0.000000000	         0.012172770	         0.012172770
 20514	     -487000	 0.062886122	28.683922654	38.224408913	166.981315113	 0.308277694	         0.000000000	         0.011134160	         0.011134160
 20515	     -486000	 0.064104852	28.293832465	45.936134667	166.287148486	 0.292440767	         0.000000000	         0.010037566	         0.010037566
 20516	     -485000	 0.065275801	27.899601971	53.414207966	165.590913722	 0.276939744	         0.000000000	         0.008901022	         0.008901022
 20517	     -484000	 0.066523121	27.502929228	60.816856720	164.886050772	 0.262083313	         0.000000000	         0.007761445	         0.007761445
 20518	     -483000	 0.067980414	27.102757701	68.326978207	164.165996118	 0.247903262	         0.000000000	         0.006646298	         0.006646298
 20519	     -482000	 0.069279862	26.702831910	75.589135537	163.448446811	 0.234498435	         0.000000000	         0.005563215	         0.005563215
 20520	     -481000	 0.070766927	26.303573924	82.822812481	162.713966068	 0.221839036	         0.000000000	         0.004539443	         0.004539443
 20521	     -480000	 0.072297673	25.904594183	90.011690551	161.985363912	 0.209871171	         0.000000000	         0.003616518	         0.003616518
 20522	     -479000	 0.073750478	25.509120825	97.135510913	161.243825825	 0.198645747	         0.000000000	         0.002778326	         0.002778326
 20523	     -478000	 0.075291017	25.116205047	104.020098171	160.482304761	 0.188087594	         0.000000000	         0.002046033	         0.002046033
 20524	     -477000	 0.076898065	24.726864180	110.918557181	159.598388847	 0.178179131	         0.000000000	         0.001331127	         0.001331127
 20525	     -476000	 0.078610144	24.343391493	117.769152026	158.811512153	 0.168930383	         0.000000000	         0.000846493	         0.000846493
 20526	     -475000	 0.080147059	23.964548390	124.453057477	157.995577065	 0.160264809	         0.000000000	         0.000472749	         0.000472749
 20527	     -474000	 0.081736300	23.592875073	131.020021714	157.176680079	 0.152195353	         0.000000000	         0.000223148	         0.000223148
 20528	     -473000	 0.083438263	23.229283684	137.468539094	156.287091465	 0.144694657	         0.000000000	         0.000075594	         0.000075594
 20529	     -472000	 0.085024744	22.873732872	143.925470048	155.347146606	 0.137717454	         0.000000000	         0.000016670	         0.000016670
 20530	     -471000	 0.086547933	22.529770671	150.195334867	154.331421779	 0.131288002	         0.000000000	         0.000002804	         0.000002804
 20531	     -470000	 0.088039061	22.197244271	156.361051185	153.152474817	 0.125357823	         0.000000000	         0.000000000	         0.000000000
 20532	     -469000	 0.089502226	21.877494687	162.561079922	151.364520603	 0.119908271	         0.000000000	         0.000000000	         0.000000000
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.114954777	         0.000000000	         0.000000000	         0.000000000
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.110448809	         0.000000000	         0.000000000	         0.000000000
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.106384002	         0.000000000	         0.000000000	         0.000000000
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.102754812	         0.000000000	         0.000000000	         0.000000000
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.099526794	         0.000000000	         0.000000000	         0.000000000
