LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 20501	     -500000	 0.053483653	32.703763755	-67.814367410	167.979076623	 0.495471909	         0.004749449	         0.001087099	         0.005836548
 20502	     -499000	 0.053288153	32.488620538	-59.367825181	167.735859556	 0.484587942	         0.004508971	         0.001035648	         0.005544619
 20503	     -498000	 0.053377802	32.256228450	-50.865905620	167.457561555	 0.472908448	         0.004304551	         0.000992756	         0.005297308
 20504	     -497000	 0.053647700	32.006039467	-42.223229794	167.191867686	 0.460432689	         0.004204808	         0.000978332	         0.005183140
 20505	     -496000	 0.054047376	31.738155109	-33.689989970	166.838109108	 0.447197684	         0.004047391	         0.000946535	         0.004993926
 20506	     -495000	 0.054631131	31.454701396	-25.262552658	166.452637296	 0.433343958	         0.003893238	         0.000915323	         0.004808562
 20507	     -494000	 0.055503104	31.154095440	-16.914646569	166.036196670	 0.418834389	         0.003727578	         0.000881174	         0.004608751
 20508	     -493000	 0.056285559	30.837897089	-8.625617696	165.588112782	 0.403789716	         0.003555534	         0.000845187	         0.004400721
 20509	     -492000	 0.057273798	30.508467070	-0.601773950	165.125475322	 0.388368542	         0.003364281	         0.000804486	         0.004168767
 20510	     -491000	 0.058303969	30.164542217	 7.329286080	164.637618445	 0.372561100	         0.003145970	         0.000756036	         0.003902005
 20511	     -490000	 0.059484652	29.808813997	15.267923373	164.069543798	 0.356542373	         0.002832133	         0.000679932	         0.003512065
 20512	     -489000	 0.060538153	29.442650094	23.011034297	163.539123315	 0.340422544	         0.002559376	         0.000616606	         0.003175981
 20513	     -488000	 0.061639490	29.066784175	30.704745155	162.996945214	 0.324281300	         0.002270530	         0.000548630	         0.002819160
 20514	     -487000	 0.062886122	28.683922654	38.224408913	162.442476321	 0.308277694	         0.001963085	         0.000475397	         0.002438482
 20515	     -486000	 0.064104852	28.293832465	45.936134667	161.872536948	 0.292440767	         0.001653468	         0.000400747	         0.002054215
 20516	     -485000	 0.065275801	27.899601971	53.414207966	161.293603192	 0.276939744	         0.001335000	         0.000322708	         0.001657708
 20517	     -484000	 0.066523121	27.502929228	60.816856720	160.708095857	 0.262083313	         0.001027219	         0.000246693	         0.001273912
 20518	     -483000	 0.067980414	27.102757701	68.326978207	160.109350872	 0.247903262	         0.000741530	         0.000175780	         0.000917310
 20519	     -482000	 0.069279862	26.702831910	75.589135537	159.506908347	 0.234498435	         0.000480195	         0.000110737	         0.000590932
 20520	     -481000	 0.070766927	26.303573924	82.822812481	158.894945662	 0.221839036	         0.000260925	         0.000056118	         0.000317044
 20521	     -480000	 0.072297673	25.904594183	90.011690551	158.275468540	 0.209871171	         0.000093537	         0.000015430	         0.000108966
 20522	     -479000	 0.073750478	25.509120825	97.135510913	157.643782021	 0.198645747	         0.000000596	         0.000000000	         0.000000596
 20523	     -478000	 0.075291017	25.116205047	104.020098171	157.004863773	 0.188087594	         0.000000000	         0.000000000	         0.000000000
 20524	     -477000	 0.076898065	24.726864180	110.918557181	156.350597100	 0.178179131	         0.000000000	         0.000000000	         0.000000000
 20525	     -476000	 0.078610144	24.343391493	117.769152026	155.673611017	 0.168930383	         0.000000000	         0.000000000	         0.000000000
 20526	     -475000	 0.080147059	23.964548390	124.453057477	154.973166336	 0.160264809	         0.000000000	         0.000000000	         0.000000000
 20527	     -474000	 0.081736300	23.592875073	131.020021714	154.249760961	 0.152195353	         0.000000000	         0.000000000	         0.000000000
 20528	     -473000	 0.083438263	23.229283684	137.468539094	153.483140118	 0.144694657	         0.000000000	         0.000000000	         0.000000000
 20529	     -472000	 0.085024744	22.873732872	143.925470048	152.649669107	 0.137717454	         0.000000000	         0.000000000	         0.000000000
 20530	     -471000	 0.086547933	22.529770671	150.195334867	151.700133955	 0.131288002	         0.000000000	         0.000000000	         0.000000000
 20531	     -470000	 0.088039061	22.197244271	156.361051185	150.326409674	 0.125357823	         0.000000000	         0.000000000	         0.000000000
 20532	     -469000	 0.089502226	21.877494687	162.561079922	149.331346378	 0.119908271	         0.000000000	         0.000000000	         0.000000000
 20533	     -468000	 0.090729618	21.573982193	168.627502878	149.328751849	 0.114954777	         0.000000000	         0.000000000	         0.000000000
 20534	     -467000	 0.091988770	21.286308398	174.612217699	149.325741123	 0.110448809	         0.000000000	         0.000000000	         0.000000000
 20535	     -466000	 0.093237521	21.016546235	-179.294602679	149.322198882	 0.106384002	         0.000000000	         0.000000000	         0.000000000
 20536	     -465000	 0.094204887	20.766837482	-173.280920725	149.318177726	 0.102754812	         0.000000000	         0.000000000	         0.000000000
 20537	     -464000	 0.095244397	20.537205881	-167.314968424	149.313830611	 0.099526794	         0.000000000	         0.000000000	         0.000000000
 20538	     -463000	 0.096312874	20.329546983	-161.363161225	149.309139337	 0.096695059	         0.000000000	         0.000000000	         0.000000000
 20539	     -462000	 0.097278858	20.143863604	-155.323193101	149.304005772	 0.094231293	         0.000000000	         0.000000000	         0.000000000
 20540	     -461000	 0.098254956	19.980760304	-149.424423734	149.298693600	 0.092118976	         0.000000000	         0.000000000	         0.000000000
 20541	     -460000	 0.099104240	19.841112321	-143.506292126	149.293072752	 0.090348091	         0.000000000	         0.000000000	         0.000000000
 20542	     -459000	 0.100206210	19.723633083	-137.617000694	149.287257376	 0.088884723	         0.000000000	         0.000000000	         0.000000000
 20543	     -458000	 0.101029490	19.628903216	-131.780502330	149.281272010	 0.087722009	         0.000000000	         0.000000000	         0.000000000
 20544	     -457000	 0.101843791	19.556180600	-125.984251201	149.275173829	 0.086839743	         0.000000000	         0.000000000	         0.000000000
