LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
  1001	   -20000000	 0.026171391	33.922281863	-98.499635656	177.308731891	 0.558088105	         0.096882888	         0.072612093	         0.169494981
  1002	   -19999000	 0.025083464	34.222311941	-92.513370560	177.663649709	 0.573665724	         0.105745616	         0.081035997	         0.186781613
  1003	   -19998000	 0.024047344	34.535462439	-86.325954028	178.013790040	 0.589947666	         0.114774059	         0.089676328	         0.204450387
  1004	   -19997000	 0.023018133	34.862300467	-79.717245758	178.380691208	 0.606940281	         0.123420417	         0.097973789	         0.221394206
  1005	   -19996000	 0.021916881	35.201604316	-72.787666074	178.769524811	 0.624549632	         0.132308704	         0.106552656	         0.238861360
  1006	   -19995000	 0.020809815	35.551541859	-65.864943268	179.161186079	 0.642642959	         0.140885560	         0.114862530	         0.255748089
  1007	   -19994000	 0.019889331	35.912692076	-58.586277161	179.559390366	 0.661204962	         0.149704580	         0.123485252	         0.273189832
  1008	   -19993000	 0.018773854	36.282845523	-50.551358077	179.968379238	 0.680069702	         0.158384917	         0.132025574	         0.290410491
  1009	   -19992000	 0.017608390	36.661150421	-42.641785768	180.401185901	 0.699135652	         0.167404649	         0.140900795	         0.308305444
  1010	   -19991000	 0.016608399	37.046872515	-34.494372475	180.830351261	 0.718301932	         0.176710922	         0.150107672	         0.326818595
  1011	   -19990000	 0.015593174	37.437677339	-25.232054234	181.269202526	 0.737385696	         0.185651783	         0.158982506	         0.344634289
  1012	   -19989000	 0.014478138	37.833772113	-15.445453092	181.698555813	 0.756327622	         0.194553340	         0.167865915	         0.362419255
  1013	   -19988000	 0.013471719	38.232603730	-5.041415144	182.132808463	 0.774935780	         0.203935707	         0.177252000	         0.381187707
  1014	   -19987000	 0.012585347	38.632598813	 6.581386876	182.568852662	 0.793071690	         0.213257967	         0.186628791	         0.399886757
  1015	   -19986000	 0.011840419	39.034180083	19.481404106	182.996242249	 0.810690728	         0.222930540	         0.196426211	         0.419356752
  1016	   -19985000	 0.011332268	39.433943931	33.369791609	183.416028122	 0.827586843	         0.232961030	         0.206671301	         0.439632331
  1017	   -19984000	 0.011069379	39.831126575	47.795364002	183.814858549	 0.843683108	         0.243356504	         0.217416578	         0.460773082
  1018	   -19983000	 0.011261299	40.225555949	62.841697280	184.216619852	 0.858933709	         0.254212465	         0.228700604	         0.482913069
  1019	   -19982000	 0.011539042	40.614105338	77.476225765	184.581414959	 0.873192494	         0.266123020	         0.241271276	         0.507394297
  1020	   -19981000	 0.012153147	40.996634928	91.243024089	184.940907173	 0.886443893	         0.279047818	         0.255032071	         0.534079889
  1021	   -19980000	 0.012999186	41.371689204	103.694472231	185.260566854	 0.898637761	         0.292661973	         0.269757042	         0.562419015
  1022	   -19979000	 0.014178053	41.737540572	116.013259907	185.560630461	 0.909734262	         0.307256880	         0.285689850	         0.592946730
  1023	   -19978000	 0.015225149	42.093988861	127.165098219	185.811354367	 0.919755708	         0.323647933	         0.303858127	         0.627506060
  1024	   -19977000	 0.016494324	42.438284384	137.266647664	186.056331326	 0.928668306	         0.341242355	         0.323519179	         0.664761534
  1025	   -19976000	 0.017923251	42.770396651	146.530774835	186.262407281	 0.936528592	         0.359859458	         0.344594970	         0.704454428
  1026	   -19975000	 0.019370441	43.089214725	156.009429942	186.426778184	 0.943374939	         0.380827395	         0.368589560	         0.749416955
  1027	   -19974000	 0.020794470	43.391803351	164.330749775	186.571757584	 0.949224505	         0.402784775	         0.393903920	         0.796688695
  1028	   -19973000	 0.022362826	43.679092475	172.520991126	186.676478840	 0.954182643	         0.426325184	         0.421293322	         0.847618506
  1029	   -19972000	 0.023883439	43.949171406	-179.622680261	186.760962487	 0.958306053	         0.451516256	         0.450740412	         0.902256667
  1030	   -19971000	 0.025357233	44.199667813	-172.141567048	186.817942631	 0.961658475	         0.477742725	         0.481501736	         0.959244461
  1031	   -19970000	 0.026856088	44.431479082	-164.892172729	186.855256888	 0.964351773	         0.505126533	         0.513634698	         1.018761232
  1032	   -19969000	 0.028389693	44.642456467	-157.710349431	186.870098579	 0.966458296	         0.533584422	         0.546999219	         1.080583641
  1033	   -19968000	 0.029859780	44.831725092	-150.500555033	186.839680829	 0.968066666	         0.562634348	         0.580976484	         1.143610832
  1034	   -19967000	 0.031219921	44.999176651	-143.600618758	186.820023382	 0.969266623	         0.591207701	         0.614106074	         1.205313775
  1035	   -19966000	 0.032677141	45.142997233	-136.849526087	186.772909487	 0.970129470	         0.619501262	         0.646611898	         1.266113160
  1036	   -19965000	 0.034245304	45.264107243	-130.058633928	186.702707445	 0.970735493	         0.647929269	         0.678837833	         1.326767102
  1037	   -19964000	 0.035575023	45.361086144	-123.274058594	186.625173268	 0.971141136	         0.673846498	         0.707829372	         1.381675870
  1038	   -19963000	 0.036955702	45.433129158	-116.857052967	186.548662627	 0.971396573	         0.697701305	         0.734098539	         1.431799844
  1039	   -19962000	 0.038404194	45.481685496	-110.484493597	186.464715996	 0.971546642	         0.719237102	         0.757458167	         1.476695269
  1040	   -19961000	 0.039729720	45.505351848	-104.084070127	186.360187643	 0.971613334	         0.736802569	         0.776231479	         1.513034048
  1041	   -19960000	 0.040946275	45.504408158	-97.963477744	186.261076343	 0.971610755	         0.749519454	         0.789559190	         1.539078644
  1042	   -19959000	 0.042212529	45.479203935	-91.964697326	186.159869332	 0.971539404	         0.758366567	         0.798667683	         1.557034250
  1043	   -19958000	 0.043268541	45.429119756	-85.814637117	186.073119887	 0.971383386	         0.761344327	         0.801636502	         1.562980829
  1044	   -19957000	 0.044173771	45.355679185	-79.874641479	185.998302079	 0.971120386	         0.758757633	         0.798860045	         1.557617678
  1045	   -19956000	 0.045055564	45.258068520	-73.977808100	185.921013380	 0.970707890	         0.751197331	         0.790959688	         1.542157019
  1046	   -19955000	 0.045858729	45.136118674	-67.977974932	185.834357890	 0.970091739	         0.737937490	         0.777037652	         1.514975142
  1047	   -19954000	 0.046481300	44.991954938	-61.977825699	185.782782105	 0.969219204	         0.719775668	         0.757748079	         1.477523747
  1048	   -19953000	 0.047073867	44.824428769	-55.981780880	185.728890572	 0.968009614	         0.697238801	         0.733512390	         1.430751191
  1049	   -19952000	 0.047651649	44.634226137	-50.129598326	185.660283677	 0.966382306	         0.671027069	         0.705005912	         1.376032982
  1050	   -19951000	 0.048204085	44.422513082	-44.025307593	185.595487056	 0.964254956	         0.640897083	         0.671813743	         1.312710827
  1051	   -19950000	 0.048629207	44.188914494	-38.098972168	185.553540617	 0.961523964	         0.609006303	         0.636071825	         1.245078128
  1052	   -19949000	 0.049012160	43.935312141	-32.291225863	185.507947174	 0.958107259	         0.575517148	         0.598031083	         1.173548230
  1053	   -19948000	 0.049593516	43.661300383	-26.442249248	185.437484738	 0.953892622	         0.540947308	         0.558335785	         1.099283093
  1054	   -19947000	 0.049837404	43.367513659	-20.635141885	185.395888656	 0.948778555	         0.504971528	         0.516544600	         1.021516127
  1055	   -19946000	 0.050163429	43.056511638	-15.032079043	185.326718722	 0.942704683	         0.469807963	         0.475568581	         0.945376544
  1056	   -19945000	 0.050440291	42.728040607	-9.501507933	185.253567468	 0.935567103	         0.434954389	         0.434817513	         0.869771902
  1057	   -19944000	 0.050586745	42.383157358	-3.911277041	185.174665673	 0.927292976	         0.400608884	         0.394757710	         0.795366594
  1058	   -19943000	 0.050576295	42.023780349	 1.438745586	185.087894148	 0.917844872	         0.368088771	         0.356976895	         0.725065666
  1059	   -19942000	 0.050617086	41.650754132	 6.830564121	184.980567784	 0.907175104	         0.336941229	         0.321108804	         0.658050033
  1060	   -19941000	 0.050566727	41.266023953	12.225084620	184.865460826	 0.895284599	         0.307701338	         0.287784758	         0.595486096
  1061	   -19940000	 0.050286727	40.870085146	17.497026897	184.714940419	 0.882149063	         0.280063012	         0.256813119	         0.536876131
  1062	   -19939000	 0.050116701	40.464455343	22.726076449	184.564228457	 0.867793580	         0.254682964	         0.228778253	         0.483461217
  1063	   -19938000	 0.049891062	40.052042825	27.908171369	184.388582272	 0.852318240	         0.231315532	         0.203466785	         0.434782317
  1064	   -19937000	 0.049567948	39.632484798	33.161513885	184.206124323	 0.835722377	         0.209940384	         0.180708834	         0.390649218
  1065	   -19936000	 0.049148852	39.207619843	38.217638915	183.978127603	 0.818103330	         0.190429788	         0.160455033	         0.350884822
  1066	   -19935000	 0.048771965	38.779652476	43.192244106	183.724050830	 0.799595075	         0.172650724	         0.142401777	         0.315052501
  1067	   -19934000	 0.048431237	38.349085987	48.228672650	183.460112099	 0.780274126	         0.156435904	         0.126268074	         0.282703978
  1068	   -19933000	 0.047869722	37.918007834	53.236437469	183.181647179	 0.760298567	         0.142053921	         0.112273448	         0.254327369
  1069	   -19932000	 0.047363271	37.486828265	57.939180952	182.879359180	 0.739759221	         0.129162048	         0.100017111	         0.229179159
  1070	   -19931000	 0.046891920	37.057242874	62.837585991	182.537394425	 0.718812932	         0.117070369	         0.088782786	         0.205853156
  1071	   -19930000	 0.046253101	36.631699374	67.629508242	182.193170475	 0.697660253	         0.106502341	         0.079148207	         0.185650548
  1072	   -19929000	 0.045681654	36.209663113	72.303736332	181.827096017	 0.676354956	         0.096840308	         0.070530441	         0.167370749
  1073	   -19928000	 0.045170450	35.793287560	77.005392141	181.425923700	 0.655082913	         0.087807937	         0.062624660	         0.150432597
  1074	   -19927000	 0.044531012	35.384813270	81.799768994	181.028240604	 0.634033224	         0.079709952	         0.055652227	         0.135362178
  1075	   -19926000	 0.043948360	34.983889153	86.283694519	180.614988764	 0.613255872	         0.072307991	         0.049378480	         0.121686471
  1076	   -19925000	 0.043428272	34.593209038	90.774928911	180.182263112	 0.592950818	         0.065399084	         0.043606302	         0.109005385
  1077	   -19924000	 0.042968974	34.213536455	95.354064074	179.735536743	 0.573209683	         0.058700008	         0.038056058	         0.096756066
  1078	   -19923000	 0.042378714	33.845416533	99.749704898	179.282420504	 0.554103326	         0.052606192	         0.033055928	         0.085662119
  1079	   -19922000	 0.041803862	33.491738443	104.026104776	178.811647611	 0.535814312	         0.046598447	         0.028149418	         0.074747864
  1080	   -19921000	 0.041386175	33.152108166	108.195459402	178.292779122	 0.518345135	         0.039822682	         0.022580672	         0.062403354
  1081	   -19920000	 0.040846435	32.827917234	112.435323827	177.740547410	 0.501781418	         0.032634260	         0.016636226	         0.049270486
  1082	   -19919000	 0.040266806	32.520913499	116.542543047	177.279703949	 0.486217411	         0.028407710	         0.013301003	         0.041708713
  1083	   -19918000	 0.039678554	32.231016043	120.495979890	176.867694118	 0.471646463	         0.025367270	         0.010947389	         0.036314659
  1084	   -19917000	 0.039155942	31.960078668	124.660915137	176.481685812	 0.458152623	         0.022929058	         0.009036535	         0.031965593
  1085	   -19916000	 0.038398413	31.708186457	128.642215324	176.131902659	 0.445725450	         0.021077325	         0.007744540	         0.028821865
  1086	   -19915000	 0.037876773	31.475888752	132.667218748	175.804334764	 0.434373865	         0.019525618	         0.006782942	         0.026308561
  1087	   -19914000	 0.037350916	31.265196393	136.851121628	175.506574904	 0.424174240	         0.018303992	         0.006070536	         0.024374528
  1088	   -19913000	 0.036651547	31.074845616	141.061436321	175.220174206	 0.415042171	         0.017334342	         0.005523293	         0.022857635
  1089	   -19912000	 0.036115261	30.906048607	145.027230427	174.984692404	 0.407012755	         0.016594231	         0.005126148	         0.021720379
  1090	   -19911000	 0.035632055	30.759956858	149.258379436	174.759659477	 0.400117296	         0.016025202	         0.004818293	         0.020843496
  1091	   -19910000	 0.035101562	30.635095646	153.553601103	174.565624610	 0.394264683	         0.015655524	         0.004616172	         0.020271695
  1092	   -19909000	 0.034538132	30.533275890	157.759752621	174.377079919	 0.389520542	         0.015368958	         0.004455620	         0.019824577
  1093	   -19908000	 0.034049909	30.453864414	161.939439602	174.250600815	 0.385838539	         0.015282692	         0.004387095	         0.019669787
  1094	   -19907000	 0.033570726	30.396168181	166.303312454	174.119433905	 0.383173445	         0.015297504	         0.004367064	         0.019664568
  1095	   -19906000	 0.033016995	30.361745114	170.781872127	174.007828977	 0.381587450	         0.015443071	         0.004401977	         0.019845047
  1096	   -19905000	 0.032441065	30.348831819	175.088326325	173.929974804	 0.380993277	         0.015736458	         0.004510893	         0.020247351
  1097	   -19904000	 0.031920565	30.357594123	179.684300803	173.864385824	 0.381396406	         0.016148312	         0.004674431	         0.020822743
