LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
  1001	   -20000000	 0.026171391	33.922281863	-98.499635656	172.840594505	 0.558088105	         0.123318684	         0.101925343	         0.225244027
  1002	   -19999000	 0.025083464	34.222311941	-92.513370560	173.292050441	 0.573665724	         0.135998955	         0.114604843	         0.250603798
  1003	   -19998000	 0.024047344	34.535462439	-86.325954028	173.746351882	 0.589947666	         0.149042098	         0.127735283	         0.276777381
  1004	   -19997000	 0.023018133	34.862300467	-79.717245758	174.203781564	 0.606940281	         0.161487359	         0.140336919	         0.301824278
  1005	   -19996000	 0.021916881	35.201604316	-72.787666074	174.687315724	 0.624549632	         0.174392440	         0.153452262	         0.327844702
  1006	   -19995000	 0.020809815	35.551541859	-65.864943268	175.169692057	 0.642642959	         0.186796056	         0.166091735	         0.352887790
  1007	   -19994000	 0.019889331	35.912692076	-58.586277161	175.656635701	 0.661204962	         0.199694905	         0.179391409	         0.379086314
  1008	   -19993000	 0.018773854	36.282845523	-50.551358077	176.151138626	 0.680069702	         0.212405896	         0.192517401	         0.404923297
  1009	   -19992000	 0.017608390	36.661150421	-42.641785768	176.663775151	 0.699135652	         0.225549385	         0.206129760	         0.431679145
  1010	   -19991000	 0.016608399	37.046872515	-34.494372475	177.178350714	 0.718301932	         0.239178697	         0.220291909	         0.459470606
  1011	   -19990000	 0.015593174	37.437677339	-25.232054234	177.687154548	 0.737385696	         0.252263430	         0.233926345	         0.486189775
  1012	   -19989000	 0.014478138	37.833772113	-15.445453092	178.193221162	 0.756327622	         0.265340651	         0.247612868	         0.512953519
  1013	   -19988000	 0.013471719	38.232603730	-5.041415144	178.714640661	 0.774935780	         0.279099909	         0.262042373	         0.541142283
  1014	   -19987000	 0.012585347	38.632598813	 6.581386876	179.230152601	 0.793071690	         0.292695944	         0.276378678	         0.569074622
  1015	   -19986000	 0.011840419	39.034180083	19.481404106	179.737987889	 0.810690728	         0.306778290	         0.291318128	         0.598096418
  1016	   -19985000	 0.011332268	39.433943931	33.369791609	180.231972593	 0.827586843	         0.321374597	         0.306886089	         0.628260686
  1017	   -19984000	 0.011069379	39.831126575	47.795364002	180.698087437	 0.843683108	         0.336353772	         0.323037743	         0.659391516
  1018	   -19983000	 0.011261299	40.225555949	62.841697280	181.166458662	 0.858933709	         0.352010632	         0.339969516	         0.691980148
  1019	   -19982000	 0.011539042	40.614105338	77.476225765	181.602307597	 0.873192494	         0.369072726	         0.358667895	         0.727740621
  1020	   -19981000	 0.012153147	40.996634928	91.243024089	182.020010598	 0.886443893	         0.387456122	         0.378947120	         0.766403241
  1021	   -19980000	 0.012999186	41.371689204	103.694472231	182.400611293	 0.898637761	         0.406801954	         0.400513200	         0.807315153
  1022	   -19979000	 0.014178053	41.737540572	116.013259907	182.761356085	 0.909734262	         0.427502457	         0.423721246	         0.851223703
  1023	   -19978000	 0.015225149	42.093988861	127.165098219	183.073150618	 0.919755708	         0.450643868	         0.449943411	         0.900587280
  1024	   -19977000	 0.016494324	42.438284384	137.266647664	183.378827287	 0.928668306	         0.475438598	         0.478110739	         0.953549337
  1025	   -19976000	 0.017923251	42.770396651	146.530774835	183.638214097	 0.936528592	         0.501616183	         0.508007931	         1.009624114
  1026	   -19975000	 0.019370441	43.089214725	156.009429942	183.847437521	 0.943374939	         0.530907165	         0.541572255	         1.072479420
  1027	   -19974000	 0.020794470	43.391803351	164.330749775	184.038978667	 0.949224505	         0.561613413	         0.576699935	         1.138313348
  1028	   -19973000	 0.022362826	43.679092475	172.520991126	184.183499592	 0.954182643	         0.594443145	         0.614157610	         1.208600755
  1029	   -19972000	 0.023883439	43.949171406	-179.622680261	184.309961304	 0.958306053	         0.629561903	         0.653924413	         1.283486316
  1030	   -19971000	 0.025357233	44.199667813	-172.141567048	184.400098566	 0.961658475	         0.666017989	         0.694727435	         1.360745424
  1031	   -19970000	 0.026856088	44.431479082	-164.892172729	184.472705081	 0.964351773	         0.704118567	         0.736678072	         1.440796639
  1032	   -19969000	 0.028389693	44.642456467	-157.710349431	184.525635642	 0.966458296	         0.743806563	         0.779457896	         1.523264459
  1033	   -19968000	 0.029859780	44.831725092	-150.500555033	184.523727330	 0.968066666	         0.784152791	         0.821798326	         1.605951118
  1034	   -19967000	 0.031219921	44.999176651	-143.600618758	184.537120130	 0.969266623	         0.824027138	         0.862221590	         1.686248729
  1035	   -19966000	 0.032677141	45.142997233	-136.849526087	184.522849462	 0.970129470	         0.863559439	         0.900732937	         1.764292377
  1036	   -19965000	 0.034245304	45.264107243	-130.058633928	184.475806045	 0.970735493	         0.902906455	         0.937271951	         1.840178405
  1037	   -19964000	 0.035575023	45.361086144	-123.274058594	184.415386090	 0.971141136	         0.938881405	         0.968948699	         1.907830104
  1038	   -19963000	 0.036955702	45.433129158	-116.857052967	184.358248553	 0.971396573	         0.972062058	         0.996642036	         1.968704094
  1039	   -19962000	 0.038404194	45.481685496	-110.484493597	184.280881681	 0.971546642	         1.001865408	         1.019918036	         2.021783444
  1040	   -19961000	 0.039729720	45.505351848	-104.084070127	184.187228366	 0.971613334	         1.026370241	         1.037729962	         2.064100203
  1041	   -19960000	 0.040946275	45.504408158	-97.963477744	184.094079684	 0.971610755	         1.044148449	         1.049515410	         2.093663860
  1042	   -19959000	 0.042212529	45.479203935	-91.964697326	184.003445409	 0.971539404	         1.056793682	         1.057135134	         2.113928816
  1043	   -19958000	 0.043268541	45.429119756	-85.814637117	183.904182766	 0.971383386	         1.060835562	         1.058686168	         2.119521731
  1044	   -19957000	 0.044173771	45.355679185	-79.874641479	183.822697596	 0.971120386	         1.057429709	         1.055484917	         2.112914626
  1045	   -19956000	 0.045055564	45.258068520	-73.977808100	183.736403495	 0.970707890	         1.047148252	         1.047666820	         2.094815072
  1046	   -19955000	 0.045858729	45.136118674	-67.977974932	183.638164724	 0.970091739	         1.028903386	         1.033965847	         2.062869233
  1047	   -19954000	 0.046481300	44.991954938	-61.977825699	183.566078487	 0.969219204	         1.003831746	         1.014924337	         2.018756083
  1048	   -19953000	 0.047073867	44.824428769	-55.981780880	183.487720866	 0.968009614	         0.972620486	         0.990199972	         1.962820458
  1049	   -19952000	 0.047651649	44.634226137	-50.129598326	183.397825457	 0.966382306	         0.936350098	         0.959996029	         1.896346126
  1050	   -19951000	 0.048204085	44.422513082	-44.025307593	183.295642811	 0.964254956	         0.894449428	         0.923482044	         1.817931472
  1051	   -19950000	 0.048629207	44.188914494	-38.098972168	183.212808104	 0.961523964	         0.850075329	         0.882996250	         1.733071579
  1052	   -19949000	 0.049012160	43.935312141	-32.291225863	183.119831903	 0.958107259	         0.803403804	         0.838237661	         1.641641464
  1053	   -19948000	 0.049593516	43.661300383	-26.442249248	183.007689044	 0.953892622	         0.755415754	         0.790114843	         1.545530597
  1054	   -19947000	 0.049837404	43.367513659	-20.635141885	182.912656105	 0.948778555	         0.705201571	         0.737699429	         1.442901000
  1055	   -19946000	 0.050163429	43.056511638	-15.032079043	182.780272393	 0.942704683	         0.655981507	         0.684716632	         1.340698140
  1056	   -19945000	 0.050440291	42.728040607	-9.501507933	182.654332315	 0.935567103	         0.607320932	         0.630917097	         1.238238029
  1057	   -19944000	 0.050586745	42.383157358	-3.911277041	182.510661650	 0.927292976	         0.559196034	         0.576740389	         1.135936423
  1058	   -19943000	 0.050576295	42.023780349	 1.438745586	182.360448145	 0.917844872	         0.513620427	         0.524719196	         1.038339623
  1059	   -19942000	 0.050617086	41.650754132	 6.830564121	182.186660116	 0.907175104	         0.469875782	         0.474472535	         0.944348316
  1060	   -19941000	 0.050566727	41.266023953	12.225084620	182.004982979	 0.895284599	         0.428906972	         0.427259162	         0.856166134
  1061	   -19940000	 0.050286727	40.870085146	17.497026897	181.774569372	 0.882149063	         0.389980564	         0.382644644	         0.772625208
  1062	   -19939000	 0.050116701	40.464455343	22.726076449	181.543919810	 0.867793580	         0.354242203	         0.341893625	         0.696135828
  1063	   -19938000	 0.049891062	40.052042825	27.908171369	181.280750809	 0.852318240	         0.321304924	         0.304730088	         0.626035011
  1064	   -19937000	 0.049567948	39.632484798	33.161513885	181.005383796	 0.835722377	         0.291083002	         0.271026251	         0.562109253
  1065	   -19936000	 0.049148852	39.207619843	38.217638915	180.680902083	 0.818103330	         0.263522172	         0.240850488	         0.504372659
  1066	   -19935000	 0.048771965	38.779652476	43.192244106	180.328918550	 0.799595075	         0.238358418	         0.213774532	         0.452132951
  1067	   -19934000	 0.048431237	38.349085987	48.228672650	179.964826535	 0.780274126	         0.215387027	         0.189473760	         0.404860787
  1068	   -19933000	 0.047869722	37.918007834	53.236437469	179.584398169	 0.760298567	         0.194981955	         0.168290952	         0.363272907
  1069	   -19932000	 0.047363271	37.486828265	57.939180952	179.173153275	 0.739759221	         0.176661820	         0.149674299	         0.326336119
  1070	   -19931000	 0.046891920	37.057242874	62.837585991	178.718450650	 0.718812932	         0.159436513	         0.132541987	         0.291978500
  1071	   -19930000	 0.046253101	36.631699374	67.629508242	178.262966435	 0.697660253	         0.144364287	         0.117818843	         0.262183130
  1072	   -19929000	 0.045681654	36.209663113	72.303736332	177.781205011	 0.676354956	         0.130612743	         0.104662793	         0.235275536
  1073	   -19928000	 0.045170450	35.793287560	77.005392141	177.265835032	 0.655082913	         0.117721566	         0.092570570	         0.210292136
  1074	   -19927000	 0.044531012	35.384813270	81.799768994	176.741519143	 0.634033224	         0.106144507	         0.081885436	         0.188029944
  1075	   -19926000	 0.043948360	34.983889153	86.283694519	176.205049671	 0.613255872	         0.095522412	         0.072260807	         0.167783219
  1076	   -19925000	 0.043428272	34.593209038	90.774928911	175.651355981	 0.592950818	         0.085612383	         0.063413404	         0.149025788
  1077	   -19924000	 0.042968974	34.213536455	95.354064074	175.075242033	 0.573209683	         0.075989648	         0.054928178	         0.130917826
  1078	   -19923000	 0.042378714	33.845416533	99.749704898	174.492116411	 0.554103326	         0.067195075	         0.047272411	         0.114467486
  1079	   -19922000	 0.041803862	33.491738443	104.026104776	173.889539766	 0.535814312	         0.058500928	         0.039766307	         0.098267235
  1080	   -19921000	 0.041386175	33.152108166	108.195459402	173.229086423	 0.518345135	         0.048667406	         0.031264292	         0.079931698
  1081	   -19920000	 0.040846435	32.827917234	112.435323827	172.526803925	 0.501781418	         0.038172494	         0.022223389	         0.060395883
  1082	   -19919000	 0.040266806	32.520913499	116.542543047	171.938646620	 0.486217411	         0.032212788	         0.017372136	         0.049584924
  1083	   -19918000	 0.039678554	32.231016043	120.495979890	171.408544077	 0.471646463	         0.028010621	         0.014070855	         0.042081476
  1084	   -19917000	 0.039155942	31.960078668	124.660915137	170.922842669	 0.458152623	         0.024696494	         0.011500418	         0.036196911
  1085	   -19916000	 0.038398413	31.708186457	128.642215324	170.465452246	 0.445725450	         0.022155407	         0.009550932	         0.031706339
  1086	   -19915000	 0.037876773	31.475888752	132.667218748	170.041189722	 0.434373865	         0.020082349	         0.007938717	         0.028021065
  1087	   -19914000	 0.037350916	31.265196393	136.851121628	169.660136762	 0.424174240	         0.018433423	         0.006829159	         0.025262582
  1088	   -19913000	 0.036651547	31.074845616	141.061436321	169.307154498	 0.415042171	         0.017109043	         0.006007213	         0.023116256
  1089	   -19912000	 0.036115261	30.906048607	145.027230427	169.003575806	 0.407012755	         0.016122672	         0.005438536	         0.021561208
  1090	   -19911000	 0.035632055	30.759956858	149.258379436	168.727741945	 0.400117296	         0.015331025	         0.004987693	         0.020318718
  1091	   -19910000	 0.035101562	30.635095646	153.553601103	168.488235456	 0.394264683	         0.014778650	         0.004683606	         0.019462256
  1092	   -19909000	 0.034538132	30.533275890	157.759752621	168.266577233	 0.389520542	         0.014340128	         0.004436297	         0.018776425
  1093	   -19908000	 0.034049909	30.453864414	161.939439602	168.109484054	 0.385838539	         0.014134915	         0.004314237	         0.018449153
  1094	   -19907000	 0.033570726	30.396168181	166.303312454	167.961934331	 0.383173445	         0.014041860	         0.004245564	         0.018287424
  1095	   -19906000	 0.033016995	30.361745114	170.781872127	167.852822594	 0.381587450	         0.014124621	         0.004258386	         0.018383007
  1096	   -19905000	 0.032441065	30.348831819	175.088326325	167.780167863	 0.380993277	         0.014362227	         0.004349539	         0.018711766
  1097	   -19904000	 0.031920565	30.357594123	179.684300803	167.729625475	 0.381396406	         0.014748529	         0.004511776	         0.019260305
  1098	   -19903000	 0.031308571	30.388572666	-175.537649087	167.728048372	 0.382823230	         0.015378515	         0.004797722	         0.020176237
  1099	   -19902000	 0.030681300	30.439753496	-170.727229058	167.739971764	 0.385185944	         0.016023837	         0.005087081	         0.021110918
  1100	   -19901000	 0.030146410	30.512044300	-165.900256021	167.788726197	 0.388534555	         0.016956273	         0.005542822	         0.022499096
  1101	   -19900000	 0.029568658	30.604579117	-160.467221439	167.881465796	 0.392840104	         0.018192372	         0.006177063	         0.024369435
  1102	   -19899000	 0.028891951	30.715825569	-155.347521440	167.993113156	 0.398044388	         0.019500704	         0.006884777	         0.026385481
  1103	   -19898000	 0.028314053	30.846861290	-150.100095431	168.129533620	 0.404213025	         0.021183620	         0.007868439	         0.029052059
  1104	   -19897000	 0.027802665	30.995770021	-144.418567308	168.317237844	 0.411272483	         0.023210420	         0.009167587	         0.032378007
  1105	   -19896000	 0.027046685	31.162197739	-138.736917549	168.524810878	 0.419222888	         0.025572722	         0.010928772	         0.036501494
  1106	   -19895000	 0.026401913	31.346121610	-133.047276088	168.769456817	 0.428080680	         0.028415717	         0.013131706	         0.041547423
  1107	   -19894000	 0.025727070	31.545584825	-127.110736582	169.044254834	 0.437768272	         0.031702018	         0.015694612	         0.047396629
  1108	   -19893000	 0.024964840	31.761421464	-120.814781235	169.349533656	 0.448341854	         0.035526199	         0.018736581	         0.054262780
  1109	   -19892000	 0.024131702	31.992286197	-114.375836117	169.689613124	 0.459750009	         0.040227258	         0.022601540	         0.062828798
  1110	   -19891000	 0.023264473	32.236474426	-107.699391144	170.060026246	 0.471919590	         0.045850155	         0.027349035	         0.073199191
  1111	   -19890000	 0.022515230	32.495197852	-100.572310062	170.475639240	 0.484919702	         0.052913605	         0.033485426	         0.086399031
  1112	   -19889000	 0.021581354	32.766659636	-92.855540702	170.932184008	 0.498665788	         0.061638021	         0.041366701	         0.103004721
  1113	   -19888000	 0.020800832	33.049747430	-84.928311654	171.466811915	 0.513102366	         0.074678479	         0.053724498	         0.128402977
  1114	   -19887000	 0.020091786	33.344962952	-76.596334908	172.039452052	 0.528251852	         0.090953702	         0.069674507	         0.160628209
  1115	   -19886000	 0.019445479	33.650674574	-67.427429737	172.558454752	 0.544022641	         0.103308801	         0.081699755	         0.185008556
  1116	   -19885000	 0.018789767	33.966998100	-58.388419090	173.069782274	 0.560407561	         0.114950646	         0.093062666	         0.208013312
  1117	   -19884000	 0.018400165	34.292731442	-48.940509665	173.579461583	 0.577325888	         0.126067302	         0.103937796	         0.230005099
  1118	   -19883000	 0.018089739	34.626850368	-38.802975752	174.088079109	 0.594700289	         0.136727118	         0.114388664	         0.251115782
  1119	   -19882000	 0.017743870	34.970211088	-28.396019810	174.622062680	 0.612545651	         0.147444540	         0.124875576	         0.272320116
  1120	   -19881000	 0.017564610	35.320601805	-18.381453467	175.131392040	 0.630711861	         0.157483411	         0.134760173	         0.292243583
  1121	   -19880000	 0.017627098	35.677685063	-7.710474717	175.676775613	 0.649141204	         0.167919268	         0.145017053	         0.312936321
  1122	   -19879000	 0.017777954	36.041589498	 3.276255349	176.226758566	 0.667794813	         0.177670575	         0.154597179	         0.332267754
  1123	   -19878000	 0.017982530	36.410207736	14.061405552	176.772628255	 0.686515122	         0.187420823	         0.164231140	         0.351651963
  1124	   -19877000	 0.018417123	36.783713637	24.847077122	177.332624480	 0.705258126	         0.197281910	         0.173963298	         0.371245208
  1125	   -19876000	 0.019042303	37.161207127	35.410472288	177.879219720	 0.723922436	         0.207041561	         0.183649006	         0.390690566
  1126	   -19875000	 0.019830729	37.540919843	45.770056267	178.420066999	 0.742364036	         0.216936861	         0.193504690	         0.410441551
  1127	   -19874000	 0.020706595	37.923267298	55.748279623	178.958704547	 0.760545800	         0.227304594	         0.203911089	         0.431215683
  1128	   -19873000	 0.021816290	38.306740161	65.175196963	179.483047675	 0.778338694	         0.238117506	         0.214857916	         0.452975423
  1129	   -19872000	 0.022942391	38.690399935	74.676841342	179.995039145	 0.795645376	         0.249574072	         0.226571649	         0.476145721
