LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
  1001	   -20000000	 0.026171391	33.922281863	-98.499635656	173.973232778	 0.558088105	         0.110249578	         0.089248753	         0.199498331
  1002	   -19999000	 0.025083464	34.222311941	-92.513370560	174.427420625	 0.573665724	         0.122308959	         0.101127240	         0.223436199
  1003	   -19998000	 0.024047344	34.535462439	-86.325954028	174.884704275	 0.589947666	         0.134700568	         0.113418573	         0.248119141
  1004	   -19997000	 0.023018133	34.862300467	-79.717245758	175.339431267	 0.606940281	         0.146418845	         0.125109927	         0.271528772
  1005	   -19996000	 0.021916881	35.201604316	-72.787666074	175.826561077	 0.624549632	         0.158612796	         0.137314417	         0.295927213
  1006	   -19995000	 0.020809815	35.551541859	-65.864943268	176.305471146	 0.642642959	         0.170208153	         0.148976861	         0.319185014
  1007	   -19994000	 0.019889331	35.912692076	-58.586277161	176.785235300	 0.661204962	         0.182285532	         0.161255180	         0.343540712
  1008	   -19993000	 0.018773854	36.282845523	-50.551358077	177.274595318	 0.680069702	         0.194218442	         0.173438466	         0.367656908
  1009	   -19992000	 0.017608390	36.661150421	-42.641785768	177.782753520	 0.699135652	         0.206536618	         0.186012899	         0.392549517
  1010	   -19991000	 0.016608399	37.046872515	-34.494372475	178.294106226	 0.718301932	         0.219310219	         0.199128155	         0.418438374
  1011	   -19990000	 0.015593174	37.437677339	-25.232054234	178.804644428	 0.737385696	         0.231558197	         0.211732063	         0.443290260
  1012	   -19989000	 0.014478138	37.833772113	-15.445453092	179.301445973	 0.756327622	         0.243773101	         0.224371924	         0.468145025
  1013	   -19988000	 0.013471719	38.232603730	-5.041415144	179.817419330	 0.774935780	         0.256663404	         0.237737188	         0.494400593
  1014	   -19987000	 0.012585347	38.632598813	 6.581386876	180.327787011	 0.793071690	         0.269362219	         0.250984863	         0.520347081
  1015	   -19986000	 0.011840419	39.034180083	19.481404106	180.823851437	 0.810690728	         0.282538613	         0.264819637	         0.547358250
  1016	   -19985000	 0.011332268	39.433943931	33.369791609	181.308049322	 0.827586843	         0.296185391	         0.279228491	         0.575413883
  1017	   -19984000	 0.011069379	39.831126575	47.795364002	181.764530234	 0.843683108	         0.310215111	         0.294224263	         0.604439374
  1018	   -19983000	 0.011261299	40.225555949	62.841697280	182.224411213	 0.858933709	         0.324850489	         0.309922733	         0.634773222
  1019	   -19982000	 0.011539042	40.614105338	77.476225765	182.655265817	 0.873192494	         0.340861975	         0.327346037	         0.668208013
  1020	   -19981000	 0.012153147	40.996634928	91.243024089	183.067035869	 0.886443893	         0.358101665	         0.346234285	         0.704335950
  1021	   -19980000	 0.012999186	41.371689204	103.694472231	183.437963026	 0.898637761	         0.376188270	         0.366288892	         0.742477163
  1022	   -19979000	 0.014178053	41.737540572	116.013259907	183.792144945	 0.909734262	         0.395572365	         0.387932342	         0.783504706
  1023	   -19978000	 0.015225149	42.093988861	127.165098219	184.096663954	 0.919755708	         0.417221195	         0.412409155	         0.829630351
  1024	   -19977000	 0.016494324	42.438284384	137.266647664	184.400807851	 0.928668306	         0.440441962	         0.438751565	         0.879193527
  1025	   -19976000	 0.017923251	42.770396651	146.530774835	184.653335272	 0.936528592	         0.464909013	         0.466728352	         0.931637365
  1026	   -19975000	 0.019370441	43.089214725	156.009429942	184.857297921	 0.943374939	         0.492337567	         0.498264721	         0.990602288
  1027	   -19974000	 0.020794470	43.391803351	164.330749775	185.040830499	 0.949224505	         0.521009494	         0.531264461	         1.052273955
  1028	   -19973000	 0.022362826	43.679092475	172.520991126	185.187065886	 0.954182643	         0.551759021	         0.566667904	         1.118426926
  1029	   -19972000	 0.023883439	43.949171406	-179.622680261	185.305397876	 0.958306053	         0.584503834	         0.604222405	         1.188726239
  1030	   -19971000	 0.025357233	44.199667813	-172.141567048	185.397994127	 0.961658475	         0.618631877	         0.643081546	         1.261713423
  1031	   -19970000	 0.026856088	44.431479082	-164.892172729	185.468334377	 0.964351773	         0.654187496	         0.683110055	         1.337297551
  1032	   -19969000	 0.028389693	44.642456467	-157.710349431	185.519531386	 0.966458296	         0.691183273	         0.724108865	         1.415292138
  1033	   -19968000	 0.029859780	44.831725092	-150.500555033	185.506904322	 0.968066666	         0.728713138	         0.764908492	         1.493621631
  1034	   -19967000	 0.031219921	44.999176651	-143.600618758	185.520635962	 0.969266623	         0.765821199	         0.804194639	         1.570015838
  1035	   -19966000	 0.032677141	45.142997233	-136.849526087	185.504406114	 0.970129470	         0.802604309	         0.841961837	         1.644566147
  1036	   -19965000	 0.034245304	45.264107243	-130.058633928	185.460214735	 0.970735493	         0.839420918	         0.878392553	         1.717813470
  1037	   -19964000	 0.035575023	45.361086144	-123.274058594	185.393224795	 0.971141136	         0.872754394	         0.910081016	         1.782835410
  1038	   -19963000	 0.036955702	45.433129158	-116.857052967	185.338960965	 0.971396573	         0.903641275	         0.938278324	         1.841919599
  1039	   -19962000	 0.038404194	45.481685496	-110.484493597	185.270050217	 0.971546642	         0.931414823	         0.962443176	         1.893857999
  1040	   -19961000	 0.039729720	45.505351848	-104.084070127	185.176673159	 0.971613334	         0.954083079	         0.981141034	         1.935224113
  1041	   -19960000	 0.040946275	45.504408158	-97.963477744	185.083235587	 0.971610755	         0.970396890	         0.993752306	         1.964149196
  1042	   -19959000	 0.042212529	45.479203935	-91.964697326	184.991890671	 0.971539404	         0.981868408	         1.002037801	         1.983906209
  1043	   -19958000	 0.043268541	45.429119756	-85.814637117	184.893212022	 0.971383386	         0.985343935	         1.003878890	         1.989222824
  1044	   -19957000	 0.044173771	45.355679185	-79.874641479	184.818495337	 0.971120386	         0.981969901	         1.000581448	         1.982551348
  1045	   -19956000	 0.045055564	45.258068520	-73.977808100	184.737283603	 0.970707890	         0.972154070	         0.992271873	         1.964425943
  1046	   -19955000	 0.045858729	45.136118674	-67.977974932	184.634726811	 0.970091739	         0.954701503	         0.977592296	         1.932293800
  1047	   -19954000	 0.046481300	44.991954938	-61.977825699	184.569884790	 0.969219204	         0.931134026	         0.957554682	         1.888688709
  1048	   -19953000	 0.047073867	44.824428769	-55.981780880	184.492541059	 0.968009614	         0.901774216	         0.931818302	         1.833592518
  1049	   -19952000	 0.047651649	44.634226137	-50.129598326	184.407965691	 0.966382306	         0.867762207	         0.900889879	         1.768652086
  1050	   -19951000	 0.048204085	44.422513082	-44.025307593	184.304460377	 0.964254956	         0.828429188	         0.863905688	         1.692334876
  1051	   -19950000	 0.048629207	44.188914494	-38.098972168	184.226595558	 0.961523964	         0.786987199	         0.823483687	         1.610470885
  1052	   -19949000	 0.049012160	43.935312141	-32.291225863	184.136691512	 0.958107259	         0.743407069	         0.779333567	         1.522740636
  1053	   -19948000	 0.049593516	43.661300383	-26.442249248	184.028206933	 0.953892622	         0.698625099	         0.732392923	         1.431018022
  1054	   -19947000	 0.049837404	43.367513659	-20.635141885	183.943148353	 0.948778555	         0.651817222	         0.681774084	         1.333591306
  1055	   -19946000	 0.050163429	43.056511638	-15.032079043	183.818288523	 0.942704683	         0.606089492	         0.631200580	         1.237290072
  1056	   -19945000	 0.050440291	42.728040607	-9.501507933	183.695248169	 0.935567103	         0.560750168	         0.580064554	         1.140814722
