LaskarTimestep	time_years	ecc	obl	Lsp	Tsurf	SF12	ForcedConv	FreeConv	TotalSubl
 16001	    -5000000	 0.092827547	32.484497352	159.274770107	172.582445316	 0.484380001	         0.024882809	         0.010780826	         0.035663635
 16002	    -4999000	 0.092275808	32.615709286	165.338189729	172.534937007	 0.491009417	         0.028814557	         0.013550009	         0.042364566
 16003	    -4998000	 0.091663779	32.746938556	171.328949162	172.481938068	 0.497663782	         0.033256341	         0.016784107	         0.050040448
 16004	    -4997000	 0.090992911	32.877596078	177.365988226	172.430584048	 0.504311616	         0.038467358	         0.020767688	         0.059235046
 16005	    -4996000	 0.090430449	33.006656617	-176.538338462	172.374418957	 0.510898752	         0.044472602	         0.025575290	         0.070047892
 16006	    -4995000	 0.089618964	33.133310611	-170.328405364	172.315321076	 0.517381513	         0.051387599	         0.031379561	         0.082767160
 16007	    -4994000	 0.088784784	33.256812893	-164.196266208	172.264290089	 0.523719216	         0.058912659	         0.037962184	         0.096874842
 16008	    -4993000	 0.088020384	33.376218881	-157.960615736	172.216346789	 0.529860729	         0.067288450	         0.045576239	         0.112864690
 16009	    -4992000	 0.087078297	33.491311517	-151.543522568	172.177556339	 0.535792289	         0.076847461	         0.054617950	         0.131465412
 16010	    -4991000	 0.086108242	33.601368412	-145.194582052	172.150820580	 0.541474223	         0.086926783	         0.064491062	         0.151417846
 16011	    -4990000	 0.085164936	33.705775613	-138.732044359	172.136181980	 0.546872526	         0.098339797	         0.076066798	         0.174406595
 16012	    -4989000	 0.084203271	33.804699106	-132.095069935	172.148759937	 0.551993751	         0.111901784	         0.090342470	         0.202244254
 16013	    -4988000	 0.083143454	33.897521417	-125.477588033	172.163722296	 0.556804173	         0.125308951	         0.104757790	         0.230066741
 16014	    -4987000	 0.082176009	33.984197081	-118.782966583	172.176753405	 0.561299921	         0.136612614	         0.116981550	         0.253594164
 16015	    -4986000	 0.081268297	34.064930187	-111.973155058	172.175274241	 0.565490352	         0.145420641	         0.126509630	         0.271930271
 16016	    -4985000	 0.080169953	34.139316339	-105.063599374	172.198241701	 0.569353475	         0.153780356	         0.135624269	         0.289404625
 16017	    -4984000	 0.079150407	34.207605264	-98.151965759	172.237397588	 0.572901465	         0.160202491	         0.142621525	         0.302824015
 16018	    -4983000	 0.078143238	34.269898523	-91.216066969	172.285149785	 0.576138995	         0.164738469	         0.147515117	         0.312253586
 16019	    -4982000	 0.077116411	34.325994728	-84.048685288	172.352534727	 0.579055143	         0.167139266	         0.149965733	         0.317104999
