Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,109.393,-55.144,1997.978
0.014,109.393,-55.145,1997.978
0.029,109.393,-55.145,1980.009
0.043,109.393,-55.145,1964.275
0.058,109.393,-55.145,1948.796
0.072,109.393,-55.145,1931.145
0.087,109.393,-55.146,1912.374
0.101,109.393,-55.146,1893.039
0.116,109.393,-55.146,1880.284
0.13,109.393,-55.146,1874.916
0.145,109.393,-55.147,1873.068
0.159,109.393,-55.147,1873.068
0.174,109.394,-55.147,1867.939
0.188,109.394,-55.147,1864.538
0.203,109.394,-55.148,1863.503
0.217,109.394,-55.148,1868.582
0.232,109.394,-55.148,1863.031
0.246,109.394,-55.148,1857.291
0.261,109.394,-55.149,1855.504
0.275,109.394,-55.149,1856.706
0.29,109.394,-55.149,1860.061
0.304,109.394,-55.149,1853.394
0.319,109.394,-55.15,1857.72
0.333,109.394,-55.15,1850.365
0.348,109.395,-55.15,1843.583
0.362,109.395,-55.15,1850.586
0.377,109.395,-55.151,1839.553
0.391,109.395,-55.151,1843.024
0.406,109.395,-55.151,1836.208
0.42,109.395,-55.151,1834.169
0.435,109.395,-55.151,1839.919
0.449,109.395,-55.152,1839.919
0.464,109.395,-55.152,1836.441
0.478,109.395,-55.152,1836.441
0.493,109.395,-55.152,1834.708
0.507,109.395,-55.153,1840.089
0.522,109.396,-55.153,1838.812
0.536,109.396,-55.153,1837.24
0.551,109.396,-55.153,1836.941
0.565,109.396,-55.154,1836.126
0.58,109.396,-55.154,1835.229
0.594,109.396,-55.154,1839.842
0.609,109.396,-55.154,1840.065
0.623,109.396,-55.155,1840.512
0.638,109.396,-55.155,1840.512
0.652,109.396,-55.155,1844.477
0.667,109.396,-55.155,1840.963
0.681,109.396,-55.156,1836.992
0.696,109.397,-55.156,1831.62
0.71,109.397,-55.156,1826.303
0.725,109.397,-55.156,1823.615
0.739,109.397,-55.157,1817.888
0.754,109.397,-55.157,1813.224
0.768,109.397,-55.157,1806.263
0.783,109.397,-55.157,1808.26
0.797,109.397,-55.158,1805.073
0.812,109.397,-55.158,1804.289
0.826,109.397,-55.158,1801.443
0.841,109.397,-55.158,1795.955
0.855,109.397,-55.158,1800.363
0.87,109.398,-55.159,1800.499
0.884,109.398,-55.159,1802.38
0.899,109.398,-55.159,1804.761
0.913,109.398,-55.159,1803.521
0.928,109.398,-55.16,1803.521
0.942,109.398,-55.16,1802.099
0.957,109.398,-55.16,1797.373
0.971,109.398,-55.16,1791.576
0.986,109.398,-55.161,1785.858
1,109.398,-55.161,1779.689
1.015,109.398,-55.161,1774.607
1.029,109.398,-55.161,1771.528
1.044,109.399,-55.162,1767.482
1.058,109.399,-55.162,1764.463
1.073,109.399,-55.162,1764.072
1.087,109.399,-55.162,1767.609
1.102,109.399,-55.163,1767.17
1.116,109.399,-55.163,1761.163
1.131,109.399,-55.163,1757.735
1.145,109.399,-55.163,1757.735
1.16,109.399,-55.164,1756.017
1.174,109.399,-55.164,1749.23
1.189,109.399,-55.164,1744.442
1.203,109.399,-55.164,1744.442
1.218,109.399,-55.165,1736.469
