Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,91.889,-57.491,-549.382
0.015,91.889,-57.491,-550.031
0.029,91.889,-57.491,-549.365
0.044,91.889,-57.491,-549.034
0.058,91.889,-57.492,-549.034
0.073,91.889,-57.492,-547.676
0.087,91.889,-57.492,-548.903
0.102,91.889,-57.492,-557.654
0.116,91.889,-57.493,-557.654
0.131,91.889,-57.493,-585.779
0.145,91.89,-57.493,-584.684
0.16,91.89,-57.493,-606.015
0.174,91.89,-57.494,-611.591
0.189,91.89,-57.494,-613.005
0.203,91.89,-57.494,-615.409
0.218,91.89,-57.494,-615.409
0.232,91.89,-57.494,-612.417
0.247,91.89,-57.495,-611.74
0.261,91.89,-57.495,-609.825
0.276,91.89,-57.495,-609.825
0.29,91.89,-57.495,-614.051
0.305,91.891,-57.496,-606.667
0.319,91.891,-57.496,-607.563
0.334,91.891,-57.496,-610.741
0.348,91.891,-57.496,-615.419
0.363,91.891,-57.497,-615.419
0.377,91.891,-57.497,-615.419
0.392,91.891,-57.497,-615.697
0.406,91.891,-57.497,-619.256
0.421,91.891,-57.498,-621.137
0.436,91.891,-57.498,-628.188
0.45,91.891,-57.498,-630.72
0.465,91.892,-57.498,-627.514
0.479,91.892,-57.499,-631.252
0.494,91.892,-57.499,-631.252
0.508,91.892,-57.499,-632.237
0.523,91.892,-57.499,-629.973
0.537,91.892,-57.5,-632.116
0.552,91.892,-57.5,-631.241
0.566,91.892,-57.5,-629.989
0.581,91.892,-57.5,-630.5
0.595,91.892,-57.501,-630.5
0.61,91.892,-57.501,-627.959
0.624,91.893,-57.501,-623.313
0.639,91.893,-57.501,-622.93
0.653,91.893,-57.501,-621.237
0.668,91.893,-57.502,-624.488
0.682,91.893,-57.502,-624.488
0.697,91.893,-57.502,-624.488
0.711,91.893,-57.502,-631.359
0.726,91.893,-57.503,-631.359
0.74,91.893,-57.503,-628.916
0.755,91.893,-57.503,-626.693
0.769,91.893,-57.503,-623.774
0.784,91.894,-57.504,-630.681
0.798,91.894,-57.504,-627.195
0.813,91.894,-57.504,-637.876
0.828,91.894,-57.504,-636.389
0.842,91.894,-57.505,-636.977
0.857,91.894,-57.505,-636.297
0.871,91.894,-57.505,-637.047
0.886,91.894,-57.505,-635.321
0.9,91.894,-57.506,-635.638
0.915,91.894,-57.506,-635.638
0.929,91.894,-57.506,-627.616
0.944,91.895,-57.506,-623.312
0.958,91.895,-57.507,-617.715
0.973,91.895,-57.507,-615.194
0.987,91.895,-57.507,-613.908
1.002,91.895,-57.507,-613.908
1.016,91.895,-57.507,-610.71
1.031,91.895,-57.508,-611.214
1.045,91.895,-57.508,-613.874
1.06,91.895,-57.508,-613.874
1.074,91.895,-57.508,-614.393
1.089,91.895,-57.509,-612.09
1.103,91.896,-57.509,-612.09
1.118,91.896,-57.509,-609.577
1.132,91.896,-57.509,-607.79
1.147,91.896,-57.51,-604.883
1.161,91.896,-57.51,-601.772
1.176,91.896,-57.51,-598.411
1.19,91.896,-57.51,-598.411
1.205,91.896,-57.511,-597.241
1.219,91.896,-57.511,-596.127
1.234,91.896,-57.511,-598.019
1.249,91.896,-57.511,-586.663
1.263,91.897,-57.512,-592.586
1.278,91.897,-57.512,-580.417
1.292,91.897,-57.512,-577.603
1.307,91.897,-57.512,-576.182
1.321,91.897,-57.513,-574.707
1.336,91.897,-57.513,-572.72
1.35,91.897,-57.513,-570.53
1.365,91.897,-57.513,-567.196
1.379,91.897,-57.514,-565.376
1.394,91.897,-57.514,-557.69
1.408,91.897,-57.514,-559.705
1.423,91.898,-57.514,-551.553
1.437,91.898,-57.514,-550.162
1.452,91.898,-57.515,-550.162
1.466,91.898,-57.515,-550.162
1.481,91.898,-57.515,-549.885
1.495,91.898,-57.515,-549.133
1.51,91.898,-57.516,-549.496
1.524,91.898,-57.516,-548.584
1.539,91.898,-57.516,-548.331
1.553,91.898,-57.516,-548.491
1.568,91.898,-57.517,-548.522
1.582,91.899,-57.517,-548.668
1.597,91.899,-57.517,-548.206
1.611,91.899,-57.517,-548.206
1.626,91.899,-57.518,-548.206
1.641,91.899,-57.518,-548.206
1.655,91.899,-57.518,-548.353
1.67,91.899,-57.518,-548.472
1.684,91.899,-57.519,-549.136
1.699,91.899,-57.519,-549.383
1.713,91.899,-57.519,-549.268
1.728,91.899,-57.519,-549.651
