Distance (Km),Longitude,Latitude,HRSC MOLA Blended DEM (200m)
0,109.409,-55.144,2041
0.115,109.409,-55.146,2041
0.231,109.41,-55.148,2000
0.346,109.41,-55.15,2000
0.462,109.41,-55.152,1958
0.577,109.41,-55.154,1916
0.693,109.41,-55.156,1916
0.808,109.41,-55.158,1874
0.924,109.41,-55.16,1874
1.039,109.41,-55.162,1843
1.155,109.41,-55.164,1843
1.27,109.41,-55.165,1811
1.386,109.411,-55.167,1801
1.501,109.411,-55.169,1801
1.617,109.411,-55.171,1778
1.732,109.411,-55.173,1778
1.848,109.411,-55.175,1762
1.963,109.411,-55.177,1754
2.079,109.411,-55.179,1754
2.194,109.411,-55.181,1746
2.31,109.411,-55.183,1746
2.425,109.411,-55.185,1743
2.541,109.411,-55.187,1743
2.656,109.412,-55.189,1741
0,109.396,-55.144,1971
0.117,109.396,-55.146,1971
0.234,109.396,-55.148,1934
0.35,109.396,-55.15,1934
0.467,109.396,-55.152,1899
0.584,109.396,-55.154,1866
0.701,109.396,-55.156,1866
0.817,109.396,-55.157,1833
0.934,109.397,-55.159,1833
1.051,109.397,-55.161,1812
1.168,109.397,-55.163,1812
1.284,109.397,-55.165,1796
1.401,109.397,-55.167,1779
1.518,109.397,-55.169,1779
1.635,109.397,-55.171,1765
1.751,109.397,-55.173,1765
1.868,109.398,-55.175,1753
1.985,109.398,-55.177,1745
2.102,109.398,-55.179,1745
2.218,109.398,-55.181,1737
2.335,109.398,-55.183,1737
2.452,109.398,-55.185,1731
2.569,109.398,-55.187,1731
2.685,109.399,-55.189,1725
