Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (2) (mean)
0,109.387,-55.112,2191.218
0.014,109.387,-55.112,2191.218
0.029,109.387,-55.112,2189.346
0.043,109.387,-55.112,2189.346
0.058,109.387,-55.113,2186.19
0.072,109.387,-55.113,2186.419
0.087,109.387,-55.113,2184.862
0.101,109.387,-55.113,2182.931
0.115,109.387,-55.114,2182.931
0.13,109.387,-55.114,2181.468
0.144,109.388,-55.114,2182.001
0.159,109.388,-55.114,2180.54
0.173,109.388,-55.115,2180.54
0.188,109.388,-55.115,2177.282
0.202,109.388,-55.115,2177.282
0.217,109.388,-55.115,2174.144
0.231,109.388,-55.115,2172.65
0.245,109.388,-55.116,2170.868
0.26,109.388,-55.116,2170.868
0.274,109.388,-55.116,2169.148
0.289,109.388,-55.116,2167.482
0.303,109.388,-55.117,2166.033
0.318,109.389,-55.117,2164.904
0.332,109.389,-55.117,2165.17
0.346,109.389,-55.117,2163.812
0.361,109.389,-55.118,2164.118
0.375,109.389,-55.118,2162.621
0.39,109.389,-55.118,2160.898
0.404,109.389,-55.118,2159.526
0.419,109.389,-55.119,2159.526
0.433,109.389,-55.119,2160.374
0.447,109.389,-55.119,2158.621
0.462,109.389,-55.119,2156.639
0.476,109.389,-55.12,2155.362
0.491,109.39,-55.12,2154.021
0.505,109.39,-55.12,2154.843
0.52,109.39,-55.12,2152.981
0.534,109.39,-55.121,2151.083
0.548,109.39,-55.121,2149.703
0.563,109.39,-55.121,2149.703
0.577,109.39,-55.121,2150.489
0.592,109.39,-55.121,2148.66
0.606,109.39,-55.122,2144.434
0.621,109.39,-55.122,2142.673
0.635,109.39,-55.122,2141.075
0.65,109.39,-55.122,2144.452
0.664,109.39,-55.123,2142.704
0.678,109.391,-55.123,2141.401
0.693,109.391,-55.123,2140.178
0.707,109.391,-55.123,2140.178
0.722,109.391,-55.124,2138.326
0.736,109.391,-55.124,2138.326
0.751,109.391,-55.124,2136.15
0.765,109.391,-55.124,2134.431
0.779,109.391,-55.125,2134.431
0.794,109.391,-55.125,2135.211
0.808,109.391,-55.125,2131.645
0.823,109.391,-55.125,2129.793
0.837,109.391,-55.126,2129.793
0.852,109.392,-55.126,2128.04
0.866,109.392,-55.126,2128.563
0.88,109.392,-55.126,2124.998
0.895,109.392,-55.127,2124.998
0.909,109.392,-55.127,2123.481
0.924,109.392,-55.127,2121.651
0.938,109.392,-55.127,2121.805
0.953,109.392,-55.127,2120.41
0.967,109.392,-55.128,2118.691
0.981,109.392,-55.128,2116.625
0.996,109.392,-55.128,2112.382
1.01,109.392,-55.128,2115.265
1.025,109.393,-55.129,2113.248
1.039,109.393,-55.129,2113.248
1.054,109.393,-55.129,2113.248
1.068,109.393,-55.129,2109.807
1.083,109.393,-55.13,2107.938
1.097,109.393,-55.13,2106.042
1.111,109.393,-55.13,2106.042
1.126,109.393,-55.13,2102.105
1.14,109.393,-55.131,2102.105
1.155,109.393,-55.131,2100.685
1.169,109.393,-55.131,2098.722
1.184,109.393,-55.131,2096.853
1.198,109.394,-55.132,2096.853
1.212,109.394,-55.132,2095.03
1.227,109.394,-55.132,2095.706
1.241,109.394,-55.132,2093.903
1.256,109.394,-55.133,2092.08
1.27,109.394,-55.133,2090.22
1.285,109.394,-55.133,2088.403
1.299,109.394,-55.133,2089.053
1.313,109.394,-55.133,2089.053
1.328,109.394,-55.134,2085.41
1.342,109.394,-55.134,2085.41
1.357,109.394,-55.134,2083.433
1.371,109.394,-55.134,2084.065
1.386,109.395,-55.135,2079.943
1.4,109.395,-55.135,2080.305
1.415,109.395,-55.135,2075.969
1.429,109.395,-55.135,2073.988
1.443,109.395,-55.136,2074.435
1.458,109.395,-55.136,2074.435
1.472,109.395,-55.136,2074.915
1.487,109.395,-55.136,2073.099
1.501,109.395,-55.137,2069.042
1.516,109.395,-55.137,2073.632
1.53,109.395,-55.137,2071.803
1.544,109.395,-55.137,2069.851
1.559,109.396,-55.138,2067.919
1.573,109.396,-55.138,2065.948
1.588,109.396,-55.138,2066.158
1.602,109.396,-55.138,2064.266
1.617,109.396,-55.138,2062.344
1.631,109.396,-55.139,2060.318
1.645,109.396,-55.139,2058.262
1.66,109.396,-55.139,2060.909
1.674,109.396,-55.139,2058.805
1.689,109.396,-55.14,2056.798
1.703,109.396,-55.14,2054.611
1.718,109.396,-55.14,2052.673
1.732,109.397,-55.14,2052.84
1.746,109.397,-55.141,2050.675
1.761,109.397,-55.141,2048.789
1.775,109.397,-55.141,2046.535
1.79,109.397,-55.141,2044.882
1.804,109.397,-55.142,2045.139
1.819,109.397,-55.142,2045.139
1.833,109.397,-55.142,2043.078
1.848,109.397,-55.142,2040.959
1.862,109.397,-55.143,2038.933
1.876,109.397,-55.143,2036.911
1.891,109.397,-55.143,2034.756
1.905,109.398,-55.143,2032.522
1.92,109.398,-55.144,2030.4
1.934,109.398,-55.144,2026.665
1.949,109.398,-55.144,2010.562
1.963,109.398,-55.144,1994.536
1.977,109.398,-55.144,1979.776
1.992,109.398,-55.145,1980.142
2.006,109.398,-55.145,1944.406
2.021,109.398,-55.145,1925.616
2.035,109.398,-55.145,1915.14
2.05,109.398,-55.146,1909.74
2.064,109.398,-55.146,1909.74
2.078,109.398,-55.146,1901.9
2.093,109.399,-55.146,1907.651
2.107,109.399,-55.147,1903.708
2.122,109.399,-55.147,1899.622
2.136,109.399,-55.147,1897.16
2.151,109.399,-55.147,1895.544
2.165,109.399,-55.148,1897.198
2.179,109.399,-55.148,1899.577
2.194,109.399,-55.148,1899.577
2.208,109.399,-55.148,1901.316
2.223,109.399,-55.149,1901.316
2.237,109.399,-55.149,1897.518
2.252,109.399,-55.149,1894.823
2.266,109.4,-55.149,1892.356
2.281,109.4,-55.15,1892.356
2.295,109.4,-55.15,1889.044
2.309,109.4,-55.15,1887.33
2.324,109.4,-55.15,1878.237
2.338,109.4,-55.15,1873.111
2.353,109.4,-55.151,1870.007
2.367,109.4,-55.151,1870.14
2.382,109.4,-55.151,1872.66
2.396,109.4,-55.151,1869.407
2.41,109.4,-55.152,1871.126
2.425,109.4,-55.152,1871.126
2.439,109.401,-55.152,1873.369
2.454,109.401,-55.152,1877.418
2.468,109.401,-55.153,1878.366
2.483,109.401,-55.153,1878.247
2.497,109.401,-55.153,1878.613
2.511,109.401,-55.153,1879.341
2.526,109.401,-55.154,1882.69
2.54,109.401,-55.154,1880.635
2.555,109.401,-55.154,1878.888
2.569,109.401,-55.154,1875.535
2.584,109.401,-55.155,1875.535
2.598,109.401,-55.155,1874.057
2.613,109.402,-55.155,1869.507
2.627,109.402,-55.155,1867.361
2.641,109.402,-55.156,1864.104
2.656,109.402,-55.156,1860.789
2.67,109.402,-55.156,1856.608
2.685,109.402,-55.156,1851.521
2.699,109.402,-55.156,1846.666
2.714,109.402,-55.157,1841.255
2.728,109.402,-55.157,1841.255
2.742,109.402,-55.157,1834.66
2.757,109.402,-55.157,1827.74
2.771,109.402,-55.158,1827.186
2.786,109.402,-55.158,1825.076
2.8,109.403,-55.158,1822.122
2.815,109.403,-55.158,1830.665
2.829,109.403,-55.159,1831.336
2.843,109.403,-55.159,1828.631
2.858,109.403,-55.159,1834.258
2.872,109.403,-55.159,1832.289
2.887,109.403,-55.16,1833.446
2.901,109.403,-55.16,1828.177
2.916,109.403,-55.16,1828.177
2.93,109.403,-55.16,1822.787
2.944,109.403,-55.161,1817.242
2.959,109.403,-55.161,1810.809
2.973,109.404,-55.161,1804.71
2.988,109.404,-55.161,1796.996
3.002,109.404,-55.162,1792.153
3.017,109.404,-55.162,1789.231
3.031,109.404,-55.162,1782.475
3.046,109.404,-55.162,1777.657
3.06,109.404,-55.162,1777.657
3.074,109.404,-55.163,1778.419
3.089,109.404,-55.163,1774.973
3.103,109.404,-55.163,1779.239
3.118,109.404,-55.163,1778.681
3.132,109.404,-55.164,1776.337
3.147,109.405,-55.164,1773.51
3.161,109.405,-55.164,1771.767
3.175,109.405,-55.164,1771.767
3.19,109.405,-55.165,1765.09
3.204,109.405,-55.165,1765.09
3.219,109.405,-55.165,1761.804
3.233,109.405,-55.165,1754.101
3.248,109.405,-55.166,1751.285
3.262,109.405,-55.166,1751.154
3.276,109.405,-55.166,1751.154
3.291,109.405,-55.166,1742.493
3.305,109.405,-55.167,1738.874
3.32,109.406,-55.167,1737.53
