Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.032,-56.618,2724.74
0.116,114.032,-56.62,2662.631
0.232,114.033,-56.622,2662.631
0.348,114.033,-56.624,2588.615
0.464,114.034,-56.626,2621.011
0.58,114.034,-56.628,2607.25
0.696,114.034,-56.63,2571.736
0.812,114.035,-56.632,2556.828
0.929,114.035,-56.634,2548.102
1.045,114.035,-56.636,2520.455
1.161,114.036,-56.638,2520.403
1.277,114.036,-56.64,2515.871
1.393,114.037,-56.642,2510.563
1.509,114.037,-56.644,2493.181
1.625,114.037,-56.646,2464.673
1.741,114.038,-56.648,2493.664
1.857,114.038,-56.649,2503.221
1.973,114.038,-56.651,2492.374
2.089,114.039,-56.653,2486.776
2.205,114.039,-56.655,2477.282
2.321,114.04,-56.657,2474.285
2.437,114.04,-56.659,2495.22
2.554,114.04,-56.661,2487.505
2.67,114.041,-56.663,2475.01
2.786,114.041,-56.665,2439.377
2.902,114.041,-56.667,2442.58
3.018,114.042,-56.669,2419.791
0,114.001,-56.619,2709.925
0.117,114.002,-56.621,2694.93
0.234,114.002,-56.623,2671.128
0.351,114.002,-56.625,2584.359
0.468,114.003,-56.627,2615.852
0.586,114.003,-56.629,2607.981
0.703,114.003,-56.631,2591.364
0.82,114.004,-56.633,2591.364
0.937,114.004,-56.635,2504.53
1.054,114.004,-56.637,2504.912
1.171,114.005,-56.639,2511.624
1.288,114.005,-56.641,2464.586
1.405,114.005,-56.643,2457.865
1.522,114.006,-56.645,2460.319
1.639,114.006,-56.646,2452.298
1.757,114.007,-56.648,2444.039
1.874,114.007,-56.65,2440.789
1.991,114.007,-56.652,2430.901
2.108,114.008,-56.654,2422.316
2.225,114.008,-56.656,2412.876
2.342,114.008,-56.658,2408.433
2.459,114.009,-56.66,2408.433
2.576,114.009,-56.662,2412.917
2.693,114.009,-56.664,2425.646
2.811,114.01,-56.666,2411.799
2.928,114.01,-56.668,2405.794
3.045,114.01,-56.67,2391.856
0,114.023,-56.618,2714.507
0.116,114.023,-56.62,2678.406
0.232,114.024,-56.622,2678.406
0.348,114.024,-56.624,2587.937
0.464,114.024,-56.626,2610.593
0.58,114.025,-56.628,2598.348
0.696,114.025,-56.63,2569.099
0.812,114.025,-56.632,2529.03
0.928,114.026,-56.634,2531.485
1.045,114.026,-56.636,2525
1.161,114.026,-56.638,2486.795
1.277,114.027,-56.64,2476.107
1.393,114.027,-56.642,2509.513
1.509,114.028,-56.644,2493.828
1.625,114.028,-56.646,2467.837
1.741,114.028,-56.648,2470.163
1.857,114.029,-56.65,2469.004
1.973,114.029,-56.652,2469.004
2.089,114.029,-56.654,2466.027
2.205,114.03,-56.656,2448.523
2.321,114.03,-56.657,2440.451
2.437,114.03,-56.659,2452.623
2.553,114.031,-56.661,2439.002
2.669,114.031,-56.663,2442.472
2.785,114.032,-56.665,2431.374
2.901,114.032,-56.667,2417.156
3.017,114.032,-56.669,2401.092
0,114.012,-56.619,2710.949
0.117,114.012,-56.621,2699.359
0.233,114.013,-56.623,2648.279
0.35,114.013,-56.625,2595.028
0.466,114.014,-56.626,2605.685
0.583,114.014,-56.628,2599.402
0.699,114.014,-56.63,2579.65
0.816,114.015,-56.632,2585.487
0.933,114.015,-56.634,2514.825
1.049,114.015,-56.636,2528.772
1.166,114.016,-56.638,2490.358
1.282,114.016,-56.64,2474.966
1.399,114.016,-56.642,2462.421
1.515,114.017,-56.644,2472.222
1.632,114.017,-56.646,2475.175
1.749,114.017,-56.648,2450.514
1.865,114.018,-56.65,2459.813
1.982,114.018,-56.652,2438.402
2.098,114.018,-56.654,2430.968
2.215,114.019,-56.656,2414.274
2.331,114.019,-56.658,2409.095
2.448,114.019,-56.66,2409.095
2.565,114.02,-56.662,2396.443
2.681,114.02,-56.664,2414.575
2.798,114.021,-56.666,2417.246
2.914,114.021,-56.668,2405.862
3.031,114.021,-56.67,2392.2
