Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.002,-56.619,2706.162
0.014,114.002,-56.619,2704.586
0.029,114.002,-56.62,2702.975
0.043,114.002,-56.62,2701.278
0.058,114.002,-56.62,2699.871
0.072,114.002,-56.62,2698.267
0.087,114.002,-56.621,2696.68
0.101,114.002,-56.621,2694.86
0.116,114.002,-56.621,2693.421
0.13,114.002,-56.621,2693.531
0.144,114.002,-56.622,2691.723
0.159,114.002,-56.622,2690.353
0.173,114.002,-56.622,2688.713
0.188,114.002,-56.622,2687.269
0.202,114.002,-56.623,2687.212
0.217,114.002,-56.623,2660.532
0.231,114.002,-56.623,2643.184
0.245,114.003,-56.623,2628.265
0.26,114.003,-56.623,2610.125
0.274,114.003,-56.624,2610.125
0.289,114.003,-56.624,2594.069
0.303,114.003,-56.624,2582.735
0.318,114.003,-56.624,2579.226
0.332,114.003,-56.625,2582.152
0.347,114.003,-56.625,2586.003
0.361,114.003,-56.625,2589.387
0.375,114.003,-56.625,2596.567
0.39,114.003,-56.626,2600.897
0.404,114.003,-56.626,2608.329
0.419,114.003,-56.626,2612.477
0.433,114.003,-56.626,2612.477
0.448,114.003,-56.627,2616.863
0.462,114.003,-56.627,2619.521
0.476,114.003,-56.627,2621.786
0.491,114.003,-56.627,2619.093
0.505,114.003,-56.628,2615.546
0.52,114.003,-56.628,2612.441
0.534,114.003,-56.628,2608.149
0.549,114.003,-56.628,2609.977
0.563,114.003,-56.629,2606.707
0.578,114.003,-56.629,2604.52
0.592,114.004,-56.629,2602.694
0.606,114.004,-56.629,2599.186
0.621,114.004,-56.63,2599.223
0.635,114.004,-56.63,2597.788
0.65,114.004,-56.63,2595.697
0.664,114.004,-56.63,2593.535
0.679,114.004,-56.631,2584.994
0.693,114.004,-56.631,2579.348
0.707,114.004,-56.631,2574.43
0.722,114.004,-56.631,2565.907
0.736,114.004,-56.632,2565.907
0.751,114.004,-56.632,2560.106
0.765,114.004,-56.632,2554.551
0.78,114.004,-56.632,2554.551
0.794,114.004,-56.632,2543.606
0.809,114.004,-56.633,2538.078
0.823,114.004,-56.633,2533.386
0.837,114.004,-56.633,2528.051
0.852,114.004,-56.633,2520.909
0.866,114.004,-56.634,2515.189
0.881,114.004,-56.634,2515.189
0.895,114.004,-56.634,2510.876
0.91,114.004,-56.634,2506.003
0.924,114.005,-56.635,2501.234
0.938,114.005,-56.635,2498.927
0.953,114.005,-56.635,2498.927
0.967,114.005,-56.635,2501.906
0.982,114.005,-56.636,2509.711
0.996,114.005,-56.636,2513.659
1.011,114.005,-56.636,2517.41
1.025,114.005,-56.636,2521.088
1.04,114.005,-56.637,2521.088
1.054,114.005,-56.637,2524.06
1.068,114.005,-56.637,2526.331
1.083,114.005,-56.637,2524.355
1.097,114.005,-56.638,2519.321
1.112,114.005,-56.638,2513.689
1.126,114.005,-56.638,2507.747
1.141,114.005,-56.638,2500.891
1.155,114.005,-56.639,2494.641
1.169,114.005,-56.639,2488.577
1.184,114.005,-56.639,2483.205
1.198,114.005,-56.639,2483.205
1.213,114.005,-56.64,2477.124
1.227,114.005,-56.64,2471.393
1.242,114.005,-56.64,2466.157
1.256,114.006,-56.64,2466.157
1.271,114.006,-56.641,2462.633
1.285,114.006,-56.641,2462.633
1.299,114.006,-56.641,2468.443
1.314,114.006,-56.641,2467.103
1.328,114.006,-56.641,2467.103
1.343,114.006,-56.642,2465.214
1.357,114.006,-56.642,2461.975
1.372,114.006,-56.642,2460.847
1.386,114.006,-56.642,2457.726
1.4,114.006,-56.643,2455.578
1.415,114.006,-56.643,2453.545
1.429,114.006,-56.643,2451.055
