Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,113.989,-56.62,2700.95
0.014,113.989,-56.62,2699.7
0.029,113.989,-56.62,2698.394
0.043,113.99,-56.62,2696.796
0.058,113.99,-56.621,2695.263
0.072,113.99,-56.621,2693.749
0.087,113.99,-56.621,2692.25
0.101,113.99,-56.621,2692.25
0.116,113.99,-56.622,2690.785
0.13,113.99,-56.622,2689.242
0.144,113.99,-56.622,2687.479
0.159,113.99,-56.622,2685.739
0.173,113.99,-56.623,2684.057
0.188,113.99,-56.623,2682.48
0.202,113.99,-56.623,2682.651
0.217,113.99,-56.623,2679.547
0.231,113.99,-56.624,2677.572
0.245,113.99,-56.624,2677.786
0.26,113.99,-56.624,2669.008
0.274,113.99,-56.624,2649.094
0.289,113.99,-56.625,2634.583
0.303,113.99,-56.625,2620.554
0.318,113.99,-56.625,2606.252
0.332,113.99,-56.625,2606.252
0.347,113.99,-56.625,2579.028
0.361,113.99,-56.626,2568.271
0.375,113.991,-56.626,2562.389
0.39,113.991,-56.626,2554.703
0.404,113.991,-56.626,2554.953
0.419,113.991,-56.627,2551.029
0.433,113.991,-56.627,2549.43
0.448,113.991,-56.627,2547.731
0.462,113.991,-56.627,2545.4
0.476,113.991,-56.628,2552.111
0.491,113.991,-56.628,2556.415
0.505,113.991,-56.628,2560.898
0.52,113.991,-56.628,2561.502
0.534,113.991,-56.629,2566.635
0.549,113.991,-56.629,2570.284
0.563,113.991,-56.629,2575.101
0.578,113.991,-56.629,2579.991
0.592,113.991,-56.63,2579.991
0.606,113.991,-56.63,2588.174
0.621,113.991,-56.63,2593.238
0.635,113.991,-56.63,2598.586
0.65,113.991,-56.631,2603.403
0.664,113.991,-56.631,2602.695
0.679,113.991,-56.631,2598.784
0.693,113.991,-56.631,2598.784
0.707,113.992,-56.632,2593.401
0.722,113.992,-56.632,2587.575
0.736,113.992,-56.632,2584.958
0.751,113.992,-56.632,2579.812
0.765,113.992,-56.633,2574.443
0.78,113.992,-56.633,2569.667
0.794,113.992,-56.633,2563.211
0.809,113.992,-56.633,2558.929
0.823,113.992,-56.634,2552.914
0.837,113.992,-56.634,2546.913
0.852,113.992,-56.634,2546.913
0.866,113.992,-56.634,2539.537
0.881,113.992,-56.634,2533.936
0.895,113.992,-56.635,2528.325
0.91,113.992,-56.635,2521.957
0.924,113.992,-56.635,2515.708
0.938,113.992,-56.635,2510.024
0.953,113.992,-56.636,2510.024
0.967,113.992,-56.636,2501.537
0.982,113.992,-56.636,2491.058
0.996,113.992,-56.636,2491.058
1.011,113.992,-56.637,2486.269
1.025,113.992,-56.637,2482.375
1.04,113.993,-56.637,2475.36
1.054,113.993,-56.637,2469.462
1.068,113.993,-56.638,2465.916
1.083,113.993,-56.638,2466.942
