Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.011,-56.619,2709.085
0.014,114.011,-56.619,2708.109
0.029,114.011,-56.619,2706.462
0.043,114.011,-56.62,2705.06
0.058,114.011,-56.62,2703.364
0.072,114.011,-56.62,2701.684
0.087,114.011,-56.62,2700.38
0.101,114.011,-56.621,2698.833
0.116,114.011,-56.621,2697.339
0.13,114.011,-56.621,2694.392
0.144,114.011,-56.621,2694.392
0.159,114.011,-56.622,2672.963
0.173,114.011,-56.622,2672.963
0.188,114.011,-56.622,2640.054
0.202,114.011,-56.622,2620.878
0.217,114.011,-56.623,2620.878
0.231,114.011,-56.623,2605.008
0.245,114.011,-56.623,2595.995
0.26,114.011,-56.623,2592.356
0.274,114.011,-56.624,2591.447
0.289,114.012,-56.624,2591.447
0.303,114.012,-56.624,2592.385
0.318,114.012,-56.624,2594.138
0.332,114.012,-56.625,2598.264
0.347,114.012,-56.625,2603.432
0.361,114.012,-56.625,2607.984
0.375,114.012,-56.625,2612.724
0.39,114.012,-56.626,2612.724
0.404,114.012,-56.626,2610.812
0.419,114.012,-56.626,2607.121
0.433,114.012,-56.626,2604.06
0.448,114.012,-56.626,2604.06
0.462,114.012,-56.627,2601.319
0.477,114.012,-56.627,2600.225
0.491,114.012,-56.627,2600.554
0.505,114.012,-56.627,2602.448
0.52,114.012,-56.628,2599.754
0.534,114.012,-56.628,2596.925
0.549,114.012,-56.628,2595.556
0.563,114.012,-56.628,2593.829
0.578,114.012,-56.629,2593.016
0.592,114.012,-56.629,2593.016
0.606,114.013,-56.629,2587.836
0.621,114.013,-56.629,2583.273
0.635,114.013,-56.63,2582.591
0.65,114.013,-56.63,2584.606
0.664,114.013,-56.63,2583.779
0.679,114.013,-56.63,2576.646
0.693,114.013,-56.631,2571.603
0.708,114.013,-56.631,2565.339
0.722,114.013,-56.631,2559.024
0.736,114.013,-56.631,2551.707
0.751,114.013,-56.632,2551.707
0.765,114.013,-56.632,2545.112
0.78,114.013,-56.632,2539.252
0.794,114.013,-56.632,2534.314
0.809,114.013,-56.633,2528.103
0.823,114.013,-56.633,2521.829
0.838,114.013,-56.633,2516.323
0.852,114.013,-56.633,2516.323
0.866,114.013,-56.634,2515.031
0.881,114.013,-56.634,2519.24
0.895,114.013,-56.634,2520.612
0.91,114.013,-56.634,2518.745
0.924,114.014,-56.634,2516.01
0.939,114.014,-56.635,2512.927
0.953,114.014,-56.635,2510.524
0.968,114.014,-56.635,2511.342
0.982,114.014,-56.635,2516.245
0.996,114.014,-56.636,2520.561
1.011,114.014,-56.636,2521.515
1.025,114.014,-56.636,2521.971
1.04,114.014,-56.636,2520.991
1.054,114.014,-56.637,2520.991
1.069,114.014,-56.637,2514.241
1.083,114.014,-56.637,2507.007
1.097,114.014,-56.637,2500.642
1.112,114.014,-56.638,2494.714
1.126,114.014,-56.638,2486.475
1.141,114.014,-56.638,2480.552
1.155,114.014,-56.638,2475.208
1.17,114.014,-56.639,2470.964
1.184,114.014,-56.639,2467.561
1.199,114.014,-56.639,2465.424
1.213,114.014,-56.639,2464.637
