Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,113.982,-56.62,2698.189
0.014,113.982,-56.62,2696.683
0.029,113.982,-56.621,2695.235
0.043,113.982,-56.621,2693.518
0.058,113.982,-56.621,2692.01
0.072,113.982,-56.621,2691.948
0.087,113.982,-56.621,2690.517
0.101,113.982,-56.622,2688.991
0.116,113.982,-56.622,2687.205
0.13,113.982,-56.622,2685.835
0.145,113.982,-56.622,2684.046
0.159,113.982,-56.623,2684.046
0.174,113.982,-56.623,2680.78
0.188,113.982,-56.623,2679.263
0.203,113.982,-56.623,2679.083
0.217,113.982,-56.624,2677.89
0.232,113.982,-56.624,2676.401
0.246,113.982,-56.624,2675.185
0.26,113.982,-56.624,2672.902
0.275,113.982,-56.625,2671.574
0.289,113.983,-56.625,2668.06
0.304,113.983,-56.625,2654.111
0.318,113.983,-56.625,2652.958
0.333,113.983,-56.626,2622.258
0.347,113.983,-56.626,2602.901
0.362,113.983,-56.626,2587.201
0.376,113.983,-56.626,2587.201
0.391,113.983,-56.627,2573.642
0.405,113.983,-56.627,2562.069
0.42,113.983,-56.627,2551.574
0.434,113.983,-56.627,2543.974
0.449,113.983,-56.628,2537.618
0.463,113.983,-56.628,2534.111
0.478,113.983,-56.628,2528.74
0.492,113.983,-56.628,2523.851
0.506,113.983,-56.629,2523.011
0.521,113.983,-56.629,2523.011
0.535,113.983,-56.629,2526.407
0.55,113.983,-56.629,2531.273
0.564,113.983,-56.63,2537.047
0.579,113.983,-56.63,2542.923
0.593,113.983,-56.63,2548.281
0.608,113.983,-56.63,2550.546
0.622,113.984,-56.631,2551.576
0.637,113.984,-56.631,2552.739
0.651,113.984,-56.631,2554.268
0.666,113.984,-56.631,2555.823
0.68,113.984,-56.631,2555.823
0.695,113.984,-56.632,2557.426
0.709,113.984,-56.632,2553.871
0.724,113.984,-56.632,2559.873
0.738,113.984,-56.632,2560.407
0.753,113.984,-56.633,2558.389
0.767,113.984,-56.633,2560.16
0.781,113.984,-56.633,2563.879
0.796,113.984,-56.633,2564.737
0.81,113.984,-56.634,2564.234
0.825,113.984,-56.634,2562.337
0.839,113.984,-56.634,2562.337
0.854,113.984,-56.634,2552.691
0.868,113.984,-56.635,2552.691
0.883,113.984,-56.635,2542.299
0.897,113.984,-56.635,2536.809
0.912,113.984,-56.635,2530.984
0.926,113.984,-56.636,2524.806
0.941,113.984,-56.636,2524.806
0.955,113.984,-56.636,2521.967
0.97,113.985,-56.636,2507.299
0.984,113.985,-56.637,2507.299
0.999,113.985,-56.637,2501.194
1.013,113.985,-56.637,2492.028
1.027,113.985,-56.637,2485.767
1.042,113.985,-56.638,2480.121
1.056,113.985,-56.638,2474.612
1.071,113.985,-56.638,2468.53
1.085,113.985,-56.638,2462.854
1.1,113.985,-56.639,2456.533
1.114,113.985,-56.639,2450.043
1.129,113.985,-56.639,2444.618
1.143,113.985,-56.639,2444.618
1.158,113.985,-56.64,2440.275
1.172,113.985,-56.64,2437.842
1.187,113.985,-56.64,2438.145
1.201,113.985,-56.64,2436.939
1.216,113.985,-56.641,2437.795
1.23,113.985,-56.641,2438.126
1.245,113.985,-56.641,2440.579
1.259,113.985,-56.641,2443.839
1.273,113.985,-56.641,2446.469
1.288,113.985,-56.642,2449.085
1.302,113.986,-56.642,2449.085
1.317,113.986,-56.642,2449.085
1.331,113.986,-56.642,2449.341
1.346,113.986,-56.643,2448.361
1.36,113.986,-56.643,2448.152
1.375,113.986,-56.643,2448.449
1.389,113.986,-56.643,2449.602
1.404,113.986,-56.644,2452.097
1.418,113.986,-56.644,2455.083
1.433,113.986,-56.644,2458.775
1.447,113.986,-56.644,2463.603
1.462,113.986,-56.645,2463.603
1.476,113.986,-56.645,2466.073
1.491,113.986,-56.645,2472.431
1.505,113.986,-56.645,2477.802
1.519,113.986,-56.646,2480.878
1.534,113.986,-56.646,2480.878
1.548,113.986,-56.646,2486.442
1.563,113.986,-56.646,2489.535
1.577,113.986,-56.647,2492.023
1.592,113.986,-56.647,2492.784
1.606,113.986,-56.647,2492.784
1.621,113.986,-56.647,2493.353
1.635,113.986,-56.648,2494.764
1.65,113.987,-56.648,2492.565
1.664,113.987,-56.648,2498.468
1.679,113.987,-56.648,2494.966
1.693,113.987,-56.649,2501.04
1.708,113.987,-56.649,2499.055
1.722,113.987,-56.649,2497.673
1.737,113.987,-56.649,2499.346
1.751,113.987,-56.65,2499.346
1.765,113.987,-56.65,2501.585
1.78,113.987,-56.65,2504.956
1.794,113.987,-56.65,2508.85
1.809,113.987,-56.65,2512.479
1.823,113.987,-56.651,2518.343
1.838,113.987,-56.651,2516.724
1.852,113.987,-56.651,2515.098
1.867,113.987,-56.651,2513.792
1.881,113.987,-56.652,2511.78
1.896,113.987,-56.652,2509.433
1.91,113.987,-56.652,2509.433
1.925,113.987,-56.652,2508.051
1.939,113.987,-56.653,2506.302
1.954,113.987,-56.653,2504.705
1.968,113.987,-56.653,2503.107
1.983,113.988,-56.653,2503.107
1.997,113.988,-56.654,2500.443
2.011,113.988,-56.654,2498.844
2.026,113.988,-56.654,2497.466
2.04,113.988,-56.654,2495.616
2.055,113.988,-56.655,2493.787
2.069,113.988,-56.655,2493.332
2.084,113.988,-56.655,2491.797
2.098,113.988,-56.655,2490.197
2.113,113.988,-56.656,2488.559
2.127,113.988,-56.656,2487.013
2.142,113.988,-56.656,2484.997
2.156,113.988,-56.656,2483.281
2.171,113.988,-56.657,2481.757
2.185,113.988,-56.657,2479.912
2.2,113.988,-56.657,2478.393
2.214,113.988,-56.657,2478.283
2.229,113.988,-56.658,2476.578
2.243,113.988,-56.658,2474.649
2.258,113.988,-56.658,2472.598
2.272,113.988,-56.658,2470.844
2.286,113.988,-56.659,2469.881
2.301,113.988,-56.659,2467.858
2.315,113.988,-56.659,2466.666
2.33,113.989,-56.659,2464.49
2.344,113.989,-56.66,2462.382
2.359,113.989,-56.66,2460.921
2.373,113.989,-56.66,2460.921
2.388,113.989,-56.66,2459.561
2.402,113.989,-56.66,2459.561
2.417,113.989,-56.661,2455.817
2.431,113.989,-56.661,2454.634
2.446,113.989,-56.661,2452.986
2.46,113.989,-56.661,2451.744
2.475,113.989,-56.662,2449.696
2.489,113.989,-56.662,2447.597
2.504,113.989,-56.662,2446.06
2.518,113.989,-56.662,2444.114
2.532,113.989,-56.663,2444.114
2.547,113.989,-56.663,2442.454
2.561,113.989,-56.663,2440.939
2.576,113.989,-56.663,2438.854
2.59,113.989,-56.664,2437.05
2.605,113.989,-56.664,2435.656
2.619,113.989,-56.664,2433.375
2.634,113.989,-56.664,2432.03
2.648,113.989,-56.665,2430.099
2.663,113.99,-56.665,2428.558
2.677,113.99,-56.665,2428.326
2.692,113.99,-56.665,2426.774
2.706,113.99,-56.666,2425.468
2.721,113.99,-56.666,2423.572
2.735,113.99,-56.666,2421.753
2.75,113.99,-56.666,2420.076
2.764,113.99,-56.667,2418.559
2.778,113.99,-56.667,2418.205
2.793,113.99,-56.667,2414.624
2.807,113.99,-56.667,2412.772
2.822,113.99,-56.668,2411.219
2.836,113.99,-56.668,2410.76
2.851,113.99,-56.668,2409.237
2.865,113.99,-56.668,2407.341
2.88,113.99,-56.669,2405.615
2.894,113.99,-56.669,2403.573
2.909,113.99,-56.669,2402.403
2.923,113.99,-56.669,2400.199
2.938,113.99,-56.67,2399.166
2.952,113.99,-56.67,2397.675
2.967,113.99,-56.67,2395.833
2.981,113.99,-56.67,2395.602
2.996,113.99,-56.67,2393.994
3.01,113.991,-56.671,2392.428
3.024,113.991,-56.671,2390.715
3.039,113.991,-56.671,2389.054
0,113.981,-56.62,2698.215
0.014,113.981,-56.62,2696.762
0.029,113.981,-56.621,2695.369
0.043,113.981,-56.621,2693.866
0.058,113.981,-56.621,2692.07
0.072,113.981,-56.621,2692.07
0.087,113.981,-56.622,2690.526
0.101,113.981,-56.622,2689.015
0.115,113.981,-56.622,2689.125
0.13,113.981,-56.622,2685.914
0.144,113.981,-56.622,2684.051
0.159,113.981,-56.623,2684.006
0.173,113.981,-56.623,2680.838
0.188,113.981,-56.623,2680.838
0.202,113.981,-56.623,2677.663
0.217,113.981,-56.624,2677.663
0.231,113.981,-56.624,2676.326
0.245,113.982,-56.624,2675.396
0.26,113.982,-56.624,2673.889
0.274,113.982,-56.625,2673.889
0.289,113.982,-56.625,2669.808
0.303,113.982,-56.625,2658.087
0.318,113.982,-56.625,2641.209
0.332,113.982,-56.626,2625.074
0.346,113.982,-56.626,2608.216
0.361,113.982,-56.626,2608.216
0.375,113.982,-56.626,2589.393
0.39,113.982,-56.627,2575.536
0.404,113.982,-56.627,2564.475
0.419,113.982,-56.627,2554.156
0.433,113.982,-56.627,2547.304
0.448,113.982,-56.628,2542.178
0.462,113.982,-56.628,2542.178
0.476,113.982,-56.628,2529.359
0.491,113.982,-56.628,2528.782
0.505,113.982,-56.629,2524.32
0.52,113.982,-56.629,2524.32
0.534,113.982,-56.629,2525.652
0.549,113.982,-56.629,2528.978
0.563,113.982,-56.63,2534.561
0.577,113.982,-56.63,2540.817
0.592,113.983,-56.63,2540.817
0.606,113.983,-56.63,2546.796
0.621,113.983,-56.631,2546.658
0.635,113.983,-56.631,2545.916
0.65,113.983,-56.631,2545.609
0.664,113.983,-56.631,2547.772
0.679,113.983,-56.631,2547.772
0.693,113.983,-56.632,2545.452
0.707,113.983,-56.632,2549.513
0.722,113.983,-56.632,2551.932
0.736,113.983,-56.632,2553.993
0.751,113.983,-56.633,2552.499
0.765,113.983,-56.633,2557.353
0.78,113.983,-56.633,2560.392
0.794,113.983,-56.633,2563.046
0.808,113.983,-56.634,2563.865
0.823,113.983,-56.634,2563.865
0.837,113.983,-56.634,2563.865
0.852,113.983,-56.634,2555.336
0.866,113.983,-56.635,2550.667
0.881,113.983,-56.635,2545.513
0.895,113.983,-56.635,2538.74
0.91,113.983,-56.635,2535.946
0.924,113.984,-56.636,2530.822
0.938,113.984,-56.636,2530.822
0.953,113.984,-56.636,2518.743
0.967,113.984,-56.636,2509.735
0.982,113.984,-56.637,2511.979
0.996,113.984,-56.637,2505.495
1.011,113.984,-56.637,2497.086
1.025,113.984,-56.637,2491.113
1.039,113.984,-56.638,2485.475
1.054,113.984,-56.638,2479.095
1.068,113.984,-56.638,2472.958
1.083,113.984,-56.638,2466.848
1.097,113.984,-56.639,2461.306
1.112,113.984,-56.639,2455.675
1.126,113.984,-56.639,2450.519
1.141,113.984,-56.639,2450.519
1.155,113.984,-56.64,2446.658
1.169,113.984,-56.64,2444.088
1.184,113.984,-56.64,2442.233
1.198,113.984,-56.64,2441.307
1.213,113.984,-56.64,2441.723
1.227,113.984,-56.641,2442.558
1.242,113.984,-56.641,2439.374
1.256,113.984,-56.641,2444.365
1.27,113.985,-56.641,2444.365
1.285,113.985,-56.642,2447.48
1.299,113.985,-56.642,2448.929
1.314,113.985,-56.642,2448.485
1.328,113.985,-56.642,2449.016
1.343,113.985,-56.643,2449.9
1.357,113.985,-56.643,2452.326
1.372,113.985,-56.643,2453.414
1.386,113.985,-56.643,2454.496
1.4,113.985,-56.644,2457.084
1.415,113.985,-56.644,2462.003
1.429,113.985,-56.644,2466.842
1.444,113.985,-56.644,2466.842
1.458,113.985,-56.645,2472.046
1.473,113.985,-56.645,2479.4
1.487,113.985,-56.645,2476.706
1.501,113.985,-56.645,2484.23
1.516,113.985,-56.646,2488.497
1.53,113.985,-56.646,2491.974
1.545,113.985,-56.646,2495.086
1.559,113.985,-56.646,2501.056
1.574,113.985,-56.647,2498.231
1.588,113.985,-56.647,2502.743
1.603,113.986,-56.647,2501.948
1.617,113.986,-56.647,2502.916
1.631,113.986,-56.648,2500.319
1.646,113.986,-56.648,2502.236
1.66,113.986,-56.648,2503.304
