Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.022,-56.619,2714.936
0.014,114.022,-56.619,2716.022
0.029,114.022,-56.619,2714.435
0.043,114.022,-56.619,2713.32
0.058,114.022,-56.62,2711.818
0.072,114.022,-56.62,2710.183
0.087,114.022,-56.62,2708.797
0.101,114.022,-56.62,2698.358
0.116,114.022,-56.621,2678.875
0.13,114.022,-56.621,2661.695
0.144,114.022,-56.621,2644.987
0.159,114.022,-56.621,2629.197
0.173,114.022,-56.621,2629.197
0.188,114.022,-56.622,2617.407
0.202,114.023,-56.622,2607.508
0.217,114.023,-56.622,2600.575
0.231,114.023,-56.622,2593.758
0.245,114.023,-56.623,2588.74
0.26,114.023,-56.623,2583.861
0.274,114.023,-56.623,2579.103
0.289,114.023,-56.623,2576.138
0.303,114.023,-56.624,2576.981
0.318,114.023,-56.624,2576.981
0.332,114.023,-56.624,2576.981
0.347,114.023,-56.624,2587.141
0.361,114.023,-56.625,2590.778
0.375,114.023,-56.625,2591.854
0.39,114.023,-56.625,2590.3
0.404,114.023,-56.625,2591.119
0.419,114.023,-56.626,2593.133
0.433,114.023,-56.626,2597.44
0.448,114.023,-56.626,2601.089
0.462,114.023,-56.626,2605.67
0.476,114.023,-56.627,2605.67
0.491,114.023,-56.627,2610.156
0.505,114.023,-56.627,2613.997
0.52,114.024,-56.627,2618.279
0.534,114.024,-56.628,2613.889
0.549,114.024,-56.628,2611.266
0.563,114.024,-56.628,2608.96
0.578,114.024,-56.628,2605.558
0.592,114.024,-56.629,2600.215
0.606,114.024,-56.629,2595.841
0.621,114.024,-56.629,2595.841
0.635,114.024,-56.629,2595.841
0.65,114.024,-56.63,2589.065
0.664,114.024,-56.63,2585.075
0.679,114.024,-56.63,2578.104
0.693,114.024,-56.63,2570.941
0.708,114.024,-56.63,2565.442
0.722,114.024,-56.631,2559.715
0.736,114.024,-56.631,2553.587
0.751,114.024,-56.631,2547.163
0.765,114.024,-56.631,2541.299
0.78,114.024,-56.632,2541.299
0.794,114.024,-56.632,2536.684
0.809,114.024,-56.632,2533.582
0.823,114.024,-56.632,2533.309
0.837,114.024,-56.633,2537.317
0.852,114.025,-56.633,2539.512
0.866,114.025,-56.633,2536.9
0.881,114.025,-56.633,2534.048
0.895,114.025,-56.634,2532.323
