Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.003,-56.59,2889.692
0.014,114.003,-56.591,2887.227
0.029,114.003,-56.591,2885.34
0.043,114.003,-56.591,2884.024
0.058,114.003,-56.591,2883.702
0.072,114.003,-56.592,2881.625
0.087,114.003,-56.592,2880.181
0.101,114.003,-56.592,2878.427
0.116,114.003,-56.592,2876.304
0.13,114.003,-56.593,2874.285
0.144,114.003,-56.593,2874.285
0.159,114.003,-56.593,2872.012
0.173,114.003,-56.593,2869.256
0.188,114.003,-56.594,2868.281
0.202,114.004,-56.594,2864.978
0.217,114.004,-56.594,2863.402
0.231,114.004,-56.594,2861.758
0.246,114.004,-56.595,2860.795
0.26,114.004,-56.595,2858.512
0.274,114.004,-56.595,2856.995
0.289,114.004,-56.595,2856.995
0.303,114.004,-56.596,2855.278
0.318,114.004,-56.596,2853.408
0.332,114.004,-56.596,2851.687
0.347,114.004,-56.596,2849.854
0.361,114.004,-56.597,2849.854
0.376,114.004,-56.597,2846.437
0.39,114.004,-56.597,2844.609
0.404,114.004,-56.597,2843.068
0.419,114.004,-56.598,2840.948
0.433,114.004,-56.598,2838.671
0.448,114.004,-56.598,2838.671
0.462,114.004,-56.598,2836.388
0.477,114.004,-56.598,2834.452
0.491,114.004,-56.599,2834.452
0.506,114.005,-56.599,2830.823
0.52,114.005,-56.599,2829.372
0.534,114.005,-56.599,2827.374
0.549,114.005,-56.6,2824.919
0.563,114.005,-56.6,2823.691
0.578,114.005,-56.6,2822.336
0.592,114.005,-56.6,2822.336
0.607,114.005,-56.601,2820.862
0.621,114.005,-56.601,2819.128
0.636,114.005,-56.601,2817.143
0.65,114.005,-56.601,2815.328
0.665,114.005,-56.602,2815.328
0.679,114.005,-56.602,2811.651
0.693,114.005,-56.602,2810.088
0.708,114.005,-56.602,2808.392
0.722,114.005,-56.603,2806.814
0.737,114.005,-56.603,2804.903
0.751,114.005,-56.603,2804.464
0.766,114.005,-56.603,2802.898
0.78,114.005,-56.604,2800.541
0.795,114.006,-56.604,2798.678
0.809,114.006,-56.604,2797.67
