Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.031,-56.618,2722.912
0.014,114.031,-56.618,2721.904
0.029,114.031,-56.619,2721.904
0.043,114.031,-56.619,2722.345
0.058,114.031,-56.619,2719.798
0.072,114.031,-56.619,2717.977
0.087,114.031,-56.62,2716.615
0.101,114.032,-56.62,2714.819
0.116,114.032,-56.62,2700.49
0.13,114.032,-56.62,2681.128
0.145,114.032,-56.621,2664.488
0.159,114.032,-56.621,2649.203
0.174,114.032,-56.621,2649.203
0.188,114.032,-56.621,2633.057
0.203,114.032,-56.622,2619.464
0.217,114.032,-56.622,2608.565
0.232,114.032,-56.622,2599.54
0.246,114.032,-56.622,2592.87
0.261,114.032,-56.623,2586.415
0.275,114.032,-56.623,2582.274
0.289,114.032,-56.623,2576.253
0.304,114.032,-56.623,2574.742
0.318,114.032,-56.624,2573.072
0.333,114.032,-56.624,2573.072
0.347,114.032,-56.624,2580.835
0.362,114.032,-56.624,2585.017
0.376,114.032,-56.625,2587.414
0.391,114.032,-56.625,2589.163
0.405,114.032,-56.625,2589.163
0.42,114.033,-56.625,2594.008
0.434,114.033,-56.626,2598.368
0.449,114.033,-56.626,2603.288
0.463,114.033,-56.626,2608.32
0.478,114.033,-56.626,2614.221
0.492,114.033,-56.627,2617.2
0.507,114.033,-56.627,2622.376
0.521,114.033,-56.627,2624.099
0.536,114.033,-56.627,2622.162
0.55,114.033,-56.628,2622.808
0.564,114.033,-56.628,2624.552
0.579,114.033,-56.628,2622.901
0.593,114.033,-56.628,2616.637
0.608,114.033,-56.628,2610.279
0.622,114.033,-56.629,2610.279
0.637,114.033,-56.629,2603.909
0.651,114.033,-56.629,2597.502
0.666,114.033,-56.629,2591.462
0.68,114.033,-56.63,2585.219
0.695,114.033,-56.63,2579.337
0.709,114.033,-56.63,2577.096
0.724,114.033,-56.63,2573.121
0.738,114.034,-56.631,2572.042
0.753,114.034,-56.631,2569.191
0.767,114.034,-56.631,2567.506
0.782,114.034,-56.631,2562.319
0.796,114.034,-56.632,2562.319
0.811,114.034,-56.632,2558.999
0.825,114.034,-56.632,2559.259
0.839,114.034,-56.632,2560.05
0.854,114.034,-56.633,2560.941
0.868,114.034,-56.633,2562.577
0.883,114.034,-56.633,2564.871
0.897,114.034,-56.633,2564.551
0.912,114.034,-56.634,2564.466
0.926,114.034,-56.634,2562.776
0.941,114.034,-56.634,2562.776
0.955,114.034,-56.634,2557.104
0.97,114.034,-56.635,2551.45
0.984,114.034,-56.635,2545.936
0.999,114.034,-56.635,2540.8
1.013,114.034,-56.635,2535.739
1.028,114.034,-56.636,2531.705
1.042,114.034,-56.636,2528.33
1.057,114.035,-56.636,2526.772
1.071,114.035,-56.636,2524.988
1.086,114.035,-56.637,2524.886
1.1,114.035,-56.637,2526.724
1.114,114.035,-56.637,2528.511
1.129,114.035,-56.637,2529.16
1.143,114.035,-56.637,2530.681
1.158,114.035,-56.638,2528.672
1.172,114.035,-56.638,2525.776
1.187,114.035,-56.638,2522.067
1.201,114.035,-56.638,2518.154
1.216,114.035,-56.639,2514.895
1.23,114.035,-56.639,2515.036
1.245,114.035,-56.639,2517.679
1.259,114.035,-56.639,2518.621
1.274,114.035,-56.64,2521.039
1.288,114.035,-56.64,2523.26
1.303,114.035,-56.64,2525.534
1.317,114.035,-56.64,2524.18
1.332,114.035,-56.641,2521.722
1.346,114.035,-56.641,2521.165
1.361,114.035,-56.641,2519.599
1.375,114.036,-56.641,2517.353
1.389,114.036,-56.642,2517.87
1.404,114.036,-56.642,2517.87
1.418,114.036,-56.642,2519.557
1.433,114.036,-56.642,2518.736
1.447,114.036,-56.643,2517.692
1.462,114.036,-56.643,2516.095
1.476,114.036,-56.643,2512.34
1.491,114.036,-56.643,2508.541
1.505,114.036,-56.644,2503.072
1.52,114.036,-56.644,2498.488
1.534,114.036,-56.644,2493.737
1.549,114.036,-56.644,2488.507
1.563,114.036,-56.645,2488.507
1.578,114.036,-56.645,2483.474
1.592,114.036,-56.645,2479.211
1.607,114.036,-56.645,2475.117
1.621,114.036,-56.646,2472.99
1.636,114.036,-56.646,2469.892
1.65,114.036,-56.646,2469.952
1.664,114.036,-56.646,2472.544
1.679,114.036,-56.647,2476.028
1.693,114.037,-56.647,2480.544
1.708,114.037,-56.647,2480.544
1.722,114.037,-56.647,2484.982
1.737,114.037,-56.647,2490.988
1.751,114.037,-56.648,2492.605
1.766,114.037,-56.648,2489.644
1.78,114.037,-56.648,2488.542
1.795,114.037,-56.648,2490.547
1.809,114.037,-56.649,2493.156
1.824,114.037,-56.649,2499.091
1.838,114.037,-56.649,2500.646
1.853,114.037,-56.649,2502.659
1.867,114.037,-56.65,2502.659
1.882,114.037,-56.65,2503.057
1.896,114.037,-56.65,2504.692
1.911,114.037,-56.65,2504.195
1.925,114.037,-56.651,2502.375
1.939,114.037,-56.651,2500.527
1.954,114.037,-56.651,2498.961
1.968,114.037,-56.651,2498.961
1.983,114.037,-56.652,2496.301
1.997,114.037,-56.652,2496.301
2.012,114.038,-56.652,2493.504
2.026,114.038,-56.652,2493.504
2.041,114.038,-56.653,2492.036
2.055,114.038,-56.653,2491.54
2.07,114.038,-56.653,2492.444
2.084,114.038,-56.653,2489.385
2.099,114.038,-56.654,2486.362
2.113,114.038,-56.654,2484.143
