Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.044,-56.618,2735.33
0.014,114.044,-56.618,2733.477
0.029,114.044,-56.618,2732.708
0.043,114.044,-56.618,2732.708
0.058,114.044,-56.619,2731.203
0.072,114.044,-56.619,2730.942
0.087,114.044,-56.619,2716.029
0.101,114.044,-56.619,2696.801
0.116,114.044,-56.62,2679.248
0.13,114.044,-56.62,2679.345
0.145,114.044,-56.62,2646.391
0.159,114.044,-56.62,2632.73
0.174,114.044,-56.621,2626.509
0.188,114.044,-56.621,2621.051
0.203,114.044,-56.621,2616.943
0.217,114.044,-56.621,2616.943
0.232,114.044,-56.622,2615.895
0.246,114.044,-56.622,2620.682
0.261,114.044,-56.622,2626.01
0.275,114.044,-56.622,2631.418
0.289,114.044,-56.623,2637.764
0.304,114.045,-56.623,2642.413
0.318,114.045,-56.623,2643.146
0.333,114.045,-56.623,2643.146
0.347,114.045,-56.624,2639.534
0.362,114.045,-56.624,2639.534
0.376,114.045,-56.624,2638.569
0.391,114.045,-56.624,2638.47
0.405,114.045,-56.625,2642.522
0.42,114.045,-56.625,2647.824
0.434,114.045,-56.625,2652.946
0.449,114.045,-56.625,2657.963
0.463,114.045,-56.626,2661.724
0.478,114.045,-56.626,2662.651
0.492,114.045,-56.626,2660.972
0.507,114.045,-56.626,2657.648
0.521,114.045,-56.626,2657.648
0.536,114.045,-56.627,2655.403
0.55,114.045,-56.627,2654.502
0.565,114.045,-56.627,2643.36
0.579,114.045,-56.627,2637.542
0.593,114.045,-56.628,2631.586
0.608,114.045,-56.628,2625.962
0.622,114.046,-56.628,2621.318
0.637,114.046,-56.628,2616.786
0.651,114.046,-56.629,2612.376
0.666,114.046,-56.629,2612.376
0.68,114.046,-56.629,2606.318
0.695,114.046,-56.629,2613.093
0.709,114.046,-56.63,2614.067
0.724,114.046,-56.63,2614.067
0.738,114.046,-56.63,2617.269
0.753,114.046,-56.63,2618.792
0.767,114.046,-56.631,2619.264
