Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.055,-56.617,2744.543
0.014,114.055,-56.618,2743.402
0.029,114.055,-56.618,2741.947
0.043,114.055,-56.618,2741.947
0.058,114.055,-56.618,2739.404
0.072,114.055,-56.619,2739.404
0.087,114.055,-56.619,2738.008
0.101,114.055,-56.619,2734.536
0.116,114.055,-56.619,2716.273
0.13,114.055,-56.62,2699.046
0.144,114.056,-56.62,2683.338
0.159,114.056,-56.62,2666.388
0.173,114.056,-56.62,2665.716
0.188,114.056,-56.62,2642.701
0.202,114.056,-56.621,2632.935
0.217,114.056,-56.621,2628.635
0.231,114.056,-56.621,2628.635
0.246,114.056,-56.621,2627.262
0.26,114.056,-56.622,2633.89
0.274,114.056,-56.622,2639.026
0.289,114.056,-56.622,2645.901
0.303,114.056,-56.622,2651.88
0.318,114.056,-56.623,2656.159
0.332,114.056,-56.623,2658.355
0.347,114.056,-56.623,2659.887
0.361,114.056,-56.623,2662.331
0.376,114.056,-56.624,2662.331
0.39,114.056,-56.624,2663.716
0.404,114.056,-56.624,2666.468
0.419,114.056,-56.624,2670.773
0.433,114.056,-56.625,2674.3
0.448,114.057,-56.625,2677.072
0.462,114.057,-56.625,2681.383
0.477,114.057,-56.625,2682.165
0.491,114.057,-56.626,2681.375
0.505,114.057,-56.626,2678.831
0.52,114.057,-56.626,2673.534
0.534,114.057,-56.626,2673.534
0.549,114.057,-56.627,2667.231
0.563,114.057,-56.627,2660.137
0.578,114.057,-56.627,2654.738
0.592,114.057,-56.627,2649.542
0.607,114.057,-56.628,2643.359
0.621,114.057,-56.628,2637.603
0.635,114.057,-56.628,2632.772
0.65,114.057,-56.628,2628.783
0.664,114.057,-56.629,2624.467
0.679,114.057,-56.629,2624.467
0.693,114.057,-56.629,2624.467
0.708,114.057,-56.629,2625.353
0.722,114.057,-56.629,2630.196
0.737,114.057,-56.63,2635.107
0.751,114.058,-56.63,2638.608
0.765,114.058,-56.63,2640.075
0.78,114.058,-56.63,2639.757
0.794,114.058,-56.631,2635.223
0.809,114.058,-56.631,2629.733
0.823,114.058,-56.631,2627.175
0.838,114.058,-56.631,2627.175
0.852,114.058,-56.632,2626.116
0.867,114.058,-56.632,2617.719
0.881,114.058,-56.632,2617.719
0.895,114.058,-56.632,2607.115
0.91,114.058,-56.633,2602.018
0.924,114.058,-56.633,2595.972
0.939,114.058,-56.633,2589.772
0.953,114.058,-56.633,2583.917
0.968,114.058,-56.634,2584.396
0.982,114.058,-56.634,2579.142
0.997,114.058,-56.634,2578.261
1.011,114.058,-56.634,2573.23
1.025,114.058,-56.635,2567.44
1.04,114.058,-56.635,2557.433
1.054,114.058,-56.635,2557.428
1.069,114.059,-56.635,2556.889
1.083,114.059,-56.636,2560.093
1.098,114.059,-56.636,2561.673
1.112,114.059,-56.636,2565.876
1.127,114.059,-56.636,2565.815
1.141,114.059,-56.637,2573.032
1.155,114.059,-56.637,2573.032
1.17,114.059,-56.637,2572.473
1.184,114.059,-56.637,2572.381
1.199,114.059,-56.637,2568.563
1.213,114.059,-56.638,2564.271
1.228,114.059,-56.638,2559.886
1.242,114.059,-56.638,2558.778
1.256,114.059,-56.638,2560.04
1.271,114.059,-56.639,2565.557
1.285,114.059,-56.639,2570.209
1.3,114.059,-56.639,2570.64
1.314,114.059,-56.639,2570.64
1.329,114.059,-56.64,2568.905
1.343,114.059,-56.64,2570.075
1.358,114.059,-56.64,2569.596
1.372,114.06,-56.64,2568.974
1.386,114.06,-56.641,2567.939
1.401,114.06,-56.641,2566.81
1.415,114.06,-56.641,2566.81
1.43,114.06,-56.641,2570.47
1.444,114.06,-56.642,2571.053
1.459,114.06,-56.642,2571.053
1.473,114.06,-56.642,2569.166
1.488,114.06,-56.642,2565.231
1.502,114.06,-56.643,2564.089
1.516,114.06,-56.643,2562.565
1.531,114.06,-56.643,2559.212
1.545,114.06,-56.643,2559.212
1.56,114.06,-56.644,2552.115
1.574,114.06,-56.644,2554.124
1.589,114.06,-56.644,2554.917
1.603,114.06,-56.644,2554.798
1.618,114.06,-56.645,2554.342
1.632,114.06,-56.645,2554.342
1.646,114.06,-56.645,2556.438
1.661,114.06,-56.645,2557.897
1.675,114.061,-56.646,2558.062
1.69,114.061,-56.646,2559.745
1.704,114.061,-56.646,2560.297
1.719,114.061,-56.646,2560.208
1.733,114.061,-56.646,2563.457
1.748,114.061,-56.647,2566.61
1.762,114.061,-56.647,2566.61
1.776,114.061,-56.647,2565.442
1.791,114.061,-56.647,2568.365
1.805,114.061,-56.648,2570.867
1.82,114.061,-56.648,2572.751
1.834,114.061,-56.648,2572.417
1.849,114.061,-56.648,2570.44
1.863,114.061,-56.649,2569.361
1.878,114.061,-56.649,2568.287
1.892,114.061,-56.649,2568.329
1.906,114.061,-56.649,2570.587
1.921,114.061,-56.65,2570.587
