Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0,114.068,-56.617,2759.532
0.014,114.068,-56.617,2759.097
0.029,114.068,-56.617,2757.382
0.043,114.068,-56.618,2755.892
0.058,114.068,-56.618,2754.652
0.072,114.068,-56.618,2753.41
0.087,114.068,-56.618,2752.981
0.101,114.068,-56.619,2752.246
0.116,114.068,-56.619,2750.948
0.13,114.069,-56.619,2749.326
0.145,114.069,-56.619,2748.419
0.159,114.069,-56.62,2748.15
0.174,114.069,-56.62,2735.872
0.188,114.069,-56.62,2719.55
0.203,114.069,-56.62,2702.51
0.217,114.069,-56.621,2685.261
0.232,114.069,-56.621,2674.486
0.246,114.069,-56.621,2668.181
0.261,114.069,-56.621,2666.312
0.275,114.069,-56.622,2668.711
0.29,114.069,-56.622,2666.922
0.304,114.069,-56.622,2675.07
0.319,114.069,-56.622,2679.394
0.333,114.069,-56.622,2679.394
0.347,114.069,-56.623,2685.287
0.362,114.069,-56.623,2692.299
0.376,114.069,-56.623,2692.938
0.391,114.069,-56.623,2690.423
0.405,114.069,-56.624,2690.423
0.42,114.069,-56.624,2687.894
0.434,114.07,-56.624,2684.809
0.449,114.07,-56.624,2682.572
0.463,114.07,-56.625,2683.578
0.478,114.07,-56.625,2688.751
0.492,114.07,-56.625,2694.055
0.507,114.07,-56.625,2697.983
0.521,114.07,-56.626,2699.241
0.536,114.07,-56.626,2694.539
0.55,114.07,-56.626,2688.371
0.565,114.07,-56.626,2688.371
0.579,114.07,-56.627,2682.332
0.594,114.07,-56.627,2676.034
0.608,114.07,-56.627,2669.823
0.623,114.07,-56.627,2663.662
0.637,114.07,-56.628,2656.793
0.652,114.07,-56.628,2650.234
0.666,114.07,-56.628,2643.892
0.68,114.07,-56.628,2638.4
0.695,114.07,-56.629,2632.004
0.709,114.07,-56.629,2632.004
0.724,114.071,-56.629,2625.928
0.738,114.071,-56.629,2620.405
0.753,114.071,-56.63,2615.464
0.767,114.071,-56.63,2610.868
0.782,114.071,-56.63,2609.662
0.796,114.071,-56.63,2609.662
0.811,114.071,-56.631,2617.971
0.825,114.071,-56.631,2622.048
0.84,114.071,-56.631,2624.138
0.854,114.071,-56.631,2624.25
0.869,114.071,-56.631,2624.25
0.883,114.071,-56.632,2624.25
0.898,114.071,-56.632,2621.969
0.912,114.071,-56.632,2620.249
0.927,114.071,-56.632,2620.001
0.941,114.071,-56.633,2619.271
0.956,114.071,-56.633,2617.731
0.97,114.071,-56.633,2618.589
0.984,114.071,-56.633,2617.96
0.999,114.071,-56.634,2614.779
1.013,114.071,-56.634,2616.088
1.028,114.072,-56.634,2611.984
1.042,114.072,-56.634,2608.871
1.057,114.072,-56.635,2604.531
1.071,114.072,-56.635,2601.476
1.086,114.072,-56.635,2603.199
1.1,114.072,-56.635,2605.559
1.115,114.072,-56.636,2609.952
1.129,114.072,-56.636,2611.681
1.144,114.072,-56.636,2609.162
1.158,114.072,-56.636,2603.915
1.173,114.072,-56.637,2603.915
1.187,114.072,-56.637,2603.915
1.202,114.072,-56.637,2601
1.216,114.072,-56.637,2600.009
1.231,114.072,-56.638,2598.886
1.245,114.072,-56.638,2596.967
1.26,114.072,-56.638,2593.425
1.274,114.072,-56.638,2590.779
1.289,114.072,-56.639,2593.34
1.303,114.072,-56.639,2590.039
1.317,114.072,-56.639,2591.432
1.332,114.073,-56.639,2595.584
1.346,114.073,-56.64,2600.311
1.361,114.073,-56.64,2598.146
1.375,114.073,-56.64,2601.906
1.39,114.073,-56.64,2602.017
1.404,114.073,-56.641,2603.006
1.419,114.073,-56.641,2603.785
1.433,114.073,-56.641,2604.595
1.448,114.073,-56.641,2605.416
1.462,114.073,-56.641,2605.892
1.477,114.073,-56.642,2607.536
1.491,114.073,-56.642,2603.241
1.506,114.073,-56.642,2603.241
1.52,114.073,-56.642,2593.506
1.535,114.073,-56.643,2590.209
1.549,114.073,-56.643,2590.209
1.564,114.073,-56.643,2589.841
1.578,114.073,-56.643,2588.15
1.593,114.073,-56.644,2593.185
1.607,114.073,-56.644,2588.79
1.622,114.073,-56.644,2593.025
1.636,114.074,-56.644,2590.889
1.65,114.074,-56.645,2594.664
1.665,114.074,-56.645,2599.556
1.679,114.074,-56.645,2603.692
1.694,114.074,-56.645,2610.334
1.708,114.074,-56.646,2610.354
1.723,114.074,-56.646,2612.259
1.737,114.074,-56.646,2614.732
1.752,114.074,-56.646,2618.064
1.766,114.074,-56.647,2625.068
1.781,114.074,-56.647,2628.417
1.795,114.074,-56.647,2632.528
1.81,114.074,-56.647,2631.801
1.824,114.074,-56.648,2634.586
1.839,114.074,-56.648,2634.586
1.853,114.074,-56.648,2638.609
1.868,114.074,-56.648,2647.432
1.882,114.074,-56.649,2649.943
1.897,114.074,-56.649,2649.992
1.911,114.074,-56.649,2648.777
1.926,114.075,-56.649,2648.517
1.94,114.075,-56.65,2647.15
1.955,114.075,-56.65,2648.145
1.969,114.075,-56.65,2646.216
1.983,114.075,-56.65,2647.742
1.998,114.075,-56.65,2648.575
2.012,114.075,-56.651,2648.575
2.027,114.075,-56.651,2647.698
2.041,114.075,-56.651,2646.333
2.056,114.075,-56.651,2645.793
2.07,114.075,-56.652,2643.586
2.085,114.075,-56.652,2644.48
2.099,114.075,-56.652,2644.48
2.114,114.075,-56.652,2643.727
2.128,114.075,-56.653,2643.009
2.143,114.075,-56.653,2641.382
2.157,114.075,-56.653,2638.735
2.172,114.075,-56.653,2638.788
2.186,114.075,-56.654,2638.23
2.201,114.075,-56.654,2637.257
2.215,114.075,-56.654,2635.668
2.23,114.076,-56.654,2635.668
