Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (2) (mean)
0,109.358,-55.145,1870.028
0.014,109.358,-55.145,1870.028
0.029,109.358,-55.145,1868.358
0.043,109.358,-55.146,1868.358
0.058,109.358,-55.146,1867.021
0.072,109.358,-55.146,1865.169
0.087,109.358,-55.146,1863.679
0.101,109.358,-55.147,1863.679
0.116,109.359,-55.147,1862.394
0.13,109.359,-55.147,1861.106
0.145,109.359,-55.147,1859.483
0.159,109.359,-55.148,1857.844
0.174,109.359,-55.148,1852.071
0.188,109.359,-55.148,1836.304
0.203,109.359,-55.148,1819.724
0.217,109.359,-55.149,1806.607
0.232,109.359,-55.149,1796.81
0.246,109.359,-55.149,1776.285
0.261,109.359,-55.149,1758.911
0.275,109.359,-55.15,1756.2
0.29,109.359,-55.15,1742.955
0.304,109.36,-55.15,1726.864
0.319,109.36,-55.15,1726.864
0.333,109.36,-55.15,1694.389
0.348,109.36,-55.151,1691.234
0.362,109.36,-55.151,1671.328
0.377,109.36,-55.151,1668.812
0.391,109.36,-55.151,1672.811
0.406,109.36,-55.152,1672.811
0.42,109.36,-55.152,1678.371
0.435,109.36,-55.152,1683.59
0.449,109.36,-55.152,1685.254
0.464,109.36,-55.153,1682.967
0.478,109.36,-55.153,1685.529
0.493,109.361,-55.153,1692.582
0.507,109.361,-55.153,1694.155
0.522,109.361,-55.154,1696.667
0.536,109.361,-55.154,1700.814
0.551,109.361,-55.154,1705.302
0.565,109.361,-55.154,1710.173
0.58,109.361,-55.155,1710.173
0.594,109.361,-55.155,1714.646
0.609,109.361,-55.155,1718.87
0.623,109.361,-55.155,1718.447
0.638,109.361,-55.156,1716.998
0.652,109.361,-55.156,1722.321
0.667,109.361,-55.156,1724.71
0.681,109.362,-55.156,1727.358
0.696,109.362,-55.157,1729.745
0.71,109.362,-55.157,1729.745
0.725,109.362,-55.157,1733.155
0.739,109.362,-55.157,1733.511
0.754,109.362,-55.157,1735.045
0.768,109.362,-55.158,1732.919
0.783,109.362,-55.158,1730.432
0.797,109.362,-55.158,1728.478
0.812,109.362,-55.158,1731.02
0.826,109.362,-55.159,1733.326
0.841,109.362,-55.159,1735.213
0.855,109.362,-55.159,1736.99
0.87,109.363,-55.159,1730.971
0.884,109.363,-55.16,1730.971
0.899,109.363,-55.16,1728.018
0.913,109.363,-55.16,1724.781
0.928,109.363,-55.16,1723.636
0.942,109.363,-55.161,1723.892
0.957,109.363,-55.161,1724.648
0.971,109.363,-55.161,1726.239
0.986,109.363,-55.161,1721.256
1,109.363,-55.162,1726.92
1.015,109.363,-55.162,1723.477
1.029,109.363,-55.162,1721.381
1.044,109.363,-55.162,1721.381
1.058,109.364,-55.163,1727.855
1.073,109.364,-55.163,1738.889
1.087,109.364,-55.163,1738.889
1.102,109.364,-55.163,1738.385
1.116,109.364,-55.164,1743.24
1.131,109.364,-55.164,1742.365
1.145,109.364,-55.164,1749.396
1.16,109.364,-55.164,1749.396
1.174,109.364,-55.164,1752.738
1.189,109.364,-55.165,1757.665
1.203,109.364,-55.165,1757.665
1.218,109.364,-55.165,1761.609
1.232,109.364,-55.165,1761.609
1.247,109.365,-55.166,1767.245
1.261,109.365,-55.166,1770.132
1.276,109.365,-55.166,1772.947
1.29,109.365,-55.166,1779.282
1.305,109.365,-55.167,1780.652
1.319,109.365,-55.167,1780.342
1.334,109.365,-55.167,1780.182
1.348,109.365,-55.167,1778.867
1.363,109.365,-55.168,1778.867
1.377,109.365,-55.168,1777.635
1.392,109.365,-55.168,1776.048
1.406,109.365,-55.168,1776.048
1.421,109.365,-55.169,1774.955
1.435,109.366,-55.169,1772.454
1.45,109.366,-55.169,1770.937
1.464,109.366,-55.169,1769.84
1.479,109.366,-55.17,1769.303
1.493,109.366,-55.17,1767.523
1.508,109.366,-55.17,1767.523
1.522,109.366,-55.17,1766.843
1.537,109.366,-55.171,1765.613
1.551,109.366,-55.171,1765.219
1.566,109.366,-55.171,1763.561
1.58,109.366,-55.171,1761.478
1.595,109.366,-55.171,1762.146
1.609,109.367,-55.172,1758.597
1.624,109.367,-55.172,1757.077
1.638,109.367,-55.172,1757.937
1.653,109.367,-55.172,1756.672
1.667,109.367,-55.173,1756.672
1.682,109.367,-55.173,1755.334
1.696,109.367,-55.173,1753.891
1.711,109.367,-55.173,1753.766
1.725,109.367,-55.174,1752.691
1.74,109.367,-55.174,1751.45
1.754,109.367,-55.174,1750.237
1.769,109.367,-55.174,1748.937
1.783,109.367,-55.175,1748.673
1.798,109.368,-55.175,1747.45
1.812,109.368,-55.175,1747.45
1.827,109.368,-55.175,1745.082
1.841,109.368,-55.176,1743.965
1.856,109.368,-55.176,1743.329
1.87,109.368,-55.176,1742.372
1.885,109.368,-55.176,1740.533
1.899,109.368,-55.177,1740.255
1.914,109.368,-55.177,1739.139
1.928,109.368,-55.177,1738.601
1.943,109.368,-55.177,1737.556
1.957,109.368,-55.178,1736.417
1.972,109.368,-55.178,1736.417
1.986,109.369,-55.178,1735.058
2.001,109.369,-55.178,1733.902
2.015,109.369,-55.178,1733.478
2.03,109.369,-55.179,1732.382
2.044,109.369,-55.179,1731.287
2.059,109.369,-55.179,1730.012
2.073,109.369,-55.179,1728.725
2.088,109.369,-55.18,1728.243
2.102,109.369,-55.18,1726.86
2.117,109.369,-55.18,1725.782
2.131,109.369,-55.18,1725.782
2.146,109.369,-55.181,1724.579
2.16,109.369,-55.181,1724.579
2.175,109.37,-55.181,1723.48
2.189,109.37,-55.181,1723.421
2.204,109.37,-55.182,1721.223
2.218,109.37,-55.182,1722.172
2.233,109.37,-55.182,1720.317
2.247,109.37,-55.182,1718.777
2.262,109.37,-55.183,1717.267
2.276,109.37,-55.183,1717.276
2.291,109.37,-55.183,1717.276
2.305,109.37,-55.183,1717.276
2.32,109.37,-55.184,1715.317
2.334,109.37,-55.184,1714.579
2.349,109.37,-55.184,1713.462
2.363,109.371,-55.184,1712.416
2.378,109.371,-55.185,1712.416
2.392,109.371,-55.185,1710.072
2.407,109.371,-55.185,1709.352
2.421,109.371,-55.185,1708.605
2.436,109.371,-55.185,1707.586
2.45,109.371,-55.186,1707.586
2.465,109.371,-55.186,1706.694
2.479,109.371,-55.186,1705.52
2.494,109.371,-55.186,1704.684
