Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (2) (mean)
0,109.412,-55.14,2139.286
0.014,109.412,-55.14,2143.074
0.029,109.413,-55.141,2140.395
0.043,109.413,-55.141,2137.682
0.058,109.413,-55.141,2139.085
0.072,109.413,-55.141,2132.787
0.087,109.413,-55.142,2130.319
0.101,109.413,-55.142,2133.801
0.115,109.413,-55.142,2131.263
0.13,109.413,-55.142,2128.904
0.144,109.413,-55.142,2124.097
0.159,109.413,-55.143,2103.968
0.173,109.413,-55.143,2086.635
0.188,109.413,-55.143,2070.153
0.202,109.414,-55.143,2060.011
0.217,109.414,-55.144,2052.016
0.231,109.414,-55.144,2045.639
0.245,109.414,-55.144,2044.094
0.26,109.414,-55.144,2044.094
0.274,109.414,-55.145,2035.156
0.289,109.414,-55.145,2038.008
0.303,109.414,-55.145,2035.929
0.318,109.414,-55.145,2036.324
0.332,109.414,-55.146,2033.366
0.346,109.414,-55.146,2033.462
0.361,109.414,-55.146,2034.555
0.375,109.414,-55.146,2031.876
0.39,109.415,-55.147,2029.575
0.404,109.415,-55.147,2033.326
0.419,109.415,-55.147,2027.769
0.433,109.415,-55.147,2021.975
0.448,109.415,-55.147,2019.578
0.462,109.415,-55.148,2014.278
0.476,109.415,-55.148,2009.45
0.491,109.415,-55.148,2004.1
0.505,109.415,-55.148,2004.002
0.52,109.415,-55.149,2004.458
0.534,109.415,-55.149,2008.543
0.549,109.415,-55.149,2016.809
0.563,109.416,-55.149,2010.22
0.577,109.416,-55.15,2011.714
0.592,109.416,-55.15,2016.078
0.606,109.416,-55.15,2018.664
0.621,109.416,-55.15,2020.122
0.635,109.416,-55.151,2017.865
0.65,109.416,-55.151,2014.517
0.664,109.416,-55.151,2010.732
0.678,109.416,-55.151,2006.872
0.693,109.416,-55.152,2002.43
0.707,109.416,-55.152,2006.967
0.722,109.416,-55.152,2001.19
0.736,109.417,-55.152,2000.068
0.751,109.417,-55.153,1991.906
0.765,109.417,-55.153,1991.906
0.78,109.417,-55.153,1978.531
0.794,109.417,-55.153,1967.906
0.808,109.417,-55.153,1964.98
0.823,109.417,-55.154,1954.665
0.837,109.417,-55.154,1952.721
0.852,109.417,-55.154,1950.039
0.866,109.417,-55.154,1950.039
0.881,109.417,-55.155,1946.904
0.895,109.417,-55.155,1949.679
0.909,109.417,-55.155,1937.044
0.924,109.418,-55.155,1931.88
0.938,109.418,-55.156,1929.856
0.953,109.418,-55.156,1928.502
0.967,109.418,-55.156,1923.296
0.982,109.418,-55.156,1929.318
0.996,109.418,-55.157,1929.318
1.01,109.418,-55.157,1931.328
1.025,109.418,-55.157,1931.328
1.039,109.418,-55.157,1934.829
1.054,109.418,-55.158,1924.519
1.068,109.418,-55.158,1926.187
1.083,109.418,-55.158,1921.821
1.097,109.419,-55.158,1914.991
1.112,109.419,-55.159,1900.625
1.126,109.419,-55.159,1903.28
