Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (2) (mean)
0,109.414,-55.14,2161.312
0.014,109.414,-55.14,2161.312
0.029,109.414,-55.14,2154.537
0.043,109.414,-55.141,2160.16
0.058,109.414,-55.141,2153.115
0.072,109.415,-55.141,2150.369
0.087,109.415,-55.141,2151.713
0.101,109.415,-55.142,2144.966
0.115,109.415,-55.142,2152.902
0.13,109.415,-55.142,2149.987
0.144,109.415,-55.142,2138.799
0.159,109.415,-55.143,2119.151
0.173,109.415,-55.143,2101.294
0.188,109.415,-55.143,2084.203
0.202,109.415,-55.143,2077.207
0.216,109.415,-55.143,2072.369
0.231,109.415,-55.144,2068.007
0.245,109.416,-55.144,2063.612
0.26,109.416,-55.144,2058.927
0.274,109.416,-55.144,2058.927
0.289,109.416,-55.145,2058.927
0.303,109.416,-55.145,2049.713
0.317,109.416,-55.145,2047.936
0.332,109.416,-55.145,2046.283
0.346,109.416,-55.146,2044.769
0.361,109.416,-55.146,2046.514
0.375,109.416,-55.146,2046.698
0.39,109.416,-55.146,2043.556
0.404,109.416,-55.147,2039.373
0.419,109.416,-55.147,2039.373
0.433,109.417,-55.147,2033.978
0.447,109.417,-55.147,2029.213
0.462,109.417,-55.148,2025.553
0.476,109.417,-55.148,2023.702
0.491,109.417,-55.148,2031.407
0.505,109.417,-55.148,2031.38
0.52,109.417,-55.149,2032.07
0.534,109.417,-55.149,2032.851
0.548,109.417,-55.149,2033.751
0.563,109.417,-55.149,2033.669
0.577,109.417,-55.149,2033.669
0.592,109.417,-55.15,2033.669
0.606,109.418,-55.15,2029.98
0.621,109.418,-55.15,2009.645
0.635,109.418,-55.15,2008.198
0.649,109.418,-55.151,2012.219
0.664,109.418,-55.151,2012.219
0.678,109.418,-55.151,2020.808
0.693,109.418,-55.151,2023.471
0.707,109.418,-55.152,2022.515
0.722,109.418,-55.152,2022.515
0.736,109.418,-55.152,2017.084
0.75,109.418,-55.152,2009.619
0.765,109.418,-55.153,2009.619
0.779,109.418,-55.153,2007.004
0.794,109.419,-55.153,2001.278
0.808,109.419,-55.153,1993.554
0.823,109.419,-55.154,1986.197
0.837,109.419,-55.154,1979.594
0.851,109.419,-55.154,1975.809
0.866,109.419,-55.154,1966.915
0.88,109.419,-55.155,1968.999
0.895,109.419,-55.155,1961.544
0.909,109.419,-55.155,1956.333
0.924,109.419,-55.155,1958.716
0.938,109.419,-55.155,1947.266
0.952,109.419,-55.156,1942.962
0.967,109.42,-55.156,1939.981
0.981,109.42,-55.156,1938.905
0.996,109.42,-55.156,1937.555
1.01,109.42,-55.157,1939.688
1.025,109.42,-55.157,1941.588
1.039,109.42,-55.157,1941.588
1.054,109.42,-55.157,1941.562
1.068,109.42,-55.158,1936.981
1.082,109.42,-55.158,1932.1
1.097,109.42,-55.158,1925.352
1.111,109.42,-55.158,1918.716
1.126,109.42,-55.159,1911.167
1.14,109.42,-55.159,1904.276
1.155,109.421,-55.159,1898.757
1.169,109.421,-55.159,1898.757
1.183,109.421,-55.16,1884.409
1.198,109.421,-55.16,1882.641
1.212,109.421,-55.16,1877.315
1.227,109.421,-55.16,1872.494
1.241,109.421,-55.16,1865.131
1.256,109.421,-55.161,1858.649
1.27,109.421,-55.161,1854.007
1.284,109.421,-55.161,1858.547
1.299,109.421,-55.161,1857.822
1.313,109.421,-55.162,1855.434
1.328,109.422,-55.162,1854.137
1.342,109.422,-55.162,1854.238
1.357,109.422,-55.162,1854.238
1.371,109.422,-55.163,1851.906
1.385,109.422,-55.163,1848.179
1.4,109.422,-55.163,1842.672
1.414,109.422,-55.163,1837.381
1.429,109.422,-55.164,1832.536
1.443,109.422,-55.164,1831.477
1.458,109.422,-55.164,1832.84
1.472,109.422,-55.164,1832.84
1.486,109.422,-55.165,1834.939
1.501,109.422,-55.165,1834.939
1.515,109.423,-55.165,1834.598
1.53,109.423,-55.165,1836.785
1.544,109.423,-55.166,1838.633
1.559,109.423,-55.166,1840.243
1.573,109.423,-55.166,1840.243
1.588,109.423,-55.166,1840.044
1.602,109.423,-55.166,1838.958
