Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.782,-57.169,-203.695
0.116,89.782,-57.171,-205.387
0.231,89.782,-57.173,-217.956
0.347,89.782,-57.175,-323.16
0.462,89.782,-57.177,-402.524
0.578,89.782,-57.179,-398.541
0.693,89.782,-57.181,-404.006
0.809,89.783,-57.183,-414.457
0.924,89.783,-57.185,-413.772
1.04,89.783,-57.187,-443.209
1.155,89.783,-57.189,-448.869
1.271,89.783,-57.191,-449.887
1.386,89.783,-57.193,-444.986
1.502,89.783,-57.195,-435.017
1.617,89.783,-57.196,-443.248
1.733,89.784,-57.198,-411.222
1.848,89.784,-57.2,-409.063
1.964,89.784,-57.202,-388.758
2.079,89.784,-57.204,-363.414
2.195,89.784,-57.206,-327.281
2.31,89.784,-57.208,-317.931
2.426,89.784,-57.21,-308.646
2.541,89.785,-57.212,-324.429
2.657,89.785,-57.214,-341.216
2.772,89.785,-57.216,-354.207
2.888,89.785,-57.218,-332.481
3.003,89.785,-57.22,-318.463
3.119,89.785,-57.222,-321.461
0,89.772,-57.169,-226.234
0.117,89.772,-57.171,-226.234
0.234,89.772,-57.173,-240.477
0.35,89.772,-57.175,-321.885
0.467,89.772,-57.177,-387.794
0.584,89.772,-57.179,-384.841
0.701,89.772,-57.181,-387.11
0.817,89.772,-57.183,-406.247
0.934,89.772,-57.185,-416.372
1.051,89.773,-57.187,-431.905
1.168,89.773,-57.189,-436.287
1.285,89.773,-57.191,-430.988
1.401,89.773,-57.193,-435.426
1.518,89.773,-57.195,-439.435
1.635,89.773,-57.197,-449.585
1.752,89.773,-57.199,-434.731
1.869,89.773,-57.201,-408.587
1.985,89.773,-57.203,-391.519
2.102,89.774,-57.205,-373.309
2.219,89.774,-57.207,-366.219
2.336,89.774,-57.209,-363.337
2.452,89.774,-57.211,-358.669
2.569,89.774,-57.213,-384.99
2.686,89.774,-57.215,-381.597
2.803,89.774,-57.217,-380.837
2.92,89.774,-57.218,-358.335
3.036,89.775,-57.22,-335.876
3.153,89.775,-57.222,-331.272
0,89.777,-57.169,-212.268
0.117,89.777,-57.171,-220.265
0.234,89.777,-57.173,-217.956
0.35,89.777,-57.175,-323.16
0.467,89.777,-57.177,-395.86
0.584,89.778,-57.179,-398.723
0.701,89.778,-57.181,-409.501
0.818,89.778,-57.183,-424.645
0.935,89.778,-57.185,-420.012
1.051,89.778,-57.187,-447.634
1.168,89.778,-57.189,-455.208
1.285,89.778,-57.191,-449.887
1.402,89.779,-57.193,-451.499
1.519,89.779,-57.195,-444.159
1.635,89.779,-57.197,-449.585
1.752,89.779,-57.198,-431.559
1.869,89.779,-57.2,-408.587
1.986,89.779,-57.202,-391.519
2.103,89.779,-57.204,-373.309
2.219,89.78,-57.206,-359.136
2.336,89.78,-57.208,-340.617
2.453,89.78,-57.21,-374.907
2.57,89.78,-57.212,-384.99
2.687,89.78,-57.214,-381.597
2.804,89.78,-57.216,-372.712
2.92,89.78,-57.218,-344.392
3.037,89.781,-57.22,-318.893
3.154,89.781,-57.222,-321.461
0,89.765,-57.169,-240.043
0.117,89.765,-57.171,-247.475
0.234,89.765,-57.173,-253.786
0.351,89.766,-57.175,-329.384
0.467,89.766,-57.177,-359.778
0.584,89.766,-57.179,-346.269
0.701,89.766,-57.181,-340.523
0.818,89.766,-57.183,-381.805
0.935,89.766,-57.185,-402.232
1.052,89.767,-57.187,-416.544
1.169,89.767,-57.189,-408.541
1.285,89.767,-57.191,-409.293
1.402,89.767,-57.193,-409.782
1.519,89.767,-57.195,-410.178
1.636,89.767,-57.197,-401.306
1.753,89.768,-57.199,-387.666
1.87,89.768,-57.201,-387.666
1.987,89.768,-57.203,-353.194
2.104,89.768,-57.205,-341.765
2.22,89.768,-57.207,-330.131
2.337,89.768,-57.209,-330.43
2.454,89.769,-57.211,-337.225
2.571,89.769,-57.213,-344.67
2.688,89.769,-57.215,-343.202
2.805,89.769,-57.216,-341.282
2.922,89.769,-57.218,-343.741
3.038,89.769,-57.22,-348.789
3.155,89.77,-57.222,-337.948
