Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.763,-57.169,-244.501
0.014,89.763,-57.169,-245.564
0.029,89.763,-57.169,-246.493
0.043,89.763,-57.17,-247.451
0.058,89.763,-57.17,-248.443
0.072,89.763,-57.17,-249.622
0.087,89.763,-57.17,-250.83
0.101,89.763,-57.171,-251.801
0.116,89.763,-57.171,-252.79
0.13,89.763,-57.171,-253.875
0.145,89.763,-57.171,-255.757
0.159,89.763,-57.172,-253.904
0.174,89.763,-57.172,-255.2
0.188,89.763,-57.172,-265.725
0.203,89.763,-57.172,-281.493
0.217,89.763,-57.173,-294.653
0.232,89.763,-57.173,-307.334
0.246,89.763,-57.173,-320.924
0.261,89.763,-57.173,-335.222
0.275,89.763,-57.173,-349.215
0.29,89.763,-57.174,-361.015
0.304,89.763,-57.174,-368.646
0.318,89.763,-57.174,-368.646
0.333,89.763,-57.174,-371.903
0.347,89.763,-57.175,-372.065
0.362,89.763,-57.175,-369.204
0.376,89.763,-57.175,-366.384
0.391,89.763,-57.175,-363.783
0.405,89.763,-57.176,-362.542
0.42,89.763,-57.176,-359.443
0.434,89.763,-57.176,-357.404
0.449,89.763,-57.176,-357.652
0.463,89.763,-57.177,-354.548
0.478,89.763,-57.177,-354.548
0.492,89.763,-57.177,-352.519
0.507,89.763,-57.177,-351.932
0.521,89.763,-57.178,-349.874
0.536,89.763,-57.178,-347.046
0.55,89.764,-57.178,-345.674
0.565,89.764,-57.178,-344.909
0.579,89.764,-57.179,-347.787
0.594,89.764,-57.179,-350.64
0.608,89.764,-57.179,-349.269
0.622,89.764,-57.179,-353.138
0.637,89.764,-57.18,-356.728
0.651,89.764,-57.18,-359.722
0.666,89.764,-57.18,-362.076
0.68,89.764,-57.18,-364.2
0.695,89.764,-57.181,-365.832
0.709,89.764,-57.181,-367.473
0.724,89.764,-57.181,-370.619
0.738,89.764,-57.181,-374.139
0.753,89.764,-57.182,-380.025
0.767,89.764,-57.182,-383.38
0.782,89.764,-57.182,-383.38
0.796,89.764,-57.182,-387.761
0.811,89.764,-57.183,-392.092
0.825,89.764,-57.183,-395.233
0.84,89.764,-57.183,-397.285
0.854,89.764,-57.183,-399.925
0.869,89.764,-57.184,-402.104
0.883,89.764,-57.184,-403.883
0.898,89.764,-57.184,-404.453
0.912,89.764,-57.184,-405.648
0.927,89.764,-57.184,-408.288
0.941,89.764,-57.185,-408.288
0.955,89.764,-57.185,-408.223
0.97,89.764,-57.185,-411.116
0.984,89.764,-57.185,-411.139
0.999,89.764,-57.186,-409.516
1.013,89.764,-57.186,-404.965
1.028,89.764,-57.186,-404.698
1.042,89.764,-57.186,-402.419
1.057,89.764,-57.187,-404.062
1.071,89.764,-57.187,-404.606
1.086,89.764,-57.187,-404.606
1.1,89.764,-57.187,-404.75
1.115,89.764,-57.188,-404.596
1.129,89.764,-57.188,-405.544
1.144,89.764,-57.188,-405.091
1.158,89.764,-57.188,-404.339
1.173,89.764,-57.189,-404.661
1.187,89.764,-57.189,-405.127
1.202,89.764,-57.189,-403.417
1.216,89.764,-57.189,-402.783
1.231,89.764,-57.19,-403.776
1.245,89.764,-57.19,-403.776
1.259,89.765,-57.19,-403.203
1.274,89.765,-57.19,-401.49
1.288,89.765,-57.191,-402.082
1.303,89.765,-57.191,-403.446
1.317,89.765,-57.191,-404.8
1.332,89.765,-57.191,-405.479
1.346,89.765,-57.192,-409.693
1.361,89.765,-57.192,-410.226
1.375,89.765,-57.192,-409.872
1.39,89.765,-57.192,-408.444
1.404,89.765,-57.193,-408.444
1.419,89.765,-57.193,-407.344
1.433,89.765,-57.193,-405.98
1.448,89.765,-57.193,-404.973
1.462,89.765,-57.194,-403.403
1.477,89.765,-57.194,-401.246
1.491,89.765,-57.194,-399.662
1.506,89.765,-57.194,-398.789
1.52,89.765,-57.195,-399.123
1.535,89.765,-57.195,-399.656
1.549,89.765,-57.195,-399.656
1.563,89.765,-57.195,-399.985
1.578,89.765,-57.196,-399.554
1.592,89.765,-57.196,-398.004
1.607,89.765,-57.196,-398.004
1.621,89.765,-57.196,-392.657
1.636,89.765,-57.196,-388.903
1.65,89.765,-57.197,-386.366
1.665,89.765,-57.197,-385.32
1.679,89.765,-57.197,-386.686
1.694,89.765,-57.197,-383.743
1.708,89.765,-57.198,-383.743
1.723,89.765,-57.198,-380.131
1.737,89.765,-57.198,-376.343
1.752,89.765,-57.198,-369.898
1.766,89.765,-57.199,-369.558
1.781,89.765,-57.199,-363.603
1.795,89.765,-57.199,-361.738
1.81,89.765,-57.199,-359.302
1.824,89.765,-57.2,-357.537
1.839,89.765,-57.2,-359.114
1.853,89.765,-57.2,-357.761
1.867,89.765,-57.2,-354.759
1.882,89.765,-57.201,-356.182
1.896,89.765,-57.201,-353.633
1.911,89.765,-57.201,-349.901
1.925,89.765,-57.201,-346.62
1.94,89.765,-57.202,-341.064
1.954,89.765,-57.202,-342.959
1.969,89.765,-57.202,-343.146
1.983,89.766,-57.202,-343.452
1.998,89.766,-57.203,-342.896
2.012,89.766,-57.203,-341.157
2.027,89.766,-57.203,-341.157
2.041,89.766,-57.203,-337.926
2.056,89.766,-57.204,-337.076
2.07,89.766,-57.204,-335.728
2.085,89.766,-57.204,-333.975
2.099,89.766,-57.204,-331.879
2.114,89.766,-57.205,-329.622
2.128,89.766,-57.205,-327.515
2.143,89.766,-57.205,-326.629
2.157,89.766,-57.205,-326.634
2.171,89.766,-57.206,-326.634
2.186,89.766,-57.206,-327.023
2.2,89.766,-57.206,-327.93
2.215,89.766,-57.206,-329.126
2.229,89.766,-57.207,-330.584
2.244,89.766,-57.207,-333.132
2.258,89.766,-57.207,-333.801
2.273,89.766,-57.207,-334.316
2.287,89.766,-57.208,-335.096
2.302,89.766,-57.208,-337.064
2.316,89.766,-57.208,-337.875
2.331,89.766,-57.208,-338.646
2.345,89.766,-57.208,-340.104
2.36,89.766,-57.209,-340.306
2.374,89.766,-57.209,-340.389
2.389,89.766,-57.209,-341.023
2.403,89.766,-57.209,-342.498
2.418,89.766,-57.21,-343.498
2.432,89.766,-57.21,-344.989
2.447,89.766,-57.21,-346.429
2.461,89.766,-57.21,-346.859
2.475,89.766,-57.211,-347.113
2.49,89.766,-57.211,-347.113
2.504,89.766,-57.211,-345.066
2.519,89.766,-57.211,-343.672
2.533,89.766,-57.212,-343.987
2.548,89.766,-57.212,-344.211
2.562,89.766,-57.212,-342.9
2.577,89.766,-57.212,-342.608
2.591,89.766,-57.213,-343.477
2.606,89.766,-57.213,-341.844
2.62,89.766,-57.213,-340.953
2.635,89.766,-57.213,-342.457
2.649,89.766,-57.214,-342.3
2.664,89.766,-57.214,-343.072
2.678,89.766,-57.214,-343.399
2.693,89.767,-57.214,-344.053
2.707,89.767,-57.215,-344.884
2.722,89.767,-57.215,-345.204
2.736,89.767,-57.215,-344.273
2.751,89.767,-57.215,-343.709
2.765,89.767,-57.216,-345.046
2.78,89.767,-57.216,-346.368
2.794,89.767,-57.216,-346.368
2.808,89.767,-57.216,-346.898
2.823,89.767,-57.217,-347.364
2.837,89.767,-57.217,-347.343
2.852,89.767,-57.217,-350.15
2.866,89.767,-57.217,-351.562
2.881,89.767,-57.218,-352.415
2.895,89.767,-57.218,-352.21
2.91,89.767,-57.218,-351.625
2.924,89.767,-57.218,-351.039
2.939,89.767,-57.219,-350.578
2.953,89.767,-57.219,-348.23
2.968,89.767,-57.219,-347.068
2.982,89.767,-57.219,-346.827
2.997,89.767,-57.219,-343.566
3.011,89.767,-57.22,-341.352
3.026,89.767,-57.22,-340.401
3.04,89.767,-57.22,-338.541
3.055,89.767,-57.22,-338.838
3.069,89.767,-57.221,-338.439
3.084,89.767,-57.221,-339.269
3.098,89.767,-57.221,-339.269
3.112,89.767,-57.221,-339.254
3.127,89.767,-57.222,-339.22
3.141,89.767,-57.222,-338.832
3.156,89.767,-57.222,-338.967
3.17,89.767,-57.222,-339.463
3.185,89.767,-57.223,-340.414
3.199,89.767,-57.223,-340.604
3.214,89.767,-57.223,-341.025
3.228,89.767,-57.223,-341.939
3.243,89.767,-57.224,-342.637
3.257,89.767,-57.224,-342.637
3.272,89.767,-57.224,-343.361
0,89.764,-57.169,-240.994
0.014,89.764,-57.169,-242.011
0.029,89.764,-57.169,-243.187
0.043,89.764,-57.17,-244.279
0.058,89.764,-57.17,-245.154
0.072,89.764,-57.17,-246.172
0.087,89.764,-57.17,-247.31
0.101,89.764,-57.171,-248.368
0.116,89.764,-57.171,-249.461
0.13,89.764,-57.171,-250.668
0.144,89.764,-57.171,-251.607
0.159,89.764,-57.172,-251.607
0.173,89.764,-57.172,-252.405
0.188,89.764,-57.172,-262.957
0.202,89.764,-57.172,-279.102
0.217,89.764,-57.173,-292.531
0.231,89.764,-57.173,-305.25
0.246,89.764,-57.173,-318.62
0.26,89.764,-57.173,-333.292
0.274,89.764,-57.173,-347.159
0.289,89.764,-57.174,-361.179
0.303,89.764,-57.174,-371.008
0.318,89.764,-57.174,-371.008
0.332,89.764,-57.174,-377.69
0.347,89.764,-57.175,-380.863
0.361,89.764,-57.175,-380.042
0.376,89.764,-57.175,-377.698
0.39,89.764,-57.175,-375.477
0.404,89.764,-57.176,-373.553
0.419,89.764,-57.176,-372.446
0.433,89.764,-57.176,-369.168
0.448,89.764,-57.176,-365.789
0.462,89.765,-57.177,-361.601
0.477,89.765,-57.177,-361.601
0.491,89.765,-57.177,-358.901
0.506,89.765,-57.177,-356.586
0.52,89.765,-57.178,-358.399
0.534,89.765,-57.178,-356.997
0.549,89.765,-57.178,-356.168
0.563,89.765,-57.178,-354.964
0.578,89.765,-57.179,-355.002
0.592,89.765,-57.179,-359.555
0.607,89.765,-57.179,-366.467
0.621,89.765,-57.179,-366.467
0.636,89.765,-57.18,-370.299
0.65,89.765,-57.18,-373.558
0.664,89.765,-57.18,-376.43
0.679,89.765,-57.18,-376.43
0.693,89.765,-57.181,-382.106
0.708,89.765,-57.181,-385.283
0.722,89.765,-57.181,-388.347
0.737,89.765,-57.181,-390.763
0.751,89.765,-57.182,-391.602
0.766,89.765,-57.182,-391.97
0.78,89.765,-57.182,-391.97
0.794,89.765,-57.182,-393.919
0.809,89.765,-57.183,-398.34
0.823,89.765,-57.183,-401.809
0.838,89.765,-57.183,-404.466
0.852,89.765,-57.183,-406.598
0.867,89.765,-57.183,-408.157
0.881,89.765,-57.184,-410.219
0.896,89.765,-57.184,-412.167
0.91,89.765,-57.184,-414.242
0.924,89.765,-57.184,-415.633
0.939,89.765,-57.185,-415.633
0.953,89.765,-57.185,-417.336
0.968,89.765,-57.185,-417.792
0.982,89.765,-57.185,-416.002
0.997,89.765,-57.186,-417.205
1.011,89.765,-57.186,-412
1.026,89.765,-57.186,-413.342
1.04,89.765,-57.186,-410.53
1.054,89.765,-57.187,-407.326
1.069,89.765,-57.187,-411.017
1.083,89.765,-57.187,-411.017
1.098,89.765,-57.187,-408.048
1.112,89.765,-57.188,-408.622
1.127,89.765,-57.188,-409.105
1.141,89.765,-57.188,-412.187
1.156,89.765,-57.188,-408.082
1.17,89.766,-57.189,-410.973
1.184,89.766,-57.189,-407.794
1.199,89.766,-57.189,-409.705
1.213,89.766,-57.189,-408.392
1.228,89.766,-57.19,-408.784
1.242,89.766,-57.19,-408.784
1.257,89.766,-57.19,-411.459
1.271,89.766,-57.19,-412.236
1.286,89.766,-57.191,-408.871
1.3,89.766,-57.191,-414.612
1.314,89.766,-57.191,-415.657
1.329,89.766,-57.191,-416.589
1.343,89.766,-57.192,-413.474
1.358,89.766,-57.192,-414.18
1.372,89.766,-57.192,-413.344
1.387,89.766,-57.192,-412.711
1.401,89.766,-57.193,-412.711
1.416,89.766,-57.193,-412.215
1.43,89.766,-57.193,-410.904
1.444,89.766,-57.193,-409.312
1.459,89.766,-57.194,-407.858
1.473,89.766,-57.194,-405.857
1.488,89.766,-57.194,-404.316
1.502,89.766,-57.194,-411.694
1.517,89.766,-57.194,-410.303
1.531,89.766,-57.195,-410.677
1.546,89.766,-57.195,-410.677
1.56,89.766,-57.195,-411.67
1.574,89.766,-57.195,-411.332
1.589,89.766,-57.196,-409.926
1.603,89.766,-57.196,-409.926
1.618,89.766,-57.196,-400.752
1.632,89.766,-57.196,-397.326
1.647,89.766,-57.197,-390.204
1.661,89.766,-57.197,-391.8
1.676,89.766,-57.197,-389.649
1.69,89.766,-57.197,-386.894
1.704,89.766,-57.198,-386.894
1.719,89.766,-57.198,-383.253
1.733,89.766,-57.198,-379.734
1.748,89.766,-57.198,-376.236
1.762,89.766,-57.199,-373.011
1.777,89.766,-57.199,-370.361
1.791,89.766,-57.199,-370.361
1.806,89.766,-57.199,-365.988
1.82,89.766,-57.2,-370.165
1.834,89.766,-57.2,-365.43
1.849,89.766,-57.2,-364.139
1.863,89.766,-57.2,-364.139
1.878,89.766,-57.201,-362.246
1.892,89.767,-57.201,-359.417
1.907,89.767,-57.201,-356.018
1.921,89.767,-57.201,-352.766
1.936,89.767,-57.202,-350.455
1.95,89.767,-57.202,-349.583
1.964,89.767,-57.202,-349.925
1.979,89.767,-57.202,-346.663
1.993,89.767,-57.203,-349.38
2.008,89.767,-57.203,-346.872
2.022,89.767,-57.203,-346.872
2.037,89.767,-57.203,-342.716
2.051,89.767,-57.204,-341.296
2.066,89.767,-57.204,-339.401
2.08,89.767,-57.204,-337.182
2.094,89.767,-57.204,-333.477
2.109,89.767,-57.204,-333.039
2.123,89.767,-57.205,-331.083
2.138,89.767,-57.205,-329.796
2.152,89.767,-57.205,-329.793
2.167,89.767,-57.205,-328.612
2.181,89.767,-57.206,-330.271
2.196,89.767,-57.206,-331.353
2.21,89.767,-57.206,-333.783
2.224,89.767,-57.206,-336.224
2.239,89.767,-57.207,-338.078
2.253,89.767,-57.207,-335.82
2.268,89.767,-57.207,-338.472
2.282,89.767,-57.207,-338.578
2.297,89.767,-57.208,-341.061
2.311,89.767,-57.208,-343.014
2.326,89.767,-57.208,-343.014
2.34,89.767,-57.208,-344.552
2.354,89.767,-57.209,-343.31
2.369,89.767,-57.209,-346.022
2.383,89.767,-57.209,-346.26
2.398,89.767,-57.209,-351.252
2.412,89.767,-57.21,-352.314
2.427,89.767,-57.21,-353.85
2.441,89.767,-57.21,-353.85
2.456,89.767,-57.21,-354.923
2.47,89.767,-57.211,-354.358
2.484,89.767,-57.211,-354.358
2.499,89.767,-57.211,-350.037
2.513,89.767,-57.211,-351.457
2.528,89.767,-57.212,-350.964
2.542,89.767,-57.212,-349.814
2.557,89.767,-57.212,-348.217
2.571,89.767,-57.212,-346.808
2.586,89.767,-57.213,-347.614
2.6,89.767,-57.213,-348.366
2.614,89.768,-57.213,-348.364
2.629,89.768,-57.213,-348.364
2.643,89.768,-57.214,-347.715
2.658,89.768,-57.214,-347.824
2.672,89.768,-57.214,-347.011
2.687,89.768,-57.214,-347.223
2.701,89.768,-57.215,-350.276
2.716,89.768,-57.215,-351.309
2.73,89.768,-57.215,-351.541
2.744,89.768,-57.215,-350.452
2.759,89.768,-57.215,-351.2
2.773,89.768,-57.216,-351.987
2.788,89.768,-57.216,-351.987
2.802,89.768,-57.216,-353.27
2.817,89.768,-57.216,-353.606
2.831,89.768,-57.217,-354.106
2.846,89.768,-57.217,-354.902
2.86,89.768,-57.217,-355.662
2.874,89.768,-57.217,-355.946
