Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.765,-57.17,-244.136
0.014,89.765,-57.17,-245.161
0.029,89.765,-57.17,-246.31
0.043,89.765,-57.17,-247.421
0.058,89.765,-57.171,-248.398
0.072,89.765,-57.171,-249.647
0.087,89.765,-57.171,-250.602
0.101,89.765,-57.171,-250.602
0.116,89.765,-57.172,-251.495
0.13,89.765,-57.172,-262.455
0.145,89.765,-57.172,-278.031
0.159,89.765,-57.172,-291.512
0.174,89.765,-57.173,-304.439
0.188,89.765,-57.173,-318.037
0.203,89.765,-57.173,-332.811
0.217,89.765,-57.173,-346.787
0.232,89.765,-57.174,-360.456
0.246,89.765,-57.174,-371.473
0.261,89.765,-57.174,-371.473
0.275,89.765,-57.174,-371.473
0.29,89.765,-57.175,-381.834
0.304,89.765,-57.175,-381.35
0.319,89.765,-57.175,-379.358
0.333,89.765,-57.175,-378.057
0.348,89.765,-57.176,-375.893
0.362,89.765,-57.176,-375.066
0.376,89.765,-57.176,-371.923
0.391,89.765,-57.176,-368.491
0.405,89.765,-57.177,-365.379
0.42,89.765,-57.177,-365.379
0.434,89.765,-57.177,-362.317
0.449,89.765,-57.177,-361.169
0.463,89.765,-57.178,-360.355
0.478,89.765,-57.178,-360.104
0.492,89.765,-57.178,-359.751
0.507,89.765,-57.178,-358.98
0.521,89.765,-57.179,-358.681
0.536,89.765,-57.179,-361.554
0.55,89.765,-57.179,-366.467
0.565,89.765,-57.179,-366.467
0.579,89.765,-57.179,-370.299
0.594,89.765,-57.18,-373.558
0.608,89.765,-57.18,-376.43
0.623,89.766,-57.18,-379.195
0.637,89.766,-57.18,-382.106
0.652,89.766,-57.181,-385.283
0.666,89.766,-57.181,-388.347
0.681,89.766,-57.181,-390.763
0.695,89.766,-57.181,-391.602
0.71,89.766,-57.182,-391.97
0.724,89.766,-57.182,-391.97
0.739,89.766,-57.182,-393.919
0.753,89.766,-57.182,-398.34
0.767,89.766,-57.183,-401.809
0.782,89.766,-57.183,-406.353
0.796,89.766,-57.183,-408.476
0.811,89.766,-57.183,-408.157
0.825,89.766,-57.184,-410.219
0.84,89.766,-57.184,-412.167
0.854,89.766,-57.184,-414.242
0.869,89.766,-57.184,-415.633
0.883,89.766,-57.185,-415.633
0.898,89.766,-57.185,-415.633
0.912,89.766,-57.185,-419.979
0.927,89.766,-57.185,-418.003
0.941,89.766,-57.186,-417.205
0.956,89.766,-57.186,-422.178
0.97,89.766,-57.186,-420.76
0.985,89.766,-57.186,-418.936
0.999,89.766,-57.187,-416.663
1.014,89.766,-57.187,-416.915
1.028,89.766,-57.187,-416.915
1.043,89.766,-57.187,-417.63
1.057,89.766,-57.188,-418.488
1.072,89.766,-57.188,-418.261
1.086,89.766,-57.188,-418.131
1.101,89.766,-57.188,-413.479
1.115,89.766,-57.189,-416.29
1.129,89.766,-57.189,-415.37
1.144,89.766,-57.189,-412.125
1.158,89.766,-57.189,-412.896
1.173,89.766,-57.19,-413.02
1.187,89.766,-57.19,-413.02
1.202,89.766,-57.19,-413.985
1.216,89.766,-57.19,-417.471
1.231,89.766,-57.19,-419.11
1.245,89.766,-57.191,-419.11
1.26,89.767,-57.191,-422.384
1.274,89.767,-57.191,-419.76
1.289,89.767,-57.191,-424.109
1.303,89.767,-57.192,-424.869
1.318,89.767,-57.192,-424.869
1.332,89.767,-57.192,-425.258
1.347,89.767,-57.192,-425.258
1.361,89.767,-57.193,-425.137
1.376,89.767,-57.193,-424.443
1.39,89.767,-57.193,-423.012
1.405,89.767,-57.193,-421.979
1.419,89.767,-57.194,-420.294
1.434,89.767,-57.194,-418.175
1.448,89.767,-57.194,-415.502
1.463,89.767,-57.194,-413.961
1.477,89.767,-57.195,-414.663
1.492,89.767,-57.195,-418.211
1.506,89.767,-57.195,-419.011
1.52,89.767,-57.195,-418.837
1.535,89.767,-57.196,-417.205
1.549,89.767,-57.196,-415.963
1.564,89.767,-57.196,-413.709
1.578,89.767,-57.196,-410.686
1.593,89.767,-57.197,-403.005
1.607,89.767,-57.197,-402.489
1.622,89.767,-57.197,-399.662
