Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.771,-57.169,-228.956
0.014,89.771,-57.169,-229.944
0.029,89.771,-57.169,-230.88
0.043,89.771,-57.169,-231.71
0.058,89.771,-57.17,-233.731
0.072,89.771,-57.17,-233.762
0.087,89.771,-57.17,-234.698
0.101,89.771,-57.17,-235.673
0.116,89.771,-57.171,-236.559
0.13,89.771,-57.171,-237.67
0.144,89.771,-57.171,-238.689
0.159,89.771,-57.171,-239.657
0.173,89.771,-57.172,-241.425
0.188,89.771,-57.172,-256.177
0.202,89.771,-57.172,-272.551
0.217,89.771,-57.172,-285.413
0.231,89.771,-57.173,-285.413
0.246,89.771,-57.173,-313.087
0.26,89.771,-57.173,-328.206
0.274,89.771,-57.173,-342.729
0.289,89.771,-57.174,-357.04
0.303,89.771,-57.174,-369.857
0.318,89.771,-57.174,-369.857
0.332,89.771,-57.174,-379.663
0.347,89.771,-57.175,-383.295
0.361,89.771,-57.175,-386.226
0.375,89.771,-57.175,-388.324
0.39,89.771,-57.175,-389.617
0.404,89.771,-57.176,-390.584
0.419,89.771,-57.176,-391.061
0.433,89.771,-57.176,-391.089
0.448,89.771,-57.176,-391.187
0.462,89.771,-57.177,-392.144
0.477,89.771,-57.177,-392.144
0.491,89.771,-57.177,-393.396
0.505,89.771,-57.177,-394.115
0.52,89.771,-57.178,-396.166
0.534,89.771,-57.178,-397.909
0.549,89.771,-57.178,-399.207
0.563,89.771,-57.178,-401.212
0.578,89.771,-57.178,-402.541
0.592,89.771,-57.179,-403.372
0.607,89.771,-57.179,-404.127
0.621,89.771,-57.179,-404.127
0.635,89.771,-57.179,-404.563
0.65,89.771,-57.18,-406.205
0.664,89.771,-57.18,-410.464
0.679,89.771,-57.18,-412.541
0.693,89.772,-57.18,-416.053
0.708,89.772,-57.181,-419.485
0.722,89.772,-57.181,-422.3
0.737,89.772,-57.181,-424.119
0.751,89.772,-57.181,-424.653
0.765,89.772,-57.182,-424.971
0.78,89.772,-57.182,-424.971
0.794,89.772,-57.182,-425.73
0.809,89.772,-57.182,-425.987
0.823,89.772,-57.183,-426.33
0.838,89.772,-57.183,-426.939
0.852,89.772,-57.183,-427.596
0.867,89.772,-57.183,-429.893
