Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.778,-57.169,-210.994
0.014,89.779,-57.169,-210.994
0.029,89.779,-57.169,-212.013
0.043,89.779,-57.169,-212.994
0.058,89.779,-57.17,-214.005
0.072,89.779,-57.17,-215.006
0.087,89.779,-57.17,-215.889
0.101,89.779,-57.17,-216.974
0.116,89.779,-57.171,-217.966
0.13,89.779,-57.171,-219.163
0.144,89.779,-57.171,-219.027
0.159,89.779,-57.171,-225.733
0.173,89.779,-57.172,-225.733
0.188,89.779,-57.172,-242.072
0.202,89.779,-57.172,-258.289
0.217,89.779,-57.172,-271.248
0.231,89.779,-57.173,-285.094
0.246,89.779,-57.173,-299.992
0.26,89.779,-57.173,-314.991
0.275,89.779,-57.173,-330.365
0.289,89.779,-57.174,-345.397
0.303,89.779,-57.174,-360.335
0.318,89.779,-57.174,-373.883
0.332,89.779,-57.174,-373.883
0.347,89.779,-57.174,-386.766
0.361,89.779,-57.175,-397.609
0.376,89.779,-57.175,-401.644
0.39,89.779,-57.175,-402.901
0.405,89.779,-57.175,-402.711
0.419,89.779,-57.176,-401.871
0.433,89.779,-57.176,-399.971
0.448,89.779,-57.176,-398.718
0.462,89.779,-57.176,-397.825
0.477,89.779,-57.177,-398.11
0.491,89.779,-57.177,-398.11
0.506,89.779,-57.177,-399.082
0.52,89.779,-57.177,-400.267
0.535,89.779,-57.178,-401.442
0.549,89.779,-57.178,-402.52
0.563,89.779,-57.178,-403.135
0.578,89.779,-57.178,-402.903
0.592,89.779,-57.179,-402.857
0.607,89.779,-57.179,-404.481
0.621,89.779,-57.179,-406.122
0.636,89.779,-57.179,-406.122
0.65,89.78,-57.18,-408.653
0.665,89.78,-57.18,-412.057
0.679,89.78,-57.18,-413.852
0.694,89.78,-57.18,-414.392
0.708,89.78,-57.181,-414.358
0.722,89.78,-57.181,-413.543
0.737,89.78,-57.181,-415.391
0.751,89.78,-57.181,-416.231
0.766,89.78,-57.182,-417.74
0.78,89.78,-57.182,-416.203
0.795,89.78,-57.182,-416.203
0.809,89.78,-57.182,-415.684
0.824,89.78,-57.183,-416.336
0.838,89.78,-57.183,-418.525
0.852,89.78,-57.183,-421.494
0.867,89.78,-57.183,-424.906
0.881,89.78,-57.184,-428.544
0.896,89.78,-57.184,-432.198
0.91,89.78,-57.184,-434.863
0.925,89.78,-57.184,-437.107
0.939,89.78,-57.184,-440.101
0.954,89.78,-57.185,-440.101
0.968,89.78,-57.185,-442.069
0.982,89.78,-57.185,-441.686
0.997,89.78,-57.185,-442.711
1.011,89.78,-57.186,-442.635
1.026,89.78,-57.186,-442.635
1.04,89.78,-57.186,-444.938
1.055,89.78,-57.186,-446.416
1.069,89.78,-57.187,-446.444
1.084,89.78,-57.187,-446.182
1.098,89.78,-57.187,-446.182
1.113,89.78,-57.187,-445.953
1.127,89.78,-57.188,-444.361
1.141,89.78,-57.188,-446.252
1.156,89.78,-57.188,-444.948
1.17,89.78,-57.188,-445.633
1.185,89.78,-57.189,-445.31
1.199,89.78,-57.189,-445.281
1.214,89.78,-57.189,-444.984
1.228,89.78,-57.189,-444.466
1.243,89.78,-57.19,-444.411
1.257,89.78,-57.19,-444.411
1.271,89.78,-57.19,-446.756
1.286,89.78,-57.19,-449.611
1.3,89.781,-57.191,-450.922
1.315,89.781,-57.191,-448.808
1.329,89.781,-57.191,-449.232
1.344,89.781,-57.191,-447.685
1.358,89.781,-57.192,-445.543
1.373,89.781,-57.192,-442.979
1.387,89.781,-57.192,-440.248
1.401,89.781,-57.192,-440.486
1.416,89.781,-57.193,-440.486
1.43,89.781,-57.193,-438.572
1.445,89.781,-57.193,-436.757
1.459,89.781,-57.193,-432.19
1.474,89.781,-57.194,-434.318
1.488,89.781,-57.194,-433.466
1.503,89.781,-57.194,-424.921
1.517,89.781,-57.194,-425.34
1.532,89.781,-57.195,-428.263
1.546,89.781,-57.195,-430.43
1.56,89.781,-57.195,-430.43
1.575,89.781,-57.195,-430.942
1.589,89.781,-57.195,-435.217
1.604,89.781,-57.196,-429.752
1.618,89.781,-57.196,-428.466
1.633,89.781,-57.196,-426.443
1.647,89.781,-57.196,-424.019
1.662,89.781,-57.197,-424.817
1.676,89.781,-57.197,-418.7
1.69,89.781,-57.197,-414.988
1.705,89.781,-57.197,-411.595
1.719,89.781,-57.198,-411.595
1.734,89.781,-57.198,-409.219
1.748,89.781,-57.198,-408.028
1.763,89.781,-57.198,-407.163
1.777,89.781,-57.199,-403.421
1.792,89.781,-57.199,-401.221
1.806,89.781,-57.199,-397.67
1.82,89.781,-57.199,-393.351
1.835,89.781,-57.2,-388.987
1.849,89.781,-57.2,-384.75
