Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.787,-57.168,-188.993
0.014,89.787,-57.169,-189.956
0.029,89.787,-57.169,-189.956
0.043,89.787,-57.169,-192.211
0.058,89.787,-57.169,-191.86
0.072,89.787,-57.17,-192.984
0.087,89.787,-57.17,-193.918
0.101,89.787,-57.17,-194.886
0.116,89.787,-57.17,-195.914
0.13,89.787,-57.171,-197.387
0.145,89.787,-57.171,-208.007
0.159,89.788,-57.171,-224.716
0.174,89.788,-57.171,-239.418
0.188,89.788,-57.172,-239.418
0.203,89.788,-57.172,-252.496
0.217,89.788,-57.172,-266.357
0.232,89.788,-57.172,-279.885
0.246,89.788,-57.173,-296.852
0.261,89.788,-57.173,-311.233
0.275,89.788,-57.173,-311.233
0.29,89.788,-57.173,-339.025
0.304,89.788,-57.174,-352.02
0.319,89.788,-57.174,-364.688
0.333,89.788,-57.174,-376.718
0.347,89.788,-57.174,-376.718
0.362,89.788,-57.175,-385.376
0.376,89.788,-57.175,-389.73
0.391,89.788,-57.175,-389.882
0.405,89.788,-57.175,-390.753
0.42,89.788,-57.175,-390.247
0.434,89.788,-57.176,-392.435
0.449,89.788,-57.176,-390.012
0.463,89.788,-57.176,-390.078
0.478,89.788,-57.176,-388.64
0.492,89.788,-57.177,-387.684
0.507,89.788,-57.177,-387.684
0.521,89.788,-57.177,-385.404
0.536,89.788,-57.177,-383.342
0.55,89.788,-57.178,-382.42
0.565,89.788,-57.178,-381.36
0.579,89.788,-57.178,-381.058
0.594,89.788,-57.178,-379.903
0.608,89.788,-57.179,-380.265
0.623,89.788,-57.179,-380.775
0.637,89.788,-57.179,-380.851
0.652,89.788,-57.179,-380.851
0.666,89.788,-57.18,-383.621
0.68,89.788,-57.18,-383.248
0.695,89.788,-57.18,-383.734
0.709,89.788,-57.18,-385.845
0.724,89.788,-57.181,-387.173
0.738,89.788,-57.181,-387.854
0.753,89.788,-57.181,-389.187
0.767,89.788,-57.181,-389.991
0.782,89.788,-57.182,-389.968
0.796,89.788,-57.182,-390.754
0.811,89.788,-57.182,-390.754
0.825,89.788,-57.182,-392.621
0.84,89.789,-57.183,-395.103
0.854,89.789,-57.183,-397.338
0.869,89.789,-57.183,-399.732
0.883,89.789,-57.183,-399.732
0.898,89.789,-57.184,-405.202
0.912,89.789,-57.184,-408.202
0.927,89.789,-57.184,-408.202
0.941,89.789,-57.184,-413.955
0.956,89.789,-57.185,-417.31
0.97,89.789,-57.185,-415.814
0.985,89.789,-57.185,-418.704
0.999,89.789,-57.185,-417.609
1.013,89.789,-57.186,-417.199
1.028,89.789,-57.186,-417.437
1.042,89.789,-57.186,-414.328
1.057,89.789,-57.186,-413.639
1.071,89.789,-57.187,-414.117
1.086,89.789,-57.187,-412.653
1.1,89.789,-57.187,-412.342
1.115,89.789,-57.187,-412.342
1.129,89.789,-57.187,-412.947
1.144,89.789,-57.188,-407.699
1.158,89.789,-57.188,-412.757
1.173,89.789,-57.188,-412.067
1.187,89.789,-57.188,-405.927
1.202,89.789,-57.189,-405.352
1.216,89.789,-57.189,-405.761
1.231,89.789,-57.189,-406.068
1.245,89.789,-57.189,-410.609
1.26,89.789,-57.19,-403.961
1.274,89.789,-57.19,-403.961
1.289,89.789,-57.19,-401.913
1.303,89.789,-57.19,-407.558
1.318,89.789,-57.191,-401.439
1.332,89.789,-57.191,-399.595
1.346,89.789,-57.191,-400.181
1.361,89.789,-57.191,-400.673
1.375,89.789,-57.192,-401.683
1.39,89.789,-57.192,-401.683
1.404,89.789,-57.192,-401.733
1.419,89.789,-57.192,-400.92
1.433,89.789,-57.193,-390.808
1.448,89.789,-57.193,-389.287
1.462,89.789,-57.193,-387.602
1.477,89.789,-57.193,-385.736
1.491,89.789,-57.194,-383.984
1.506,89.789,-57.194,-383.981
1.52,89.79,-57.194,-383.161
1.535,89.79,-57.194,-381.604
1.549,89.79,-57.195,-388.022
1.564,89.79,-57.195,-381.942
1.578,89.79,-57.195,-381.942
1.593,89.79,-57.195,-383.489
1.607,89.79,-57.196,-380.109
1.622,89.79,-57.196,-376.303
1.636,89.79,-57.196,-374.292
1.651,89.79,-57.196,-372.908
1.665,89.79,-57.197,-370.544
1.679,89.79,-57.197,-367.061
1.694,89.79,-57.197,-363.157
1.708,89.79,-57.197,-352.159
1.723,89.79,-57.198,-350.214
1.737,89.79,-57.198,-350.214
1.752,89.79,-57.198,-348.054
1.766,89.79,-57.198,-348.054
1.781,89.79,-57.198,-345.125
1.795,89.79,-57.199,-341.63
1.81,89.79,-57.199,-339.459
1.824,89.79,-57.199,-338.381
1.839,89.79,-57.199,-340.813
1.853,89.79,-57.2,-339.897
1.868,89.79,-57.2,-339.059
1.882,89.79,-57.2,-335.987
1.897,89.79,-57.2,-335.987
1.911,89.79,-57.201,-331.919
1.926,89.79,-57.201,-328.052
1.94,89.79,-57.201,-324.42
1.955,89.79,-57.201,-325.459
1.969,89.79,-57.202,-317.369
1.984,89.79,-57.202,-318.383
1.998,89.79,-57.202,-302.495
2.013,89.79,-57.202,-298.802
2.027,89.79,-57.203,-295.771
2.041,89.79,-57.203,-293.987
2.056,89.79,-57.203,-293.987
2.07,89.79,-57.203,-291.115
2.085,89.79,-57.204,-291.816
2.099,89.79,-57.204,-289.624
2.114,89.79,-57.204,-288.332
2.128,89.79,-57.204,-287.863
2.143,89.79,-57.205,-287.451
2.157,89.79,-57.205,-288.662
2.172,89.79,-57.205,-290.388
2.186,89.791,-57.205,-289.876
2.201,89.791,-57.206,-289.876
2.215,89.791,-57.206,-290.023
2.23,89.791,-57.206,-290.322
2.244,89.791,-57.206,-293.044
2.259,89.791,-57.207,-292.918
2.273,89.791,-57.207,-294.148
2.288,89.791,-57.207,-296.302
2.302,89.791,-57.207,-297.876
2.317,89.791,-57.208,-298.491
2.331,89.791,-57.208,-299.365
2.346,89.791,-57.208,-300.061
2.36,89.791,-57.208,-299.405
2.374,89.791,-57.209,-300.545
2.389,89.791,-57.209,-301.839
2.403,89.791,-57.209,-303.571
2.418,89.791,-57.209,-304.054
2.432,89.791,-57.21,-305.957
2.447,89.791,-57.21,-306.618
2.461,89.791,-57.21,-307.268
2.476,89.791,-57.21,-309.321
2.49,89.791,-57.21,-310.05
2.505,89.791,-57.211,-311.86
2.519,89.791,-57.211,-312.756
2.534,89.791,-57.211,-314.771
2.548,89.791,-57.211,-317.812
2.563,89.791,-57.212,-318.547
2.577,89.791,-57.212,-322.267
2.592,89.791,-57.212,-322.267
2.606,89.791,-57.212,-326.504
2.621,89.791,-57.213,-328.383
2.635,89.791,-57.213,-330.24
2.65,89.791,-57.213,-331.712
2.664,89.791,-57.213,-331.712
2.679,89.791,-57.214,-332.941
2.693,89.791,-57.214,-333.87
2.707,89.791,-57.214,-334.184
2.722,89.791,-57.214,-333.653
2.736,89.791,-57.215,-333.178
2.751,89.791,-57.215,-332.61
2.765,89.791,-57.215,-332.023
2.78,89.791,-57.215,-331.764
2.794,89.791,-57.216,-332.018
2.809,89.791,-57.216,-332.808
2.823,89.791,-57.216,-332.808
2.838,89.791,-57.216,-332.689
2.852,89.791,-57.217,-329.287
2.867,89.792,-57.217,-327.05
2.881,89.792,-57.217,-324.981
2.896,89.792,-57.217,-322.947
2.91,89.792,-57.218,-322.304
2.925,89.792,-57.218,-321.85
2.939,89.792,-57.218,-320.973
2.954,89.792,-57.218,-320.474
2.968,89.792,-57.219,-319.915
2.983,89.792,-57.219,-319.915
2.997,89.792,-57.219,-319.259
3.012,89.792,-57.219,-318.243
3.026,89.792,-57.22,-317.333
3.04,89.792,-57.22,-316.689
3.055,89.792,-57.22,-315.671
3.069,89.792,-57.22,-314.681
3.084,89.792,-57.221,-314.162
3.098,89.792,-57.221,-314.417
3.113,89.792,-57.221,-314.867
3.127,89.792,-57.221,-314.867
3.142,89.792,-57.221,-315.077
3.156,89.792,-57.222,-314.986
3.171,89.792,-57.222,-315.127
3.185,89.792,-57.222,-315.607
3.2,89.792,-57.222,-316.94
3.214,89.792,-57.223,-318.382
3.229,89.792,-57.223,-319.035
3.243,89.792,-57.223,-319.705
3.258,89.792,-57.223,-320.378
0,89.787,-57.168,-190.274
0.014,89.787,-57.169,-191.225
0.029,89.787,-57.169,-193.61
0.043,89.787,-57.169,-192.211
0.058,89.787,-57.169,-193.098
0.072,89.787,-57.17,-196.332
0.087,89.787,-57.17,-195.226
0.101,89.787,-57.17,-196.054
0.116,89.787,-57.17,-197.234
0.13,89.787,-57.171,-199.422
0.144,89.787,-57.171,-208.007
0.159,89.787,-57.171,-224.716
0.173,89.787,-57.171,-239.418
0.188,89.787,-57.172,-239.418
0.202,89.787,-57.172,-252.496
0.217,89.787,-57.172,-266.357
0.231,89.787,-57.172,-279.885
0.246,89.787,-57.173,-296.852
0.26,89.787,-57.173,-311.233
0.275,89.787,-57.173,-311.233
0.289,89.788,-57.173,-339.158
0.303,89.788,-57.174,-351.795
0.318,89.788,-57.174,-364.688
0.332,89.788,-57.174,-364.688
0.347,89.788,-57.174,-376.193
0.361,89.788,-57.174,-386.307
0.376,89.788,-57.175,-389.73
0.39,89.788,-57.175,-391.467
0.405,89.788,-57.175,-390.753
0.419,89.788,-57.175,-390.247
0.433,89.788,-57.176,-392.435
0.448,89.788,-57.176,-390.012
0.462,89.788,-57.176,-390.078
0.477,89.788,-57.176,-388.64
0.491,89.788,-57.177,-387.684
0.506,89.788,-57.177,-387.684
0.52,89.788,-57.177,-385.404
0.535,89.788,-57.177,-383.342
0.549,89.788,-57.178,-382.42
0.564,89.788,-57.178,-381.36
0.578,89.788,-57.178,-381.058
0.592,89.788,-57.178,-379.903
0.607,89.788,-57.179,-381.7
0.621,89.788,-57.179,-382.309
0.636,89.788,-57.179,-382.039
0.65,89.788,-57.179,-382.039
0.665,89.788,-57.18,-383.621
0.679,89.788,-57.18,-383.248
0.694,89.788,-57.18,-383.734
0.708,89.788,-57.18,-385.845
0.722,89.788,-57.181,-387.173
0.737,89.788,-57.181,-387.854
0.751,89.788,-57.181,-389.187
0.766,89.788,-57.181,-389.991
0.78,89.788,-57.182,-389.968
0.795,89.788,-57.182,-390.754
0.809,89.788,-57.182,-390.754
0.824,89.788,-57.182,-392.621
0.838,89.788,-57.183,-395.103
0.853,89.788,-57.183,-398.124
0.867,89.788,-57.183,-401.065
0.881,89.788,-57.183,-401.065
0.896,89.788,-57.184,-407.096
0.91,89.789,-57.184,-409.628
0.925,89.789,-57.184,-408.202
0.939,89.789,-57.184,-413.955
0.954,89.789,-57.185,-417.31
0.968,89.789,-57.185,-415.814
0.983,89.789,-57.185,-418.704
0.997,89.789,-57.185,-417.609
1.011,89.789,-57.185,-417.199
1.026,89.789,-57.186,-417.437
1.04,89.789,-57.186,-414.328
1.055,89.789,-57.186,-413.639
1.069,89.789,-57.186,-414.117
1.084,89.789,-57.187,-412.653
1.098,89.789,-57.187,-412.342
1.113,89.789,-57.187,-412.342
1.127,89.789,-57.187,-412.947
1.142,89.789,-57.188,-412.894
1.156,89.789,-57.188,-412.757
1.17,89.789,-57.188,-412.067
1.185,89.789,-57.188,-405.927
1.199,89.789,-57.189,-405.352
1.214,89.789,-57.189,-405.761
1.228,89.789,-57.189,-406.068
1.243,89.789,-57.189,-410.609
1.257,89.789,-57.19,-403.961
1.272,89.789,-57.19,-403.961
1.286,89.789,-57.19,-401.913
1.3,89.789,-57.19,-407.558
1.315,89.789,-57.191,-401.439
1.329,89.789,-57.191,-399.595
1.344,89.789,-57.191,-400.181
1.358,89.789,-57.191,-400.673
1.373,89.789,-57.192,-401.683
1.387,89.789,-57.192,-401.683
1.402,89.789,-57.192,-401.733
1.416,89.789,-57.192,-400.92
1.431,89.789,-57.193,-400.92
1.445,89.789,-57.193,-389.287
1.459,89.789,-57.193,-387.602
1.474,89.789,-57.193,-385.736
1.488,89.789,-57.194,-383.984
1.503,89.789,-57.194,-383.981
1.517,89.79,-57.194,-383.161
1.532,89.79,-57.194,-381.604
1.546,89.79,-57.195,-388.022
1.561,89.79,-57.195,-381.942
1.575,89.79,-57.195,-381.942
1.589,89.79,-57.195,-383.489
1.604,89.79,-57.195,-380.109
1.618,89.79,-57.196,-376.303
1.633,89.79,-57.196,-374.292
1.647,89.79,-57.196,-372.908
1.662,89.79,-57.196,-370.544
1.676,89.79,-57.197,-367.061
1.691,89.79,-57.197,-363.157
1.705,89.79,-57.197,-352.159
1.72,89.79,-57.197,-350.214
1.734,89.79,-57.198,-350.214
1.748,89.79,-57.198,-348.054
1.763,89.79,-57.198,-348.054
1.777,89.79,-57.198,-345.125
1.792,89.79,-57.199,-341.63
1.806,89.79,-57.199,-339.459
1.821,89.79,-57.199,-338.381
1.835,89.79,-57.199,-340.813
1.85,89.79,-57.2,-339.897
1.864,89.79,-57.2,-339.059
1.878,89.79,-57.2,-335.987
1.893,89.79,-57.2,-335.987
1.907,89.79,-57.201,-331.919
1.922,89.79,-57.201,-328.052
1.936,89.79,-57.201,-324.42
1.951,89.79,-57.201,-325.459
1.965,89.79,-57.202,-310.909
1.98,89.79,-57.202,-306.841
1.994,89.79,-57.202,-302.495
2.009,89.79,-57.202,-298.802
2.023,89.79,-57.203,-295.771
2.037,89.79,-57.203,-293.987
2.052,89.79,-57.203,-293.987
2.066,89.79,-57.203,-291.115
2.081,89.79,-57.204,-291.816
2.095,89.79,-57.204,-289.624
2.11,89.79,-57.204,-288.332
2.124,89.79,-57.204,-287.863
2.139,89.791,-57.205,-287.451
2.153,89.791,-57.205,-288.662
