Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.796,-57.168,-159.375
0.014,89.797,-57.168,-160.683
0.029,89.797,-57.169,-161.462
0.043,89.797,-57.169,-161.462
0.058,89.797,-57.169,-162.672
0.072,89.797,-57.169,-163.903
0.087,89.797,-57.17,-165.272
0.101,89.797,-57.17,-166.51
0.116,89.797,-57.17,-168.516
0.13,89.797,-57.17,-183.312
0.145,89.797,-57.171,-200.078
0.159,89.797,-57.171,-212.376
0.174,89.797,-57.171,-226.14
0.188,89.797,-57.171,-239.701
0.203,89.797,-57.172,-239.701
0.217,89.797,-57.172,-253.931
0.232,89.797,-57.172,-267.295
0.246,89.797,-57.172,-279.663
0.261,89.797,-57.173,-292.537
0.275,89.797,-57.173,-304.797
0.29,89.797,-57.173,-316.474
0.304,89.797,-57.173,-327.536
0.318,89.797,-57.174,-338.948
0.333,89.797,-57.174,-347.566
0.347,89.797,-57.174,-352.547
0.362,89.797,-57.174,-352.547
0.376,89.797,-57.175,-355.465
0.391,89.797,-57.175,-357.865
0.405,89.797,-57.175,-359.602
0.42,89.797,-57.175,-359.801
0.434,89.797,-57.176,-359.577
0.449,89.797,-57.176,-361.724
0.463,89.797,-57.176,-362.592
0.478,89.797,-57.176,-360.447
0.492,89.797,-57.176,-358.053
0.507,89.797,-57.177,-356.091
0.521,89.797,-57.177,-356.091
0.536,89.797,-57.177,-354.53
0.55,89.797,-57.177,-352.463
0.565,89.797,-57.178,-350.876
0.579,89.797,-57.178,-350.121
0.594,89.797,-57.178,-350.076
0.608,89.797,-57.178,-349.674
0.622,89.797,-57.179,-347.276
0.637,89.797,-57.179,-349.062
0.651,89.797,-57.179,-351.288
0.666,89.797,-57.179,-351.288
0.68,89.797,-57.18,-351.35
0.695,89.797,-57.18,-351.18
0.709,89.797,-57.18,-351.949
0.724,89.797,-57.18,-352.923
0.738,89.797,-57.181,-352.674
0.753,89.798,-57.181,-353.162
0.767,89.798,-57.181,-354.662
0.782,89.798,-57.181,-352.038
0.796,89.798,-57.182,-355.756
0.811,89.798,-57.182,-355.893
0.825,89.798,-57.182,-355.893
0.84,89.798,-57.182,-356.745
0.854,89.798,-57.183,-354.764
0.869,89.798,-57.183,-356.46
0.883,89.798,-57.183,-361.334
0.897,89.798,-57.183,-364.918
0.912,89.798,-57.184,-366.826
0.926,89.798,-57.184,-367.639
0.941,89.798,-57.184,-367.776
0.955,89.798,-57.184,-363.219
0.97,89.798,-57.185,-366.883
0.984,89.798,-57.185,-366.883
0.999,89.798,-57.185,-361.692
1.013,89.798,-57.185,-362.542
1.028,89.798,-57.186,-357.253
1.042,89.798,-57.186,-354.808
1.057,89.798,-57.186,-351.146
1.071,89.798,-57.186,-351.19
1.086,89.798,-57.187,-350.512
1.1,89.798,-57.187,-345.434
1.115,89.798,-57.187,-344.369
1.129,89.798,-57.187,-344.369
1.144,89.798,-57.187,-347.764
1.158,89.798,-57.188,-346.911
1.173,89.798,-57.188,-347.228
1.187,89.798,-57.188,-342.27
1.201,89.798,-57.188,-347.038
1.216,89.798,-57.189,-342.371
1.23,89.798,-57.189,-348.278
1.245,89.798,-57.189,-348.553
1.259,89.798,-57.189,-348.241
1.274,89.798,-57.19,-347.738
1.288,89.798,-57.19,-342.79
1.303,89.798,-57.19,-347.603
1.317,89.798,-57.19,-347.603
1.332,89.798,-57.191,-347.555
1.346,89.798,-57.191,-344.831
1.361,89.798,-57.191,-338.292
1.375,89.798,-57.191,-339.702
1.39,89.798,-57.192,-337.782
1.404,89.798,-57.192,-326.75
1.419,89.798,-57.192,-326.155
1.433,89.798,-57.192,-326.155
1.448,89.798,-57.193,-325.061
1.462,89.798,-57.193,-325.726
1.477,89.798,-57.193,-326.536
1.491,89.799,-57.193,-324.639
