Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (4) (mean)
0,96.298,-56.872,1664.424
0.015,96.298,-56.872,1664.781
0.029,96.298,-56.873,1660.664
0.044,96.298,-56.873,1659.992
0.058,96.298,-56.873,1658.974
0.073,96.298,-56.873,1660.207
0.087,96.298,-56.874,1657.787
0.102,96.298,-56.874,1648.835
0.116,96.298,-56.874,1633.889
0.131,96.298,-56.874,1624.651
0.145,96.298,-56.875,1624.651
0.16,96.298,-56.875,1616.741
0.174,96.298,-56.875,1603.099
0.189,96.298,-56.875,1589.59
0.204,96.299,-56.876,1574.472
0.218,96.299,-56.876,1560.587
0.233,96.299,-56.876,1547.58
0.247,96.299,-56.876,1541.071
0.262,96.299,-56.877,1543.272
0.276,96.299,-56.877,1546.717
0.291,96.299,-56.877,1550.548
0.305,96.299,-56.877,1550.548
0.32,96.299,-56.878,1554.046
0.334,96.299,-56.878,1557.249
0.349,96.299,-56.878,1557.516
0.363,96.299,-56.878,1560.185
0.378,96.299,-56.879,1559.293
0.393,96.299,-56.879,1561.297
0.407,96.299,-56.879,1559.327
0.422,96.299,-56.879,1556.48
0.436,96.299,-56.88,1554.488
0.451,96.299,-56.88,1554.488
0.465,96.299,-56.88,1557.571
0.48,96.299,-56.88,1564.142
0.494,96.299,-56.88,1566.498
0.509,96.299,-56.881,1566.783
0.523,96.3,-56.881,1561.672
0.538,96.3,-56.881,1560.814
0.552,96.3,-56.881,1558.443
0.567,96.3,-56.882,1564.376
0.582,96.3,-56.882,1566.058
0.596,96.3,-56.882,1566.943
0.611,96.3,-56.882,1562.709
0.625,96.3,-56.883,1562.709
0.64,96.3,-56.883,1565.344
0.654,96.3,-56.883,1564.229
0.669,96.3,-56.883,1558.182
0.683,96.3,-56.884,1552.645
0.698,96.3,-56.884,1550.085
0.712,96.3,-56.884,1548.09
0.727,96.3,-56.884,1545.783
0.741,96.3,-56.885,1543.646
0.756,96.3,-56.885,1540.479
0.771,96.3,-56.885,1540.479
0.785,96.3,-56.885,1538.347
0.8,96.3,-56.886,1536.399
0.814,96.3,-56.886,1535.261
0.829,96.3,-56.886,1534.597
0.843,96.3,-56.886,1536.59
0.858,96.301,-56.887,1539.259
0.872,96.301,-56.887,1543.382
0.887,96.301,-56.887,1546.87
0.901,96.301,-56.887,1552.25
0.916,96.301,-56.888,1556.27
0.93,96.301,-56.888,1556.27
0.945,96.301,-56.888,1560.66
0.96,96.301,-56.888,1565.3
0.974,96.301,-56.889,1568.471
0.989,96.301,-56.889,1570.68
1.003,96.301,-56.889,1574.045
1.018,96.301,-56.889,1577.717
1.032,96.301,-56.89,1577.213
1.047,96.301,-56.89,1579.646
1.061,96.301,-56.89,1580.368
1.076,96.301,-56.89,1581.658
1.09,96.301,-56.891,1581.658
1.105,96.301,-56.891,1585.781
1.119,96.301,-56.891,1584.129
1.134,96.301,-56.891,1586.408
1.149,96.301,-56.892,1583.798
1.163,96.301,-56.892,1579.94
1.178,96.302,-56.892,1575.52
1.192,96.302,-56.892,1571.433
1.207,96.302,-56.892,1566.088
1.221,96.302,-56.893,1562.715
1.236,96.302,-56.893,1559.936
1.25,96.302,-56.893,1559.936
1.265,96.302,-56.893,1559.936
1.279,96.302,-56.894,1555.933
1.294,96.302,-56.894,1555.112
1.308,96.302,-56.894,1555.935
1.323,96.302,-56.894,1557.816
1.338,96.302,-56.895,1560.907
1.352,96.302,-56.895,1560.907
1.367,96.302,-56.895,1569.899
1.381,96.302,-56.895,1576.041
1.396,96.302,-56.896,1581.129
1.41,96.302,-56.896,1582.255
1.425,96.302,-56.896,1588.696
1.439,96.302,-56.896,1593.349
1.454,96.302,-56.897,1599.739
1.468,96.302,-56.897,1604.619
1.483,96.302,-56.897,1608.378
1.497,96.302,-56.897,1616.775
1.512,96.303,-56.898,1617.998
1.527,96.303,-56.898,1615.909
1.541,96.303,-56.898,1615.173
1.556,96.303,-56.898,1614.033
1.57,96.303,-56.899,1614.033
1.585,96.303,-56.899,1613.112
1.599,96.303,-56.899,1614.654
1.614,96.303,-56.899,1613.417
1.628,96.303,-56.9,1612.451
1.643,96.303,-56.9,1611.264
0,96.298,-56.872,1662.676
0.014,96.298,-56.872,1664.424
0.029,96.298,-56.873,1664.781
0.043,96.298,-56.873,1660.664
0.058,96.298,-56.873,1659.992
0.072,96.298,-56.873,1658.974
0.087,96.298,-56.874,1660.207
0.101,96.298,-56.874,1660.942
0.116,96.298,-56.874,1648.835
0.13,96.298,-56.874,1633.889
0.145,96.298,-56.874,1624.651
0.159,96.298,-56.875,1624.651
0.174,96.298,-56.875,1616.741
0.188,96.298,-56.875,1603.099
0.203,96.299,-56.875,1589.59
0.217,96.299,-56.876,1574.472
0.232,96.299,-56.876,1560.587
0.246,96.299,-56.876,1547.58
0.261,96.299,-56.876,1541.071
0.275,96.299,-56.877,1543.272
0.29,96.299,-56.877,1546.717
0.304,96.299,-56.877,1550.548
0.319,96.299,-56.877,1550.548
0.333,96.299,-56.878,1554.046
0.348,96.299,-56.878,1557.249
0.362,96.299,-56.878,1557.516
0.377,96.299,-56.878,1560.185
0.391,96.299,-56.879,1559.293
0.406,96.299,-56.879,1561.297
0.42,96.299,-56.879,1559.327
0.435,96.299,-56.879,1556.48
0.449,96.299,-56.88,1554.488
0.464,96.299,-56.88,1554.488
0.478,96.299,-56.88,1557.571
0.493,96.299,-56.88,1564.142
0.507,96.299,-56.881,1566.498
0.522,96.299,-56.881,1566.783
0.536,96.299,-56.881,1561.672
0.551,96.3,-56.881,1560.814
0.565,96.3,-56.882,1558.443
0.58,96.3,-56.882,1564.376
0.594,96.3,-56.882,1566.058
0.609,96.3,-56.882,1566.943
0.623,96.3,-56.883,1562.709
0.638,96.3,-56.883,1562.709
0.652,96.3,-56.883,1565.344
0.667,96.3,-56.883,1562.344
0.681,96.3,-56.884,1558.182
0.696,96.3,-56.884,1552.645
0.71,96.3,-56.884,1550.085
0.725,96.3,-56.884,1548.09
0.739,96.3,-56.884,1545.783
0.754,96.3,-56.885,1543.646
0.768,96.3,-56.885,1541.439
0.783,96.3,-56.885,1540.479
0.797,96.3,-56.885,1538.347
0.812,96.3,-56.886,1536.399
0.826,96.3,-56.886,1535.261
0.841,96.3,-56.886,1534.597
0.855,96.3,-56.886,1534.59
0.87,96.3,-56.887,1539.259
0.884,96.3,-56.887,1543.382
0.899,96.301,-56.887,1546.87
0.913,96.301,-56.887,1552.25
0.928,96.301,-56.888,1556.27
0.942,96.301,-56.888,1556.27
0.957,96.301,-56.888,1559.504
0.971,96.301,-56.888,1565.3
0.986,96.301,-56.889,1568.471
1,96.301,-56.889,1570.68
1.015,96.301,-56.889,1574.045
1.029,96.301,-56.889,1577.717
1.044,96.301,-56.89,1579.664
1.058,96.301,-56.89,1581.606
1.073,96.301,-56.89,1580.368
1.087,96.301,-56.89,1581.658
1.102,96.301,-56.891,1581.658
1.116,96.301,-56.891,1585.781
1.131,96.301,-56.891,1584.129
1.145,96.301,-56.891,1585.164
1.16,96.301,-56.892,1583.798
1.174,96.301,-56.892,1579.94
1.189,96.301,-56.892,1575.52
1.203,96.301,-56.892,1571.433
1.218,96.301,-56.893,1566.088
1.232,96.301,-56.893,1562.534
1.247,96.302,-56.893,1562.534
1.261,96.302,-56.893,1559.936
1.276,96.302,-56.894,1559.936
1.29,96.302,-56.894,1555.933
1.305,96.302,-56.894,1555.112
1.319,96.302,-56.894,1555.935
1.334,96.302,-56.895,1557.816
1.348,96.302,-56.895,1561.177
1.363,96.302,-56.895,1560.907
1.377,96.302,-56.895,1569.899
1.392,96.302,-56.895,1576.041
1.406,96.302,-56.896,1581.129
1.421,96.302,-56.896,1582.255
1.435,96.302,-56.896,1587.38
1.45,96.302,-56.896,1593.349
1.464,96.302,-56.897,1599.739
1.479,96.302,-56.897,1604.619
1.493,96.302,-56.897,1608.378
1.508,96.302,-56.897,1612.246
1.522,96.302,-56.898,1615.414
1.537,96.302,-56.898,1610.129
1.551,96.302,-56.898,1615.173
1.566,96.302,-56.898,1614.033
1.58,96.303,-56.899,1614.033
1.595,96.303,-56.899,1613.112
1.609,96.303,-56.899,1611.793
1.624,96.303,-56.899,1610.735
1.638,96.303,-56.9,1609.666
1.653,96.303,-56.9,1611.264
0,96.298,-56.872,1662.676
0.014,96.298,-56.872,1662.676
0.029,96.298,-56.872,1663.581
0.043,96.298,-56.873,1660.664
0.058,96.298,-56.873,1659.992
0.072,96.298,-56.873,1658.974
0.087,96.298,-56.873,1660.207
0.101,96.298,-56.874,1657.787
0.115,96.298,-56.874,1647.521
0.13,96.298,-56.874,1632.875
0.144,96.298,-56.874,1624.651
0.159,96.298,-56.875,1624.651
0.173,96.298,-56.875,1616.741
0.188,96.298,-56.875,1603.099
0.202,96.298,-56.875,1588.838
0.217,96.298,-56.876,1574.011
0.231,96.298,-56.876,1560.231
0.245,96.298,-56.876,1547.58
0.26,96.298,-56.876,1541.071
0.274,96.299,-56.877,1543.272
0.289,96.299,-56.877,1546.717
0.303,96.299,-56.877,1546.717
0.318,96.299,-56.877,1550.548
0.332,96.299,-56.878,1556.586
0.346,96.299,-56.878,1557.249
0.361,96.299,-56.878,1557.516
0.375,96.299,-56.878,1560.185
0.39,96.299,-56.879,1559.293
0.404,96.299,-56.879,1561.297
0.419,96.299,-56.879,1559.327
0.433,96.299,-56.879,1556.48
0.448,96.299,-56.88,1554.488
0.462,96.299,-56.88,1554.488
0.476,96.299,-56.88,1557.571
0.491,96.299,-56.88,1560.863
0.505,96.299,-56.88,1563.51
0.52,96.299,-56.881,1563.597
0.534,96.299,-56.881,1561.672
0.549,96.299,-56.881,1560.814
0.563,96.299,-56.881,1558.443
0.577,96.299,-56.882,1558.443
0.592,96.299,-56.882,1560.556
0.606,96.299,-56.882,1556.096
0.621,96.3,-56.882,1557.315
0.635,96.3,-56.883,1562.709
0.65,96.3,-56.883,1565.344
0.664,96.3,-56.883,1562.344
0.679,96.3,-56.883,1557.189
0.693,96.3,-56.884,1554.415
0.707,96.3,-56.884,1552.91
0.722,96.3,-56.884,1548.09
0.736,96.3,-56.884,1545.783
0.751,96.3,-56.885,1543.646
0.765,96.3,-56.885,1541.439
0.78,96.3,-56.885,1541.351
0.794,96.3,-56.885,1538.331
0.808,96.3,-56.886,1536.153
0.823,96.3,-56.886,1535.261
0.837,96.3,-56.886,1534.597
0.852,96.3,-56.886,1534.59
0.866,96.3,-56.887,1536.471
0.881,96.3,-56.887,1542.088
0.895,96.3,-56.887,1544.548
0.91,96.3,-56.887,1552.25
0.924,96.3,-56.888,1556.27
0.938,96.3,-56.888,1556.27
0.953,96.301,-56.888,1559.504
0.967,96.301,-56.888,1562.381
0.982,96.301,-56.889,1564.945
0.996,96.301,-56.889,1567.446
1.011,96.301,-56.889,1570.68
1.025,96.301,-56.889,1574.045
1.039,96.301,-56.889,1577.717
1.054,96.301,-56.89,1579.664
1.068,96.301,-56.89,1581.606
1.083,96.301,-56.89,1581.606
1.097,96.301,-56.89,1585.17
1.112,96.301,-56.891,1581.658
1.126,96.301,-56.891,1585.781
1.141,96.301,-56.891,1584.129
1.155,96.301,-56.891,1585.164
1.169,96.301,-56.892,1583.798
1.184,96.301,-56.892,1579.592
1.198,96.301,-56.892,1575.52
1.213,96.301,-56.892,1571.433
1.227,96.301,-56.893,1566.088
1.242,96.301,-56.893,1562.534
1.256,96.301,-56.893,1562.534
1.27,96.301,-56.893,1561.14
1.285,96.301,-56.894,1558.758
1.299,96.302,-56.894,1555.933
1.314,96.302,-56.894,1555.112
1.328,96.302,-56.894,1555.935
1.343,96.302,-56.895,1557.816
1.357,96.302,-56.895,1561.177
1.372,96.302,-56.895,1565.082
1.386,96.302,-56.895,1569.788
1.4,96.302,-56.896,1576.041
1.415,96.302,-56.896,1581.129
1.429,96.302,-56.896,1582.255
1.444,96.302,-56.896,1587.38
1.458,96.302,-56.897,1593.349
1.473,96.302,-56.897,1598.54
1.487,96.302,-56.897,1604.619
1.501,96.302,-56.897,1608.378
1.516,96.302,-56.898,1612.246
1.53,96.302,-56.898,1615.414
1.545,96.302,-56.898,1610.129
1.559,96.302,-56.898,1609.278
1.574,96.302,-56.898,1610.799
1.588,96.302,-56.899,1614.033
1.603,96.302,-56.899,1613.112
1.617,96.302,-56.899,1611.793
1.631,96.303,-56.899,1610.735
1.646,96.303,-56.9,1609.666
1.66,96.303,-56.9,1608.2
0,96.298,-56.872,1667.93
0.014,96.298,-56.872,1666.938
0.029,96.298,-56.873,1665.653
0.043,96.298,-56.873,1665.028
0.058,96.299,-56.873,1662.897
0.072,96.299,-56.873,1662.048
0.087,96.299,-56.874,1660.942
0.101,96.299,-56.874,1662.584
0.116,96.299,-56.874,1634.361
0.13,96.299,-56.874,1625.404
0.144,96.299,-56.875,1625.404
0.159,96.299,-56.875,1617.541
0.173,96.299,-56.875,1603.809
0.188,96.299,-56.875,1589.59
0.202,96.299,-56.876,1574.472
0.217,96.299,-56.876,1560.587
0.231,96.299,-56.876,1547.58
0.245,96.299,-56.876,1541.071
0.26,96.299,-56.876,1543.272
0.274,96.299,-56.877,1546.717
0.289,96.299,-56.877,1548.102
0.303,96.299,-56.877,1548.102
0.318,96.299,-56.877,1551.454
0.332,96.299,-56.878,1557.249
0.347,96.299,-56.878,1557.249
0.361,96.299,-56.878,1557.249
0.375,96.299,-56.878,1556.902
0.39,96.3,-56.879,1556.238
0.404,96.3,-56.879,1559.271
0.419,96.3,-56.879,1557.938
0.433,96.3,-56.879,1555.838
0.448,96.3,-56.88,1554.488
0.462,96.3,-56.88,1560.796
0.476,96.3,-56.88,1563.068
0.491,96.3,-56.88,1566.989
0.505,96.3,-56.881,1570.397
0.52,96.3,-56.881,1571.551
0.534,96.3,-56.881,1568.97
0.549,96.3,-56.881,1566.264
0.563,96.3,-56.882,1558.443
0.578,96.3,-56.882,1569.896
