Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (4) (mean)
0,96.304,-56.872,1690.446
0.015,96.304,-56.872,1690.446
0.029,96.304,-56.872,1689.626
0.044,96.304,-56.873,1686.927
0.058,96.304,-56.873,1688.607
0.073,96.304,-56.873,1688.109
0.087,96.304,-56.873,1685.377
0.102,96.305,-56.874,1687.106
0.116,96.305,-56.874,1676.515
0.131,96.305,-56.874,1661.444
0.145,96.305,-56.874,1647.621
0.16,96.305,-56.875,1638.791
0.175,96.305,-56.875,1638.791
0.189,96.305,-56.875,1630.523
0.204,96.305,-56.875,1615.43
0.218,96.305,-56.876,1599.602
0.233,96.305,-56.876,1583.398
0.247,96.305,-56.876,1568.211
0.262,96.305,-56.876,1553.981
0.276,96.305,-56.877,1543.105
0.291,96.305,-56.877,1541.131
0.306,96.305,-56.877,1542.081
0.32,96.305,-56.877,1544.515
0.335,96.305,-56.878,1544.515
0.349,96.305,-56.878,1547.693
0.364,96.305,-56.878,1553.261
0.378,96.305,-56.878,1553.095
0.393,96.305,-56.879,1553.837
0.407,96.305,-56.879,1557.264
0.422,96.306,-56.879,1559.948
0.436,96.306,-56.879,1558.394
0.451,96.306,-56.88,1558.394
0.466,96.306,-56.88,1558.088
0.48,96.306,-56.88,1557.368
0.495,96.306,-56.88,1557.622
0.509,96.306,-56.881,1558.21
0.524,96.306,-56.881,1559.105
0.538,96.306,-56.881,1558.013
0.553,96.306,-56.881,1558.61
0.567,96.306,-56.882,1560.404
0.582,96.306,-56.882,1561.726
0.597,96.306,-56.882,1560.148
0.611,96.306,-56.882,1555.821
0.626,96.306,-56.883,1555.493
0.64,96.306,-56.883,1557.112
0.655,96.306,-56.883,1559.498
0.669,96.306,-56.883,1561.978
0.684,96.306,-56.883,1563.004
0.698,96.306,-56.884,1562.721
0.713,96.306,-56.884,1561.811
0.727,96.307,-56.884,1562.922
0.742,96.307,-56.884,1561.425
0.757,96.307,-56.885,1559.839
0.771,96.307,-56.885,1559.04
0.786,96.307,-56.885,1559.04
0.8,96.307,-56.885,1555.397
0.815,96.307,-56.886,1560.189
0.829,96.307,-56.886,1556.349
0.844,96.307,-56.886,1556.275
0.858,96.307,-56.886,1556.029
0.873,96.307,-56.887,1555.615
0.887,96.307,-56.887,1555.552
0.902,96.307,-56.887,1555.283
0.917,96.307,-56.887,1558.995
0.931,96.307,-56.888,1559.333
0.946,96.307,-56.888,1559.333
0.96,96.307,-56.888,1560.044
0.975,96.307,-56.888,1561.932
0.989,96.307,-56.889,1564.926
1.004,96.307,-56.889,1572.29
1.018,96.307,-56.889,1575.882
1.033,96.308,-56.889,1579.778
1.048,96.308,-56.89,1584.181
1.062,96.308,-56.89,1589.944
1.077,96.308,-56.89,1594.532
1.091,96.308,-56.89,1598.699
1.106,96.308,-56.891,1601.268
1.12,96.308,-56.891,1598.228
1.135,96.308,-56.891,1606.382
1.149,96.308,-56.891,1611.69
1.164,96.308,-56.892,1617.531
1.178,96.308,-56.892,1625.887
1.193,96.308,-56.892,1630.892
1.208,96.308,-56.892,1630.287
1.222,96.308,-56.893,1626.882
1.237,96.308,-56.893,1624.383
1.251,96.308,-56.893,1622.851
1.266,96.308,-56.893,1622.851
1.28,96.308,-56.894,1622.5
1.295,96.308,-56.894,1622.353
1.309,96.308,-56.894,1622.983
1.324,96.308,-56.894,1624.83
1.339,96.308,-56.895,1626.198
1.353,96.309,-56.895,1627.941
1.368,96.309,-56.895,1637.259
1.382,96.309,-56.895,1639.236
1.397,96.309,-56.895,1635.464
1.411,96.309,-56.896,1638.099
1.426,96.309,-56.896,1638.099
1.44,96.309,-56.896,1640.934
1.455,96.309,-56.896,1649.562
1.469,96.309,-56.897,1652.62
1.484,96.309,-56.897,1654.977
1.499,96.309,-56.897,1655.346
