Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (4) (mean)
0,96.306,-56.858,1735.011
0.014,96.306,-56.858,1734.151
0.029,96.306,-56.858,1733.209
0.043,96.306,-56.859,1732.631
0.058,96.306,-56.859,1730.26
0.072,96.306,-56.859,1732.052
0.087,96.306,-56.859,1730.358
0.101,96.306,-56.86,1727.724
0.116,96.306,-56.86,1727.724
0.13,96.306,-56.86,1727.673
0.145,96.306,-56.86,1726.511
0.159,96.306,-56.861,1725.599
0.174,96.306,-56.861,1724.872
0.188,96.306,-56.861,1724.006
0.202,96.306,-56.861,1722.477
0.217,96.306,-56.862,1719.89
0.231,96.306,-56.862,1720.824
0.246,96.306,-56.862,1720.083
0.26,96.306,-56.862,1720.083
0.275,96.306,-56.863,1718.472
0.289,96.306,-56.863,1720.157
0.304,96.306,-56.863,1719.068
0.318,96.306,-56.863,1719.068
0.333,96.306,-56.864,1717.603
0.347,96.306,-56.864,1717.603
0.362,96.306,-56.864,1715.314
0.376,96.306,-56.864,1714.895
0.391,96.306,-56.865,1715.701
0.405,96.306,-56.865,1715.316
0.419,96.306,-56.865,1713.498
0.434,96.306,-56.865,1714.022
0.448,96.306,-56.866,1713.536
0.463,96.306,-56.866,1712.964
0.477,96.306,-56.866,1712.964
0.492,96.306,-56.866,1711.539
0.506,96.306,-56.867,1711.539
0.521,96.306,-56.867,1708.202
0.535,96.306,-56.867,1706.816
0.55,96.306,-56.867,1708.899
0.564,96.306,-56.868,1708.138
0.579,96.306,-56.868,1705.386
0.593,96.306,-56.868,1706.671
0.607,96.306,-56.868,1704.066
0.622,96.306,-56.869,1704.94
0.636,96.306,-56.869,1702.445
0.651,96.306,-56.869,1703.998
0.665,96.306,-56.869,1703.998
0.68,96.306,-56.87,1703.998
0.694,96.306,-56.87,1702.786
0.709,96.306,-56.87,1702.161
0.723,96.306,-56.87,1700.17
0.738,96.306,-56.87,1701.178
0.752,96.306,-56.871,1699.125
0.767,96.306,-56.871,1700.549
0.781,96.306,-56.871,1699.344
0.796,96.306,-56.871,1701.672
0.81,96.306,-56.872,1699.143
0.824,96.306,-56.872,1698.587
0.839,96.306,-56.872,1696.564
0.853,96.306,-56.872,1695.774
0.868,96.306,-56.873,1697.461
0.882,96.306,-56.873,1694.053
0.897,96.306,-56.873,1696.17
0.911,96.306,-56.873,1695.824
0.926,96.306,-56.874,1678.846
0.94,96.306,-56.874,1663.26
0.955,96.306,-56.874,1664.188
0.969,96.306,-56.874,1651.123
0.984,96.306,-56.875,1640.592
0.998,96.306,-56.875,1640.592
1.012,96.306,-56.875,1631.621
1.027,96.306,-56.875,1600.357
1.041,96.306,-56.876,1584.563
1.056,96.306,-56.876,1584.563
1.07,96.306,-56.876,1554.343
1.085,96.306,-56.876,1555.087
1.099,96.306,-56.877,1544.659
1.114,96.306,-56.877,1542.081
1.128,96.306,-56.877,1542.081
1.143,96.306,-56.877,1544.515
1.157,96.306,-56.878,1544.515
1.172,96.306,-56.878,1550.936
1.186,96.306,-56.878,1550.936
1.201,96.306,-56.878,1553.261
1.215,96.306,-56.879,1552.783
1.229,96.306,-56.879,1557.264
1.244,96.306,-56.879,1559.266
1.258,96.306,-56.879,1558.394
1.273,96.306,-56.88,1558.174
1.287,96.306,-56.88,1558.174
1.302,96.306,-56.88,1557.368
1.316,96.306,-56.88,1557.622
1.331,96.306,-56.881,1557.622
1.345,96.306,-56.881,1559.105
1.36,96.306,-56.881,1558.013
1.374,96.306,-56.881,1559.338
1.389,96.306,-56.881,1561.431
1.403,96.306,-56.882,1561.726
1.417,96.306,-56.882,1561.726
1.432,96.306,-56.882,1559.294
1.446,96.305,-56.882,1555.821
1.461,96.305,-56.883,1554.755
1.475,96.305,-56.883,1554.755
1.49,96.305,-56.883,1557.678
1.504,96.305,-56.883,1557.253
1.519,96.305,-56.884,1557.017
1.533,96.305,-56.884,1557.017
1.548,96.305,-56.884,1555.527
1.562,96.305,-56.884,1554.386
1.577,96.305,-56.885,1554.386
1.591,96.305,-56.885,1552.585
1.606,96.305,-56.885,1551.753
1.62,96.305,-56.885,1550.242
1.634,96.305,-56.886,1550.242
1.649,96.305,-56.886,1548.318
1.663,96.305,-56.886,1544.995
1.678,96.305,-56.886,1543.96
1.692,96.305,-56.887,1544.25
1.707,96.305,-56.887,1544.583
1.721,96.305,-56.887,1544.583
1.736,96.305,-56.887,1545.263
1.75,96.305,-56.888,1545.914
1.765,96.305,-56.888,1545.914
1.779,96.305,-56.888,1545.914
1.794,96.305,-56.888,1548.224
1.808,96.305,-56.889,1548.224
1.822,96.305,-56.889,1556.07
1.837,96.305,-56.889,1561.964
1.851,96.305,-56.889,1566.661
1.866,96.305,-56.89,1572.508
1.88,96.305,-56.89,1578.369
1.895,96.305,-56.89,1583.563
1.909,96.305,-56.89,1588.337
1.924,96.305,-56.891,1588.337
1.938,96.305,-56.891,1588.337
1.953,96.305,-56.891,1599.148
1.967,96.305,-56.891,1599.148
1.982,96.305,-56.892,1602.494
1.996,96.305,-56.892,1599.823
2.011,96.305,-56.892,1597.338
2.025,96.305,-56.892,1594.7
2.039,96.305,-56.893,1585.099
2.054,96.305,-56.893,1582.53
2.068,96.305,-56.893,1580.631
2.083,96.305,-56.893,1580.631
2.097,96.305,-56.893,1580.343
2.112,96.305,-56.894,1580.343
2.126,96.305,-56.894,1581.77
2.141,96.305,-56.894,1581.77
2.155,96.305,-56.894,1582.516
2.17,96.305,-56.895,1585.501
2.184,96.305,-56.895,1585.501
2.199,96.305,-56.895,1591.306
2.213,96.305,-56.895,1589.246
2.227,96.305,-56.896,1594.108
2.242,96.305,-56.896,1594.108
2.256,96.305,-56.896,1594.108
2.271,96.305,-56.896,1599.466
2.285,96.305,-56.897,1610.401
2.3,96.305,-56.897,1610.401
2.314,96.305,-56.897,1621.971
2.329,96.305,-56.897,1626.438
2.343,96.305,-56.898,1629.613
2.358,96.305,-56.898,1629.613
2.372,96.305,-56.898,1630.987
