Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (4) (mean)
0,96.315,-56.872,1740.146
0.015,96.315,-56.872,1741.833
0.029,96.315,-56.872,1741.833
0.044,96.315,-56.872,1743.693
0.058,96.315,-56.873,1743.373
0.073,96.315,-56.873,1741.198
0.087,96.315,-56.873,1733.671
0.102,96.316,-56.873,1717.657
0.116,96.316,-56.873,1704.584
0.131,96.316,-56.874,1692.541
0.145,96.316,-56.874,1678.901
0.16,96.316,-56.874,1664.916
0.175,96.316,-56.874,1655.317
0.189,96.316,-56.875,1655.317
0.204,96.316,-56.875,1645.912
0.218,96.316,-56.875,1631.061
0.233,96.316,-56.875,1617.65
0.247,96.316,-56.876,1614.911
0.262,96.316,-56.876,1616.167
0.276,96.316,-56.876,1617.302
0.291,96.316,-56.876,1626.144
0.306,96.316,-56.877,1629.582
0.32,96.316,-56.877,1632.965
0.335,96.316,-56.877,1633.91
0.349,96.316,-56.877,1624.11
0.364,96.317,-56.878,1629.296
0.378,96.317,-56.878,1636.771
0.393,96.317,-56.878,1638.16
0.407,96.317,-56.878,1640.31
0.422,96.317,-56.879,1643.017
0.436,96.317,-56.879,1646.941
0.451,96.317,-56.879,1651.421
0.466,96.317,-56.879,1661.48
0.48,96.317,-56.88,1664.35
0.495,96.317,-56.88,1667.835
0.509,96.317,-56.88,1667.835
0.524,96.317,-56.88,1667.835
0.538,96.317,-56.881,1670.728
0.553,96.317,-56.881,1673.019
0.567,96.317,-56.881,1681.75
0.582,96.317,-56.881,1676.176
0.597,96.317,-56.882,1675.431
0.611,96.317,-56.882,1674.879
0.626,96.317,-56.882,1682.02
0.64,96.318,-56.882,1683.927
0.655,96.318,-56.883,1686.586
0.669,96.318,-56.883,1686.586
0.684,96.318,-56.883,1688.767
0.698,96.318,-56.883,1692.149
0.713,96.318,-56.884,1695.407
0.727,96.318,-56.884,1698.065
0.742,96.318,-56.884,1697.968
0.757,96.318,-56.884,1696.46
0.771,96.318,-56.884,1694.674
0.786,96.318,-56.885,1692.152
0.8,96.318,-56.885,1694.291
0.815,96.318,-56.885,1694.291
0.829,96.318,-56.885,1692.856
0.844,96.318,-56.886,1691.332
0.858,96.318,-56.886,1689.276
0.873,96.318,-56.886,1686.893
0.888,96.318,-56.886,1691.381
0.902,96.318,-56.887,1690.274
0.917,96.319,-56.887,1688.855
0.931,96.319,-56.887,1677.698
0.946,96.319,-56.887,1677.188
0.96,96.319,-56.888,1688.584
0.975,96.319,-56.888,1688.584
0.989,96.319,-56.888,1691.104
1.004,96.319,-56.888,1694.281
1.018,96.319,-56.889,1697.611
1.033,96.319,-56.889,1701.076
1.048,96.319,-56.889,1709.733
1.062,96.319,-56.889,1713.497
1.077,96.319,-56.89,1713.331
1.091,96.319,-56.89,1722.337
1.106,96.319,-56.89,1727.157
1.12,96.319,-56.89,1725.865
1.135,96.319,-56.891,1733.22
1.149,96.319,-56.891,1732.687
1.164,96.319,-56.891,1732.432
1.179,96.319,-56.891,1731.825
1.193,96.32,-56.892,1731.431
1.208,96.32,-56.892,1733.773
1.222,96.32,-56.892,1730.555
1.237,96.32,-56.892,1730.318
1.251,96.32,-56.893,1729.747
1.266,96.32,-56.893,1729.501
1.28,96.32,-56.893,1728.964
1.295,96.32,-56.893,1731.867
1.309,96.32,-56.894,1731.109
1.324,96.32,-56.894,1731.109
1.339,96.32,-56.894,1730.444
1.353,96.32,-56.894,1730.227
1.368,96.32,-56.895,1729.655
1.382,96.32,-56.895,1731.813
1.397,96.32,-56.895,1731.268
1.411,96.32,-56.895,1730.894
1.426,96.32,-56.895,1730.518
1.44,96.32,-56.896,1730.269
1.455,96.321,-56.896,1732.467
1.47,96.321,-56.896,1732.299
1.484,96.321,-56.896,1732.055
1.499,96.321,-56.897,1731.526
1.513,96.321,-56.897,1728.077
1.528,96.321,-56.897,1727.902
1.542,96.321,-56.897,1730.316
1.557,96.321,-56.898,1729.777
1.571,96.321,-56.898,1729.412
1.586,96.321,-56.898,1729.412
0,96.316,-56.872,1743.951
0.014,96.316,-56.872,1743.951
0.029,96.316,-56.872,1745.815
0.043,96.316,-56.872,1745.451
0.058,96.316,-56.873,1744.844
0.072,96.316,-56.873,1733.8
0.087,96.316,-56.873,1717.928
0.101,96.316,-56.873,1704.996
0.116,96.316,-56.874,1692.635
0.13,96.316,-56.874,1679.095
0.145,96.316,-56.874,1664.846
0.159,96.316,-56.874,1654.984
0.174,96.316,-56.875,1654.984
0.188,96.316,-56.875,1645.98
0.203,96.316,-56.875,1631.272
0.217,96.317,-56.875,1619.837
0.232,96.317,-56.876,1619.298
0.246,96.317,-56.876,1621.344
0.261,96.317,-56.876,1622.65
0.275,96.317,-56.876,1631.814
0.29,96.317,-56.877,1634.739
0.304,96.317,-56.877,1638.412
0.319,96.317,-56.877,1638.412
0.333,96.317,-56.877,1639.168
0.348,96.317,-56.878,1643.885
0.362,96.317,-56.878,1645.281
0.377,96.317,-56.878,1642.5
0.391,96.317,-56.878,1643.986
0.406,96.317,-56.878,1646.859
0.42,96.317,-56.879,1650.096
0.435,96.317,-56.879,1653.521
0.449,96.317,-56.879,1657.652
0.464,96.317,-56.879,1667.629
0.478,96.318,-56.88,1670.322
0.493,96.318,-56.88,1672.998
0.507,96.318,-56.88,1672.998
0.522,96.318,-56.88,1674.876
0.536,96.318,-56.881,1677.536
0.551,96.318,-56.881,1679.98
0.565,96.318,-56.881,1681.75
0.58,96.318,-56.881,1681.908
0.594,96.318,-56.882,1686.632
0.609,96.318,-56.882,1686.716
0.623,96.318,-56.882,1687.958
0.638,96.318,-56.882,1689.771
0.652,96.318,-56.883,1686.586
0.667,96.318,-56.883,1686.586
0.681,96.318,-56.883,1695.246
0.696,96.318,-56.883,1698.001
0.71,96.318,-56.884,1700.466
0.725,96.318,-56.884,1704.184
0.739,96.319,-56.884,1703.266
0.754,96.319,-56.884,1706.411
0.768,96.319,-56.885,1699.325
0.783,96.319,-56.885,1696.578
0.797,96.319,-56.885,1699.779
0.812,96.319,-56.885,1699.779
0.826,96.319,-56.886,1692.856
0.841,96.319,-56.886,1701.766
0.855,96.319,-56.886,1700.1
0.87,96.319,-56.886,1698.897
0.884,96.319,-56.887,1697.637
0.899,96.319,-56.887,1696.206
0.913,96.319,-56.887,1700.465
0.928,96.319,-56.887,1699.511
0.942,96.319,-56.887,1699.613
0.957,96.319,-56.888,1694.56
0.971,96.319,-56.888,1694.56
0.986,96.319,-56.888,1697.041
1,96.32,-56.888,1705.841
1.015,96.32,-56.889,1708.911
1.029,96.32,-56.889,1711.571
1.044,96.32,-56.889,1714.67
1.058,96.32,-56.889,1718.603
1.073,96.32,-56.89,1722.434
1.087,96.32,-56.89,1731.867
1.102,96.32,-56.89,1735.779
1.116,96.32,-56.89,1736.09
1.13,96.32,-56.891,1736.09
1.145,96.32,-56.891,1735.449
1.159,96.32,-56.891,1737.453
1.174,96.32,-56.891,1737.054
1.188,96.32,-56.892,1736.682
1.203,96.32,-56.892,1736.306
1.217,96.32,-56.892,1736.031
1.232,96.32,-56.892,1732.835
1.246,96.32,-56.893,1735.689
1.261,96.321,-56.893,1732.269
1.275,96.321,-56.893,1734.506
1.29,96.321,-56.893,1731.867
1.304,96.321,-56.894,1734.083
1.319,96.321,-56.894,1735.889
1.333,96.321,-56.894,1735.797
1.348,96.321,-56.894,1735.145
1.362,96.321,-56.895,1734.696
1.377,96.321,-56.895,1734.429
1.391,96.321,-56.895,1733.826
1.406,96.321,-56.895,1733.416
1.42,96.321,-56.896,1733.154
1.435,96.321,-56.896,1735.928
1.449,96.321,-56.896,1735.593
1.464,96.321,-56.896,1735.404
1.478,96.321,-56.896,1735.01
1.493,96.321,-56.897,1737.339
1.507,96.321,-56.897,1737.041
1.522,96.322,-56.897,1736.588
1.536,96.322,-56.897,1733.293
1.551,96.322,-56.898,1732.926
1.565,96.322,-56.898,1735.061
0,96.315,-56.871,1740.146
0.015,96.315,-56.872,1741.833
0.029,96.315,-56.872,1741.833
0.044,96.315,-56.872,1741.71
0.058,96.315,-56.872,1739.442
0.073,96.315,-56.873,1737.003
0.087,96.315,-56.873,1733.671
0.102,96.315,-56.873,1717.657
0.116,96.315,-56.873,1704.584
0.131,96.315,-56.874,1692.145
0.145,96.315,-56.874,1679.07
0.16,96.316,-56.874,1664.788
0.175,96.316,-56.874,1655.317
0.189,96.316,-56.875,1655.317
0.204,96.316,-56.875,1645.912
0.218,96.316,-56.875,1630.642
0.233,96.316,-56.875,1616.806
0.247,96.316,-56.876,1609.948
0.262,96.316,-56.876,1616.167
0.276,96.316,-56.876,1617.302
0.291,96.316,-56.876,1620.182
0.305,96.316,-56.877,1624.772
