Site ID,Latitude,Longitude,Ice exposure?,D_icy,D_nonicy,Reference HiRISE image,CRISM ice?,Notes
Site N1,-50.59,305.98,No,x,7,PSP_007561_1290,.,Ejecta includes lighter-toned region but not discrete light material. 
Site N2,-50.16,70.09,No,x,4.5,PSP_007596_1295,.,x
Site N3,40.37,136.58,No,x,8.75;6,PSP_008015_2205,.,x
Site N4,37.48,222.26,No,x,5,PSP_008236_2180,.,x
Site N5,38.94,123.71,No,x,6,PSP_010547_2195,.,x
Site N7,39.57,190.05,No,x,2.5,ESP_011428_2200,.,x
Site N9,38.43,293.8,No,x,2,ESP_016501_2185,.,x
Site N11,36.92,148.3,No,x,9,ESP_017192_2170,.,x
Site N12,35.52,36.35,No,x,6;4,ESP_017262_2160,.,x
Site N13,39.3,293.79,No,x,3,ESP_017991_2195,.,x
Site N14,38.65,280.24,No,x,7.5;2.5,ESP_018097_2190,.,x
Site N15,40.34,185.5,No,x,3,ESP_018707_2205,.,x
Site N16,54.77,196.85,No,x,2.75,ESP_018746_2350,.,x
Site N17,46.61,133.71,No,x,2.75,ESP_018854_2270,.,Near Viking Lander 2.
Site N18,36.01,282.01,No,x,4,ESP_019165_2165,.,x
Site N20,49.35,189.67,No,x,1.75,ESP_019287_2295,.,x
Site N21,40.42,77.6,No,x,1.75,ESP_019779_2205,.,x
Site N22,35.32,201.37,No,x,6,ESP_026038_2155,.,x
Site N23,-74.51,157.89,No,x,3.5,ESP_032106_1055,.,x
Site N24,40.9,222.71,No,x,3,ESP_033606_2210,.,x
Site N25,38.68,210.41,No,x,4.75,ESP_033923_2190,.,x
Site N26,45.02,203.23,No,x,3,ESP_033976_2255,.,x
Site N27,46.8,149.51,No,x,3.5;2.5,ESP_034334_2270,.,x
Site N28,50.93,221.94,No,x,4.75,ESP_034595_2315,.,x
Site N29,39.12,21.38,No,x,5.5,ESP_035209_2195,.,x
Site N30,50.36,232.9,No,x,4,ESP_035201_2310,.,x
Site N31,37.24,36.01,No,x,3,ESP_035815_2175,.,x
Site N32,42.06,205.24,No,x,2.5,ESP_036033_2225,.,x
Site N33,41.4,206.81,No,x,3,ESP_036178_2215,.,x
Site N34,44.34,172.3,No,x,2.5,ESP_036232_2245,.,x
Site N35,44.75,232.11,No,x,4.25,ESP_036243_2250,.,x
Site N36,55.57,240.52,No,x,2,ESP_036269_2360,.,x
Site N37,43.13,204.81,No,x,2,ESP_036600_2235,.,x
Site N38,54.36,228.54,No,x,2.5,ESP_036665_2345,.,x
Site N40,42.46,151.01,No,x,5,ESP_037169_2230,.,x
Site N41,-55.87,264.76,No,x,3.5;2.75,ESP_037284_1240,.,Ejecta superposes seasonal frost and quickly shrank while frost remained. No convincing sign of ice in the first defrosted look.
Site N42,49.91,270.24,No,x,3.5,ESP_037336_2300,.,x
Site N43,35.27,191.2,No,x,4.5,ESP_037761_2155,.,x
Site N44,37.39,100,No,x,5.5,ESP_042103_2175,.,x
Site N45,43.05,164.78,No,x,4,ESP_043406_2235,.,x
Site N46,37.17,104.53,No,x,4,ESP_043606_2175,.,x
Site N47,43.94,173.75,No,x,1,ESP_044698_2245,.,x
Site N48,37.41,56.26,No,x,4.25,ESP_045098_2175,.,x
Site N49,39.86,34.53,No,x,2,ESP_045323_2200,.,x
Site N50,57.29,255.11,No,x,1.75,ESP_045328_2375,.,x
Site N52,44.79,147.1,No,x,1.5,ESP_045543_2250,.,x
Site N53,39.65,153.35,No,x,4.25,ESP_045767_2200,.,x
Site N54,49.56,181.61,No,x,2.5,ESP_045990_2300,.,x
Site N55,46.93,222.26,No,x,4.5;3;3,ESP_046160_2275,.,x
Site N56,45.06,240.58,No,x,8.5,ESP_046278_2255,.,x
Site N57,35.87,230.87,No,x,8;7;7,ESP_046463_2160,.,x
Site N58,-37.98,114.3,No,x,15;7.25,ESP_046850_1415,.,x
Site N59,35.38,152.08,No,x,2.5,ESP_052439_2155,.,x
Site N60,39.69,164.52,No,x,10,ESP_052755_2200,.,x
Site N61,39.14,281.01,No,x,4.5,ESP_052843_2195,.,x
Site N62,50.61,206.43,No,x,4.5,ESP_053083_2310,.,x
Site N63,36,149.58,No,x,4,ESP_053995_2165,.,x
Site N64,41.3,199.63,No,x,3.5,ESP_054125_2215,.,x
Site N65,35.59,42.51,No,x,17.5,ESP_055133_2160,.,x
Site N66,43.27,183.05,No,x,2.75,ESP_055286_2235,.,x
Site N67,39.99,200.75,No,x,5,ESP_055470_2205,.,x
Site N68,38.05,48.28,No,x,7.5,ESP_055502_2185,.,x
Site N69,35.16,228.74,No,x,8.25,ESP_055535_2155,.,x
Site N70,35.74,247.08,No,x,4.5,ESP_056906_2160,.,x
Site N71,37.88,284.67,No,x,4.5,ESP_056931_2180,.,x
Site N73,37.62,188.38,No,x,7,ESP_057660_2180,.,x
Site N74,36.25,71.38,No,x,5,ESP_058205_2165,.,x
Site N75,-51.88,194.99,No,x,4.75,ESP_059414_1280,.,x
Site N76,38.02,164.01,No,x,4.5;2.75,ESP_059441_2185,.,x
Site N77,-35.12,235.73,No,x,12,ESP_053623_1445,.,Ejecta bright but relatively-yellow.
Site N78,-45.43,88.02,No,x,2.5,ESP_059642_1340,.,x
Site N79,-49.88,99.96,No,x,2,ESP_059668_1300,.,x
Site N80,-48.07,58.25,No,x,5.75;3.25,ESP_060342_1315,.,x
Site N81,42.79,238.09,No,x,5;4,ESP_061812_2230,.,x
Site N82,44.46,257.5,No,x,3.75,ESP_061930_2250,.,x
Site N83,36.92,230.69,No,x,4.5,ESP_050300_2170,.,x
Site N84,-73.45,264.11,No,x,5.5,ESP_057315_1065,.,No defrosted image until after winter passed; may have been modified. 
Site N85,41.02,126.3,No,x,12.5,ESP_019830_2215,.,Many craters; some have flat floors; slight color anomaly in largest.
Site N86,37.83,97.11,No,x,2.5,ESP_063228_2180,.,x
Site N87,46.83,112.36,No,x,3.5,ESP_063768_2270,.,x
Site N88,43,215.35,No,x,3.5,ESP_063817_2235,.,x
Site N89,35.74,85.86,No,x,2.5,ESP_063413_2160,.,Brain terrain
Site P2,47.72,225.13,Possible,x,7.75,ESP_026248_2280,x,Ring-shaped color anomaly. Never strong and not fully faded over four MY. 
Site P3,40.12,157.93,Possible,x,8,ESP_026989_2205,x,Relatively-blue crater wall became less distinct but seems to correlate with blast zone fading. 
Site P4,53.58,228.3,Possible,x,6,ESP_034186_2340,x,Crater with an anomalously bright illuminated wall but no convincing evidence for fading over time. 
Site P7,57.24,358.02,Probable,x,1.75,ESP_037069_2375,x,One 1.5-m crater has an anomalous relatively-blue crater wall. Classified as probable given the small size. 
Site P9,75.42,57.24,Probable,x,Uncertain,ESP_044992_2555,x,Multiple follow-on images show widespread bright patches throughout the image persisting through the summer. May be exposed ice. Candidate Impact looks somewhat distinct from these non-impact features but not considered definitive.   
